index,source,edge,target,edge-comments,
1,U.S. citizens,U.S. is the only country where cannot sue,pharmaceutical companies,,
2,pharmaceutical companies,citizens cannot sue for,vaccine damage,,
3,U.S. citizens,have to try and get a piece of the,Vaccine Injury Compensation Fund,,
4,pharmaceutical companies,have been granted,legal immunity,,
5,citizens,has to sue the federal government in a spcial,vaccine court,,
6,Gardasil injury claims information,comes from,foreign countries,,
7,Gardasil lawsuit claims information,comes from,foreign countries,,
8,Gardasil,information comes from foreign countries for,injury claims,,
9,Gardasil,information comes from foreign countries for,lawsuit claims,,
10,Vaccine Injury Compensation Fund,is funded by purchase of vaccines,taxes,,
11,Gardasil injuries,information inside the U.S. comes mainly from,alternative media,,
12,alternative media,is not sponsored by,pharmaceutical industry,,
13,Gardasil injuries,common frustration in trying to receive,settlement,,
14,Government Accounting Office,reported frustration is common trying to receive,settlement,,
15,Vaccine Injury Compensation Fund,reported frustration is common trying to receive,settlement,,
16,patients,fight for,payment,,
17,autoimmune disorder,may have been caused by,vaccine,,
18,government,won't let citizen sue,vaccine manufacturer,,
19,Americans,most have never even heard of,Vaccine Injury Compensation Fund,,
20,vaccine manufacturers,in 1980s threatened to pull of U.S. in face of growing number of,lawsuits,,
21,Congress,pledged to protect,vaccine manufacturers,,
22,vaccine manufacturers,Congress pledged to protect from,lawsuits,,
23,Congress,pledged to protect,vaccine supply,,
24,Congress,pledged to protect manufacturers to keep majority of Americans immune to possibly devastating,disease,,
25,National Vaccine Injury Compensation Program,is,Vaccine Injury Compensation Fund,,
26,National Vaccine Injury Compensation Program,is not living up to,promises,,
27,National Vaccine Injury Compensation Program,is,complicated,,
28,National Vaccine Injury Compensation Program,is,litigious,,
29,National Vaccine Injury Compensation Program,is,time-consuming,,
30,National Vaccine Injury Compensation Program,often ends up without any,compensation,,
31,Renee Gentry,is president of,Vaccine Injured Petitioners Bar Association,,
32,Renee Gentry,says no part is easy,National Vaccine Injury Compensation Program,,
33,National Vaccine Injury Compensation Program,"is knock-down, drag-out",fighting,,
34,victims,are not being helped,vaccine injury,,
35,Merck,remains confident,Gardasil,,
36,Gardasil,helps prevent,cervical cancer,,
37,vaccine injury lawsuits,were basically eliminated with the SCOTUS decision in,Bruesewitz v. Wyeth,,
38,Bruesewitz v. Wyeth,decision took away any ability for an individual to hold accountable,vaccine manufacturer,,
39,vaccine,no vaccine is completely safe in the entire,population,,
40,public health,priority to have manufacturers remain in the,vaccine-development business,said BIO statement,
41,National Vaccine Injury Compensation Program,allows for a fair and much more simple process of filing,claims,said BIO statement,
42,National Vaccine Injury Compensation Program,is a fair and expeditious system to compensate those who may have rare reactions to,vaccines,,
43,civil litigation,was never a very successful option for,clients,,
44,National Vaccine Injury Compensation Program,"although difficult, is much easier than trying to sue",vaccine company,,
45,National Vaccine Injury Compensation Program,was created to be,petitioner-friendly,,
46,National Vaccine Injury Compensation Program,was created to be,informal,,
47,National Vaccine Injury Compensation Program,was created to be,non-adversarial,,
48,National Vaccine Injury Compensation Program,was created to be,generous,,
49,compensation claims,have become increasingly,litigious,,
50,reactions,are unpredictable,new vaccines,,
51,Gardasil,has not yet released,post-marking surveillance,,
52,post-marking surveillance,documents,adverse effects,,
53,post-marking surveillance,not yet released means there is little,scientific literature,,
54,patients,are uninformed about,National Vaccine Injury Compensation Program,,
55,National Vaccine Injury Compensation Program,is like,self-insurance policy,,
56,vaccine injury lawsuits,may require years-long,battle,with U.S. government,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
