id,source,edge,target,edge-comments
1,MMR vaccine,doesn't cause,autism,
2,MMR vaccine,may lower,autism risk,
3,Wakefield study,had,ill effects,
4,vast amounts of time,spent to counter,ill effects,of Wakefield study
5,vast amounts of money,spent to counter,ill effects,of Wakefield study
6,Wakefield study,claimed to find,MMR vaccine-autism link,
7,vaccines,many parents continue to withhold from,children,because of fear of vaccine-autism link
8,children,many continue to withhold vaccines because of,fear of vaccine-autism link,
9,parents,have fear of,vaccine-autism link,
10,parents,have,fear of vaccine-autism link,
11,fear,parents have that there is,vaccine-autism link,
12,evidence,contradicts,vaccine-autism link,
13,vaccines,have,saved lives,millions
14,vaccines,are probably of past two centuries the greatest,medical advancement,
15,Jain study,adds more weight to evidence about,MMR vaccine safety,
16,Jain study,did not have,suprising results,for those who have followed the science
17,Jain study,shows receipt of,MMR vaccine,not associated with increased ASD risk
18,MMR vaccine,was not associated with increased,ASD risk,Jain study
19,ASD risk,did not increase even in,younger siblings of children with ASD,
20,Jain study,indicates no,harmful association,between MMR vaccine receipt and ASD
21,harmful association,none between,MMR vaccine and ASD,
22,MMR vaccine,no harmful association with,ASD,
23,harmful association,none even for,high-risk children,children at higher risk for ASD
24,previous studies,have already settled,vaccine-autism question,
25,Jain study,should settle,vaccine-autism question,
26,vaccines,cause,autism,is misguided claims
27,vaccines,cause,neurological problems,is misguided claims
28,misguided claims,persist that,vaccines cause autism,
29,misguided claims,persist that,vaccines cause neurological problems,
30,misguided claims,persist thanks to ongoing,activism,
31,activism,ongoing of,anti-vaccine groups,
32,misguided claims,persist thanks to ongoing activism of,anti-vaccine groups,
33,Age of Autism,is such,anti-vaccine groups,
34,Age of Autism,already attacked,Jain study,
35,misguided claims,persist thanks to,conspiracy theories,
36,conspiracy theories,such as,"Robert F. Kennedy, Jr.",
37,"Robert F. Kennedy, Jr.",was campaigning against,vaccines,in Vermont
38,vaccines,unethical to withhold on purpose from,children,
39,withholding vaccines,on purpose is unethical from,children,
40,withholding vaccines,on purpose from children is,unethical,
41,Jain study,was by necessity,observational study,
42,vaccinated children,are somewhat less likely to be diagnosed with autism than unvaccinated children indicated findings of,Jain study,
43,vaccinated children,are somewhat less likely to be diagnosed with,autism,than unvaccinated children
44,vaccinated children,less likely to be diagnosed with autism than,unvaccinated children,indicated findings of Jain study
45,Jain study,indicated statistically significant finding that they are less likely to be diagnosed with autism than unvaccinated high-risk children,vaccinated high-risk children,
46,vaccinated high-risk children,are less likely to be diagnosed with,autism,than unvaccinated high-risk children
47,vaccinated high-risk children,are less likely to be diagnosed with autism than,unvaccinated high-risk children,indicated findings of Jain study
48,Jain study,findings indicated,protective effect of vaccines,from autism
49,protective effect of vaccines,may protect children from,autism,
50,other good reasons,Jain study authors noted for apparent,protective effect of vaccines,
51,parents of autistic children,could explain apparent,protective effect of vaccines,
52,parents of autistic children,could explain apparent protective effect of vaccines by,withholding vaccines,
53,protective effect of vaccines,may be explained by parents of autistic children,withholding vaccines,
54,autism,is known to have,genetic component,
55,younger sibling of child with autism,more likely to have,autism,because they share many genes
56,parents of autistic children,withheld vaccines because of fears spread by,anti-vaccine movement,
57,parents of autistic children,who withheld vaccines from their children could contribute to the apparently lower,lower rate of autism in vaccinated children,
58,protective effect of vaccines,was shown by,lower rate of autism in vaccinated children,in Jain study
59,Jain study,authors couldn't rule out,protective effect of vaccines,
60,protective effect of vaccines,is scientifically,unlikely,
61,alternative explanation,Jain study authors wisely offered for,protective effect of vaccines,
62,Jain study,is,large study,
63,Jain study,is,carefully conducted study,
64,Jain study,shows,MMR vaccine does not cause autism,
65,Jain study,hope helps to,end the anti-vax movement,
66,anti-vax movement,is spending time and money trying to refute,long-discredited hypotheses,
67,we,want to,end the anti-vax movement,
68,long-discredited hypotheses,of anti-vax movement include,MMR vaccine-autism link,
69,anti-vax movement,should stop spending,time,
70,anti-vax movement,should stop spending,money,
71,we,want to focus on trying to understand the,true cause of autism,
,,,,
