index,source,edge,target,edge-comments
1,doctors,do not offer truthful,vaccine consent forms,
2,parent,no sane mom would,get child vaccinated,if doctors offered truthful consent forms
3,vaccines,are not,safe,
4,parents,many know that,vaccines are not safe,
5,parents who know that vaccines are not safe,have,vaccine-injured children,
6,parents,would never take the chance to subject their kids to,vaccine dangers,if presented with a truthful consent form
7,consent for vaccines,is not,truthful,
8,parents,do not receive truthful,consent for vaccines,
9,vaccinated children,are up to five times more likely than unvaccinated children to,contract preventable disease,as reported by Health Freedom Alliance
10,unvaccinated children,developed naturally without vaccines,immune system,
