index,source,edge,target,edge-comments
1,Surgeon General Vivek Murthy,uses to sell vaccines to minors,Elmo,active v.
2,Elmo,is used to sell vaccines to minors by,Surgeon General Vivek Murthy,passive v.
3,Surgeon General Vivek Murthy,is,selling vaccines to minors,dup.
4,Elmo,is used by Surgeon General Vivek Murthy in,selling vaccines to minors,dup.
5,children,cannot make decisions of,informed consent,
6,marketing pharmaceuticals to children,is,unethical,
7,Surgeon General Vivek Murthy,is,marketing pharmaceuticals to children,
8,Surgeon General Vivek Murthy,is taunting,those who are resistant to vaccinating,
9,Surgeon General Vivek Murthy,told Elmo that,vaccines are safe,
10,vaccines,are legally classified as,unavoidably unsafe,
11,Surgeon General Vivek Murthy,lied to,Elmo,
12,vaccines are safe,is a,lie,vaccine safety
13,vaccines are safe,telling children is unethical,government propaganda,vaccine safety
14,the government,is not telling children about,vaccine-related adverse outcomes,
15,vaccine-related adverse outcomes,include,seizures,
16,vaccine-related adverse outcomes,include,coma,
17,vaccine-related adverse outcomes,include,paralysis,
18,vaccine-related adverse outcomes,include,brain damage,
19,vaccine-related adverse outcomes,include,death,
20,vaccine-related adverse outcomes,include,seizures,
21,people,have,informed consent,
22,doctors,fail to screen for potential,vaccine reactions,
23,vaccines,are,not safe,
24,Surgeon General Vivek Murthy,is,unethical,
25,marketing vaccines to children,is,unethical,
26,Surgeon General Vivek Murthy,is,marketing vaccines to children,
27,government propaganda,is vaccine messages involving,Elmo,
28,vaccine messages,involving Elmo are,government propaganda,
29,Surgeon General Vivek Murthy,is taunting families who are,vaccine-resistant,
30,VICP,has,paid damages,
31,VICP,has paid out $3 billion in damages to 4000,vaccine injury cases,
32,Surgeon General Vivek Murthy,is rubbing salt in the wounds of,vaccine-injured families,
,,,,
