index,source,edge,target,edge-comments,,
1,CDC,held,vaccine scientists meeting,,,
2,vaccine scientists meeting,held to deliberately destroy,evidence,,,
3,evidence,of,vaccine-autism link,,,
4,government lies,about,everything,,,
5,government lies,about fudging,economic numbers,,,
6,IRS,is,political weapon,,,
7,government lies,about using,IRS,as a political weapon,,
8,government lies,even about manufacturing,staged domestic terrorism events,so the FBI can catch terrorists in the act,,
9,staged domestic terrorism events,so the FBI can catch them in the act,terrorists,,,
10,CDC,deliberately destroyed,evidence,not surprising to learn,,
11,Rep. Bill Posey,released statement saying CDC held,vaccine scientists meeting,,,
12,meeting of scientists,held to decide which to destroy,piece of evidence,of vaccine-autism link,,
13,piece of evidence,of,vaccine-autism link,,,
14,vaccine-autism link,in,African-American children,,,
15,Sharyl Attkisson,is,fearless indy media journalist,,,
16,Sharyl Attkisson,first reported on this,revelation,,,
17,Attkisson's website,is one of thousands of,independent media websites,,,
18,independent media websites,now favored on,GoodGopher.com,,,
19,GoodGopher.com,is,search engine,,,
20,search engine,is for,truth seekers,,,
21,independent media websites,now favored on,FETCH.news,,,
22,FETCH.news,is,internet's truth-based alternative,to Google News,,
23,Rep. Bill Posey's statement,contained astonishing description of,brazen CDC scientific fraud,,,
24,brazen CDC scientific fraud,related by,CDC scientists Dr. William Thompson,,,
25,Rep. Bill Posey,gave statement on,CDC destroying evidence,,,
26,Rep. Bill Posey,"is absolutely, resolutely",pro-vaccine,said Rep. Bill Posey,,
27,Rep. Bill Posey,finds recent Senate hearing on childhood vaccinations to be,troubling,said Rep. Bill Posey,,
28,parents,making decisions about their children's health deserve to have the best,information,said Rep. Bill Posey,,
29,whistleblower,worked with,Rep. Bill Posey,,,
30,whistleblower,provided documents related to,2004 CDC study,,,
31,2004 CDC study,examined the possibility of a relationship between,"measles, mumps, rubella vaccine and autism",,,
32,Dr. William Thompson,omitted ,information,in 2004 article published in journal Pediatrics,,
33,CDC,knowingly endangers,lives of children,and covers it up with scientific fraud,,
34,CDC,is ,criminal,,,
35,CDC,covers it up with,scientific fraud,,,
36,CDC,has been trying to bury for over a decade,real story on vaccines and autism,,,
37,science fraud,carried out at highest levels of,CDC,,,
38,science fraud,carried out for sole purpose of fraudulently burying,statistical links,between vaccines and autism,,
39,science fraud,is criminal,fraud,,,
40,fraud,in any other industry this would be considered,criminal fraud,,,
41,national news headlines,would be condemning the fraud as ,endangering the public,,,
42,fraud,is,endangering the public,,,
43,mainstream media,pretends never took place,fraud,because it concerns vaccines,,
44,investigation,none into,fraud,,,
45,headlines,will be none about,fraud,,,
46,demand for justice,will be none about,fraud,,,
47,CDC,does not think,black lives matter,,,
48,CDC,deliberately destroyed,evidence,,,
49,black children,were excluded from,Pediatrics paper,race effects,,
50,vaccines,in particular harm,black children,,,
51,evidence,showed how they harm in particular black children,vaccines,,,
52,Dr. William Thompson,is,whistleblower,,,
53,controversial findings,were intentionally withheld from the final draft of the,Pediatrics paper,said Dr. William Thompson,,
54,race effects,were excluded from,Pediatrics paper,said Dr. William Thompson,,
