index,source,edge,target,edge-comments,,,
1,teen girls,are receiving important health benefits from,HPV vaccine,,,,
2,teen girls,are receiving important,health benefits,,,,
3,risk of precancerous changed,dropped after,immunization,,,,
4,sexually transmitted virus,causes,cervical cancer,,,,
5,HPV vaccine,protects against,sexually transmitted virus,,,,
6,HPV vaccine,protects against,cervical cancer,,,,
7,vaccine,teen girls who received experienced reduction in,cervical dysplasia,,,,
8,vaccine,teen girls who received suffered fewer cases,genital warts,,,,
9,genital warts,can happen as soon as girl becomes,sexually active,,,,
10,cervical dysplasia,can happen as soon as girl becomes,sexually active,,,,
11,parents,have been delaying vaccination for,daughters,,,,
12,parents,don't think daughters are,sexually active,,,,
13,ages 14 to 17,are,sexually active,,,,
14,sexually active,ages 14 to 17 are,at risk,,,,
15,HPV vaccine,needs to be given before,at risk,,,,
16,HPV vaccine,is recommended,ages 11 or 12,,,,
17,HPV vaccine,is recommended,boys,,,,
18,HPV vaccine,is recommended,girls,,,,
19,HPV vaccination rates,continued to lag in,U.S.,,,,
20,HPV vaccine,is about,preventing cancer,,,,
21,women,only about half have received,one dose of vaccine,,,,
22,women,just a third have received,three-dose course,,,,
23,HPV vaccine,can prevent,cancer,,,,
24,parents,are not running to get kids,protection,,,,
25,cervical dysplasia,tends to be earliest signs of,HPV infection,,,,
26,genital warts,tends to be earliest signs of,HPV infection,,,,
27,protection,girls receive with a few years of inoculation with,HPV vaccine,,,,
28,cervical dysplasia,if left untreated and unchecked,becomes cancer,,,,
29,risk of cervical dysplasia,reduced by 44% for girls who received,vaccine,,,,
30,genital warts,fewer cases in girls eligible for free,HPV vaccine,,,,
31,teen girls,eligible for free HPV vaccine ended up with fewer cases of,genital warts,,,,
32,magnitude of benefits,is surprising in,young age group,,,,
33,HPV vaccine,has,magnitude of benefits,,,,
34,health officials,recommend,HPV vaccine,at age 11 or 12,,,
35,Tdap,is,tetanus/diptheria/pertussis,,,,
36,Tdap,is other,important vaccine,,,,
37,HPV vaccine,given at same time as other important vaccines,Tdap,tetanus/diptheria/pertussis,,,
38,HPV vaccine,given at same time as other important vaccines,meningitis,,,,
39,meningitis,is,important vaccine,,,,
40,Gardasil 4,protects against 4 strains,human papillomavirus,HPV,,,
41,Cervarix,protects against 2 strains,human papillomavirus,HPV,,,
42,Gardasil 9,protects against 9 strains,human papillomavirus,HPV,,,
43,parents,many are hung up on fact that vaccine is for,sexually transmitted virus,,,,
44,health care providers,many are hung up on fact that vaccine is for,sexually transmitted virus,,,,
45,parents,fail to grasp that HPV vaccine is first to,prevent cancer,,,,
46,health care providers,fail to grasp that HPV vaccine is first to,prevent cancer,,,,
47,waiting longer,could mean less potent,immune response,,,,
48,waiting longer,leads to less effective,protection,,,,
49,immune response,could be less potent after waiting longer to get,vaccine,,,,
50,immune response,if less potent leads to less effective,protection,,,,
51,HPV vaccine,let's not make it about,sex,,,,
52,HPV vaccine,is about,preventing cancer,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
