index,source,edge,target,edge-comments
18,children,receive by two years old,37 doses of 14 vaccines,
20,CDC,recommends by age 6,48 doses of 14 vaccines,
9,children,for children with vaccine injuries,5 to 7 vaccines,in one pediatrician visit
21,CDC,recommends by age 18,69 doses of 16 vaccines,
145,vaccination schedule,illogical and downright ignorant to state that it is,a-okay,
4,human DNA,is from,aborted baby,
84,lung tissue,from 14-week,aborted baby,
69,lung tissue,from,aborted baby,
90,RA 27/3,in 1964 derived from another,aborted baby,
74,disturbing ingredients,like,aborted human fetal proteins,
51,African women,were being given vaccines secretly laced with,abortion chemicals,
52,vaccines,being given to young African women were secretly laced with,abortion chemicals,
239,Dr. Paul Offit,voted yes three times out of four on issues pertaining to,ACIP's rotavirus use recommendation,
57,large spike,in 1958 in,actual number measles cases,
88,military records,used,actual rates,
64,Gardasil,causes,acute respiratory illness,
14,thimerosal,is,additive,
83,vaccine,has ,additives,
117,experts,believe only 10% reported,adverse effects,
77,gene products,involved in pathogenesis of,adverse effects,
52,post-marking surveillance,documents,adverse effects,
130,VAERS,"received 1,080 reports of",adverse effects,from hep B vaccine in 0-1 age group
76,variant genotypes,three confirmed to be associated with,adverse effects,in second study
98,flu shots,do not work as,advertised,
49,pro-vaccine group,in Africa discovered laced vaccines given to,African women,
50,vaccines,secretly laced with abortion chemicals were given to,African women,
14,vaccine-autism link,in,African-American children,
35,California government,is ,"aggressive, corporate-constructed effort",
105,hepatitis B,is about as difficult to catch as,AIDS,
28,Merck,has been responsible for spreading,AIDS virus,
123,toxic and ineffective flu shots,are sold in,airports,
100,public,wonders why they have,allergies,
75,unvaccinated children,tests would show to be better off in terms of,allergies,
75,disturbing ingredients,like,altered DNA material,
11,Gardasil injuries,information inside the U.S. comes mainly from,alternative media,
22,California government,poisoning more children with,aluminum,
182,GlaxoSmithKine's Energix B,contain 0.5mg,aluminum,
25,mandatory vaccines,poison children with,aluminum,
122,rational doctor,cannot believe it is somehow safe injecting infants and children with,aluminum,
126,rational scientist,cannot believe it is somehow safe injecting infants and children with,aluminum,
106,vaccine additives,include,aluminum,
25,vaccine additives,include,aluminum,
11,vaccines,contain,aluminum,admitted by CDC
43,advice,was legally morally and ethically wrong from,Alysia Osoff,
47,adult brain cells,same patterns in autism and,alzheimer's,said doctor
48,autism,brain cells same patterns with,alzheimer's,
31,vaccine refusal,is tearing apart,America,
275,vaccine industry,gives millions to,American Academy of Pediatrics,
13,coercion methods,are in violation of,American Nursing Association's Code of Ethics,
46,uninformed consent,obtaining for a medical procedure under false pretenses violates,American Nursing Association's Code of Ethics,
23,flu shots,recommended for all,Americans,from six months of age through year of death
95,vaccines,fly under the radar of most,Americans,
58,pregnant women,were given thimerosal if was done,amniocentesis,
244,Dr. Paul Offit,made the infamous and scientifically irresponsible assertion that,"an infant can safely receive up to 10,000 vaccines at once and 100,000 in a lifetime",
9,doctors,formerly well respected caught falsifying data was,Andrew Wakefield,
181,health care professionals,could lose job for refusing,annual flu shot,
82,health care professionals,some are being fired if they refuse to get,annual flu shot,in N.J.
87,mandate,trend must be resisted and stopped of,annual flu shot,
80,New Jersey law,requiring,annual flu shot,
35,campaign of fear mongering,has caused fear of,anti-vaccination,
42,Hollywood celebrities,has been another issue for,anti-vaccination,
46,Jenny McCarthy,revisionist stance harmed,anti-vaccination,the cause
36,people,most feel afraid of,anti-vaccination,
113,shingles vaccine,contains,antibiotic neomycin,
33,Americans,millions take regularly,antibiotics,
27,vaccine additives,include,antibiotics,
67,failure,of first measles vaccine in ability to create,antibodies,first measles vaccine
110,persons,up to 60% who initially respond will lose detectable,antibodies,within 12 years
18,Tdap vaccine,admittedly doesn't confer for up to six months,antibodies,
19,Tdap vaccine,possibly does not confer,antibodies,
44,essential oils,have,antiviral qualities,
88,vaccine court,must be abolished like,Apartheid,
102,hepatitis B vaccine,absolutely no logical,argument,
83,adverse effects,experienced after flu shot vaccines include,arthritis,
60,bovine calf serum,causes,arthritis,when injected into humans
33,William Thompson,omitted statistically significant information in,article,CDC
52,headache,will disappear with two,aspirin,
54,hospital,better hope is nearby if you take fifty,aspirin,
53,serious problems,if you take ten,aspirin,
45,uninformed consent,obtaining for a medical procedure under false pretenses is,assault and battery,under criminal and civil law
101,public,wonders why they have,asthma,
25,Ryan Mojabi,suffered,asthma,from vaccinations
17,revelation,reported on,Attkisson's website,
149,accepted rate,for a number of years was 1 in 150 of,autism,
34,African American males,who received the MMR vaccine before age 36 months were at increased risk for,autism,
32,CDC,obscure an existing link between vaccines and,autism,
108,CDC whistleblower,admitting vaccines are linked to,autism,vaccine-autism link
108,children,every year tens of thousands more diagnosed with,autism,
231,electromagnetic fields,may be significant contributing factor to,autism,
19,encephalopathy,caused by vaccines produces a permanent injury and creates symptoms of,autism,
229,endotoxins,may be significant contributing factor to,autism,
232,environmental chemicals,may be significant contributing factors to,autism,
185,exposures,we need to know what in combination mean to the health of children to turn around the tide of,autism,
223,glutathione,significantly lower in patients diagnosed with,autism,
1,hepatitis B vaccine,giving to newborn baby boys more than triples their risk of developing,autism,
171,hepatitis B vaccine,increased use coincides with rise in,autism,
219,low-level mercury poisoning,study confirming link between,autism,recent study published in Journal of Neurological Sciences in September 2008
3,male neonates,vaccinated with hepatitis B vaccine had a 3-fold greater risk of,autism,
42,measles,preferable to,autism,
142,MMR,only vaccine studied in association with,autism,according to David Kirby
36,MMR,African American males who received it before age 36 months were at increased risk of,autism,
139,MMR,only one studied in association with,autism,
170,newborn boys,more than tripled their risk of developing,autism,after receiving hep B vaccine
230,phthalates,may be significant contributing factor to,autism,
103,public,wonders why they have,autism,
26,Ryan Mojabi,suffered,autism,from vaccinations
22,Ryan Mojabi,parents testified that vaccinations and MMR caused ,autism,
5,safety of vaccines,questionable in relation to,autism,
144,studies,but where are of all the others in relation to,autism,
174,thimerosal,long been thought to be contributing factor,autism,
210,thimerosal,appeared to be responsible for drastic increase in,autism,data indicated
19,thimerosal,can cause,autism,
228,toxic microbes,may be significant contributing factor to,autism,
23,vaccinations,caused,autism,
12,vaccine,caused,autism,
3,vaccine preservative,causes,autism,
29,vaccine-injured children,often revealed to have,autism,
135,vaccines,link to,autism,
148,vaccines,illogical and downright ignorant to suggest that have nothing to do with rise in,autism,based on studies done so far
77,independent reviews,done due to steady increase in,autism cases,
192,neural damage,from thimerosal similar to that seen in,autism patients,
79,Amish,have near-zero,autism rate,
150,statistics,recently suggest have increased to 1 in 63,autism rate,And this number is TWO years old
22,genetics,may play role in,autism rise,
46,CDC,clear evidence knew about,autism risk,
23,thimerosal,is,autism trigger,
76,unvaccinated children,tests would show to be better off in terms of,autoimmune disorder,
65,acute respiratory illness,Gardasil causes in,babies,
66,Gardasil,causes acute respiratory illness in,babies,
53,CDC,makes no attempt to adjust for,Baby Boom,
68,measles historic cycle,did not happen after,Baby Boom,never saw another major spike after 2-3 years
207,government partnership with Big Pharma,based on,bad science,
35,Connie Smith,is director of nursing at,Baker College nursing school,
54,Nichole Rolfe,wrongfully let go from,Baker College nursing school,for trying to abide by proper protocol
28,false grounds,were that Nichole Rolfe had harassed,Baker College nursing school instructors,
29,Nichole Rolfe,had harassed,Baker College nursing school instructors,
