index,source,edge,target,edge-comments
1,American Medical Association,voted to,end personal exemptions,personal vaccination exemptions
2,American Medical Association,is the country's largest association of,physicians,
3,American Medical Association,supports on both state and federal levels to,end personal exemptions,
4,American Medical Association,persuaded to end personal exemptions,state legislatures,
5,state legislatures,American Medical Association members persuaded to,end personal exemptions,
6,American Medical Association,members voted to eliminate,nonmedical reasons for exemptions,
7,nonmedical reasons for exemption,such as,religion,religious reasons
8,religion,is used to dodge crucial,immunization,
9,measles,is crucial,immunization,
10,religion,is used to dodge crucial immunizations against diseases such as,measles,
11,religion,is used to dodge crucial immunizations against diseases such as,whooping cough,
12,whooping cough,is crucial,immunization,
13,community health,protecting it requires,policy makers,
14,policy makers,should not permit individuals from,opting out of immunization,solely as a matter of personal preference
15,opting out of immunization,should not be solely as a matter of,personal preference,
16,Disneyland measles outbreak,occurred because of,vaccine exemptions,
17,immunized people,help prevent the,spread of disease,"said board member Dr. Patrice Harris, according to Forbes"
18,Disneyland measles outbreak,"117 people in Orange County, California were infected by",highly contagious disease,
19,states,others also reported,measles outbreak,
20,vaccine debate,was revived about,vaccine safety,
21,right to personal exemptions,quickly became lightening rod of,controversy,
22,right to personal exemptions,controversy extended to potential,presidential candidates,
23,presidential candidates,were asked for their position in,vaccine debate,
24,Senator Rand Paul,said,vaccinations should be voluntary,
25,Senator Rand Paul,suggested immunization could lead to profound,mental disorders,
26,vaccinations,should be,voluntary,
27,vaccinations,could lead to profound,mental disorders,
28,Hilary Clinton,took a firmer stance than she had in previous years by supporting,vaccination,
29,vaccinations,remain contentious,state-level issue,
30,vaccinations,are a,no brainer,said AMA member Dr. James Felsen
31,vaccinations,said AMA member Dr. James Felsen,protect the kid next to you,
32,Vaccine Free Family Day Care,is,anti-vaccine group,"in Dromana, Victoria, Australia"
33,Early Childhood Australia,is,early childcare advocacy group,in Australia
34,federal government,is implementing in Australia,"no jab, no pay policy",
35,parents,are opening,vaccine-free day care centres,"in response to Australian federal government's no jab, no pay policy"
36,parents,are opening,unvaccinated-friendly day care centres,"in response to Australian federal government's no jab, no pay policy"
37,vaccine-free day care centres,are,unvaccinated-friendly day care centres,
38,vaccine-free day care centres,have been described as potentially catastrophic by,Early Childhood Australia,
39,unvaccinated-friendly day care centres,have been described as potentially catastrophic by,Early Childhood Australia,
40,Scott Morrison,is,Australian social services minister,
41,parents who refuse to vaccinate their children,are,conscientious objectors,says Scott Morrison
42,parents who refuse to vaccinate their children,would no longer receive,tax benefits,in Australia
43,parents who refuse to vaccinate their children,would no longer receive,childcare benefits,
44,parents who refuse to vaccinate their children,would no longer receive,childcare rebate,
45,parents who refuse to vaccinate their children,would no longer receive,family tax benefit,part A end-of-year supplement
46,parents,are being denied,childcare,due to their child's vaccination status
47,unvaccinated-friendly day care centres,lady is opening in,"Sydney, Australia",
48,children,all should have an equal chance at,early education,says lady opening unvaccinated-friendly day care centres
49,unvaccinated children,still would not qualify for,government rebates,in Australia
50,vaccine-free day care centres,provide a,non-judgmental environment,
51,Samantha Page,is,Early Childhood Australia's chief executive,
52,parents who refuse to vaccinate their children,are being driven away by,government policy,
53,government policy,would provide less opportunity to engage with,parents who refuse to vaccinate their children,feared Samantha Page
54,one child,if there's a bulk of children unvaccinated then it is potentially catastrophic,whooping cough,said Samantha Page
55,unvaccinated children,has been a concern to some providers for some time because diseases pose,risk to pregnant women,as a lot of women work in the industry
56,regulation of childcare services,was responsibility of,state and territory governments,
57,parents,"if choose to send their children to a service which is not subject to any regulation, need to be aware of the",potential risks,Morrisson said
58,Jill Hennessy,is,Victoria's health minister,
59,vaccine-free day care centres,is irresponsible said,Jill Hennessy,
60,parents,are urged against sending their children to,vaccine-free day care centre,Jill Hennessy urged
61,Victorian government,requires,vaccinated children,
62,vaccinated children,can be enrolled in,childcare,
63,hesitant parents,can be nudged to use,measles vaccine,
64,measles vaccine coverage,for hesitant parents should try,small nudges,
65,measles protection,rests on,herd immunity,powerful
66,herd immunity,requires,92 to 94 percent vaccination coverage,for measles
67,herd immunity,is 92 to 94 percent of people in a community that must be vaccinated to prevent,measles outbreak,
68,measles,killed more around the world in 2013,children,than car accidents
69,measles,killed more around the world in 2013,children,than AIDS
70,measles virus,"has trouble finding victims, even the unvaccinated at",herd immunity,that immunization level
71,measles virus,has trouble finding,victims,
72,measles virus,has trouble finding,unvaccinated,
73,measles virus ,shown by,measles experience,
74,measles virus,shown by,models of disease,
75,Libya,has 99 percent,measles vaccination rate,
76,Tanzania,has 99 percent,measles vaccination rate,
77,Libya,has passed,92 to 94 percent vaccination coverage,
78,Tanzania,has passed,92 to 94 percent vaccination coverage,
79,United States,has not passed,92 to 94 percent vaccination coverage,
80,United States,vaccination coverage dragged down by,parents who refuse to vaccinate their children,
81,parents who refuse to vaccinate their children,in the U.S. have not,met the bar,previously stated vaccination coverage
82,measles vaccination rate,coverage is as low as 86%,Colorado,
83,measles vaccination rate,coverage is as low as 86%,Ohio,
84,Colorado,has,86% vaccination coverage,
85,Ohio,has,86% vaccination coverage,
86,86% vaccination coverage,is,low vaccination coverage,
87,measles vaccination rate,the national average is 91 percent,United States,
88,low vaccination coverage,"in 2014, caused 644 people in the U.S. to be sickened by",measles,more than in any year since 2000
89,policy makers,some have called for new,laws requiring MMR vaccination,for all school-age children
90,policy makers,some have called for,vaccine mandates,new laws
91,Americans,most would support,vaccine mandates,"Eight out of 10 Americans would support such laws, one CNN poll found"
92,vaccine mandates,are,strong-arm tactics,
93,vaccine mandates,would probably,backfire,
94,vaccine mandates,would probably reinforce the,antivaccine movement,
95,antivaccine movement,is driven by fears that shots cause,autism,
96,antivaccine movement,is driven by fears that shots cause autism and other,side effects,
97,antivaccine movement,is driven by,fear of vaccine-autism link,
98,behavioral science research,highlights a better way to change other,parents' hesitant attitudes,
99,parents' hesitant attitudes,a better way is to change with,little nudges,
100,parents who vehemently oppose vaccines,become even less likely to vaccinate when confronted by insistence on,vaccine safety,researchers have found
101,parents who vehemently oppose vaccines,Fortunately make up only about 9 percent of,adults,according to Gallup poll
102,vaccine-autism link,usually stems from,Wakefield study,fraudulent and retracted 1998 Lancet study
103,Wakefield study,was fraudulent and,retracted 1998 Lancet study,
104,parents,many more do not vaccinate their kids because they are just unsure about,vaccine-autism link,
105,adults,most have not made up their mind about,vaccine-autism link,
106,fence-sitters,are unsure about,vaccine-autism link,
107,fence-sitters,are,hesitant parents,
108,fence-sitters,could be prodded toward getting,vaccines,
109,pediatricians,are one of the most important,vaccine information sources,
110,pediatricians,are the best route to reach,hesitant parents,
111,vaccine refusal rates,increase when,doctors,do not stand strongly behind vaccines
112,vaccines,when presented as,vague choice,rather than standard of care increased odds of parental refusal 2013 Pediatrics study
113,parents,more likely to go through with it when informing them their child would receive vaccine at their next,scheduled appointment,than if they were merely asked which vaccines they wanted their child to receive
114,parents,some (roughly 23 percent of reluctant group) have,distrust of medical establishment,
115,distrust of medical establishment,fuels,vaccine hesitancy,
116,friends,recruiting to pass on the message could be more effective for,parents,whose distrust of the medical establishment fuesl hesitancy about vaccines
117,peers,recruiting to pass on the message could be more effective for,parents,whose distrust of the medical establishment fuesl hesitancy about vaccines
118,peer pressure,is strongest influence on,decision to vaccinate,scientists reported in 2014 Proceedings of the Royal Society B
119,social norms,is strongest influence on,decision to vaccinate,
120,flu shots,are not as controversial as,MMR shots,comparison
121,important factor,is the,change in compliance,
122,states,begin implementing such,interventions,
123,states,search for,new strategies,if
124,interventions,can push past,herd immunity,
