index,source,edge,target,edge-comments
391,2014-2015 FLULAVAL QUADRIVALENT flu vaccine,is quadrivalent flu vaccine that protects against,influenza viruses,
387,2014-2015 FLULAVAL QUADRIVALENT flu vaccine,potentially may have,reduced effectiveness,
390,2014-2015 FLULAVAL QUADRIVALENT flu vaccine,reduced potency does not pose,safety concern,
388,2014-2015 FLULAVAL QUADRIVALENT flu vaccine,detected decrease in,vaccine potency,
756,absolute objection,does not mean,opposed,to getting vaccinated
473,activism,ongoing of,anti-vaccination,
1070,adult vaccination program,helped cut,rubella transmission,
105,adults,most have not made up their mind about,vaccine-autism link,
475,Age of Autism,is such,anti-vaccination,
476,Age of Autism,already attacked,Jain study,
151,ages 14 to 17,are,sexually active,
503,alternative explanation,Jain study authors wisely offered for,protective effect of vaccines,
6,American Medical Association,members voted to eliminate,nonmedical reasons for exemptions,
1,American Medical Association,voted to end,personal exemption,personal vaccination exemptions
3,American Medical Association,supports on both state and federal levels to end,personal exemption,
2,American Medical Association,is the country's largest association of,physicians,
4,American Medical Association,persuaded to end personal exemptions,state legislatures,
91,Americans,most would support,vaccine mandates,"Eight out of 10 Americans would support such laws, one CNN poll found"
760,Amish,are,opposed,to getting vaccinated
837,Amish,reported multiple cases of,polio,
972,Andrew Wakefield,is,former gastroenterologist,
974,Andrew Wakefield,promulgated,fraud,
973,Andrew Wakefield,promulgated,shame,
929,anti-vaccination,advocates frequently move goal posts with their,argument,
95,anti-vaccination,is driven by fears that shots cause,autism,
931,anti-vaccination,argument is that MMR vaccine might trigger,developmental disability,
508,anti-vaccination,is spending time and money trying to refute long-discredited,hypotheses,
512,anti-vaccination,should stop spending,money,
766,anti-vaccination,views for many religious groups are not always about,religion,
834,anti-vaccination,views are not always about religion within,religious groups,
1108,anti-vaccination,folks are going to make a very hard push against,SB 277,said Pitney
96,anti-vaccination,is driven by fears that shots cause autism and other,side effects,
511,anti-vaccination,should stop spending,time,
97,anti-vaccination,movement is driven by fear of,vaccine-autism link,
1011,anti-vaccination website,has someone looking to make a buck selling,books,says Dr. Mark Schleiss
1001,anti-vaccination website,has someone looking to make a buck selling,chelators,says Dr. Mark Schleiss
1003,anti-vaccination website,has someone looking to make a buck selling,creams,says Dr. Mark Schleiss
1009,anti-vaccination website,has someone looking to make a buck selling,electrostimulation,says Dr. Mark Schleiss
1005,anti-vaccination website,has someone looking to make a buck selling,natural foods,says Dr. Mark Schleiss
1007,anti-vaccination website,has someone looking to make a buck selling,nutritional supplements,says Dr. Mark Schleiss
1006,anti-vaccination website,has someone looking to make a buck selling,raw milk,says Dr. Mark Schleiss
1004,anti-vaccination website,has someone looking to make a buck selling,salves,says Dr. Mark Schleiss
1008,anti-vaccination website,has someone looking to make a buck selling,secretin,says Dr. Mark Schleiss
1000,anti-vaccination website,behind every website there's,someone looking to make a buck,says Dr. Mark Schleiss
1010,anti-vaccination website,has someone looking to make a buck selling,spinal adjustment,says Dr. Mark Schleiss
1012,anti-vaccination website,has someone looking to make a buck selling,tapes,says Dr. Mark Schleiss
1013,anti-vaccination website,has someone looking to make a buck selling,video,says Dr. Mark Schleiss
1002,anti-vaccination website,has someone looking to make a buck selling,vitamins,says Dr. Mark Schleiss
830,anti-vaccine eugenics community,started measles outbreak from trip to,Disneyland,"in Quebec, Canada"
527,anti-vaxxer,is,anti-vaccination,
528,anti-vaxxer,has considerable,commitment,
532,anti-vaxxer,has,minority views,
530,anti-vaxxer,is an effective,opponent of sanity-oriented legislation,of sanity-oriented legislation
529,anti-vaxxer,has,true-believer cohort,
601,antibiotics,prevent from getting,meningococcal disease,
591,anyone,can get,meningococcal disease,
260,Arizona Department of Health Services,hopes will continue next year,decrease in exemption rates,the trend
957,at-risk unvaccinated children,had no increased,autism risk,
956,at-risk vaccinated children,had no increased,autism risk,
661,autism,remains,challenge,
937,autism risk,actually lower for,high-risk children,if they had received the MMR vaccine
663,autism,remains challenge for,families,
496,autism,is known to have,genetic component,
619,autism,study after study found no link with,MMR vaccine,
662,autism,remains challenge for,scientists,
361,autism,range widely in,severity,
353,delaying vaccination,puts at risk of potentially serious infections,children,said Dr. Anjali Jain
940,diseases,can disable,children,
620,autism,study after study found no link with,vaccines,any vaccine
941,diseases,can kill,children,
279,diseases,can be especially serious for young,children,
637,autism risk,did not increase with receipt of,MMR vaccine,for children at higher risk of ASD
381,autism risk,"among more than 322,000 children was elevated among children who had",mothers with pregnancy-related diabetes,researchers found
280,immunization schedule,is important to follow to protect young,children,
523,JAMA paper,"examined insurance claims for 96,000 U.S.",children,
382,autism-linked genes,some are also involved in regulating,insulin,
300,babies,should receive,recommended immunizations,by age of 2
282,babies,can be protected before they are born from,whooping cough,
304,babies,at 2 months can recieve first,whooping cough vaccine,
596,bacteria,most often spread by,carrier,
98,behavioral science research,highlights a better way to change other,parents' hesitant attitudes,
985,better aerosol vaccine,developing might be effective use of,funds,
685,better health care,includes more,antibiotics,
686,better health care,includes other,vaccines,
947,genetic predisposition,to adverse MMR reaction is a ,myth,says Dr. Mark Schleiss
1065,birth defects,rubella can cause in,pregnant women,
338,body,can recognize and fight in future,vaccine-preventable diseases,
203,boys,should get vaccinated with,Gardasil,when 11 or 12
205,boys,should get vaccinated with Gardasil before exposed to,HPV,CDC recommends
207,boys,should get vaccinated with Gardasil before,sexually active,CDC recommends
298,California,largest outbreak,measles,
639,California,had distressing,resurgence of measles,
520,California,where belief is widespread that,vaccines cause autism,
1121,California Coalition for Health Choice,said they would step up efforts in Assembly to highlight impact of,SB 277,
1120,California Coalition for Health Choice,thanked who voted no,senators,
1103,California governor,is sensitive to,parental rights,
1104,California governor,sees as major responsibility,public health,
