index,source,edge,target,edge-comments
1,vaccine campaign,for,rubella elimination effort,
2,vaccine campaign,leads to,elimination of rubella,in the Americas
3,rubella cases,keep coming in from,elsewhere in the globe,
4,World Health Organization,announced,promising news,
5,Pan American Health Organization,announced,promising news,
6,promising news,is that there have been no new transmission of,rubella virus,in Western Hemisphere
7,rubella virus,none in 2009,new transmission,in Western Hemisphere
8,rubella virus,in the Western Hemisphere declared,eliminated virus,in Western Hemisphere
9,rubella virus,has been declared eliminated in,Western Hemisphere,
10,eliminated virus,is,elite list,
11,smallpox,has been declared,eliminated virus,in Western Hemisphere
12,polio,has been declared,eliminated virus,in Western Hemisphere
13,rubella,is commonly called,German measles,
14,rubella,doesn't cause,severe symptoms,in vast majority
15,rubella,can cause in,pregnant women,
16,rubella,can cause in pregnant women,miscarriage,
17,rubella,can cause in pregnant women,birth defects,
18,miscarriage,rubella can cause in,pregnant women,
19,birth defects,rubella can cause in,pregnant women,
20,children,"up to 20,000 a year in Latin American and the Carribean are born with rubella-related",birth defects,says World Health Organization before effective rubella vaccine
21,rubella outbreak,"last major in the United States also saw up to 20,000 a year children with rubella-related",birth defects,
22,MMR vaccine,widespread use partly to thank for,rubella elimination,
23,Carribean,countries also used,adult vaccination program,
24,adult vaccination program,helped cut,rubella transmission,
25,overseas infections,responsible for several in Western Hempishere,rubella cases,in Western Hemisphere
26,rubella elimination effort,also targeted,measles virus,
27,measles virus,elimination has,bad news,
28,measles,in the near future can be,eliminated,
29,World Health Organization,optimistic that can be eliminated,measles,
30,fear of vaccines,in recent years has led to,number of outbreaks,in United States
