,u,v,adamic_adar
101,decreasing effectiveness,preteens,1.44269504089
108,decreasing effectiveness,CDC,1.44269504089
172,influenza,major flu impacts,0.480898346963
211,influenza,elderly,0.480898346963
234,influenza,immune response,0.480898346963
247,influenza,age 85 and older,0.480898346963
253,influenza,age 65 and older,0.480898346963
254,influenza,standard vaccine,0.480898346963
277,influenza,mixed findings,0.480898346963
405,Generation Rescue,vaccine-autism link,0.62133493456
407,Generation Rescue,anti-vaccination,1.53157416119
416,Generation Rescue,Barry Segal,0.721347520444
457,Generation Rescue,polarized area,0.910239226627
458,Generation Rescue,autism,0.721347520444
471,Generation Rescue,chronic illness,0.721347520444
482,Generation Rescue,discredited,0.62133493456
488,Generation Rescue,medical license,0.62133493456
573,Immunization Action Coalition,vaccination,0.721347520444
624,Immunization Action Coalition,Dr. Anna Acosta,0.721347520444
639,Immunization Action Coalition,pertussis vaccine,0.721347520444
669,Ben Allen,protest,0.314657980444
672,Ben Allen,children,0.314657980444
679,Ben Allen,parents,1.03600550089
696,Ben Allen,Disneyland measles outbreak,0.721347520444
703,Ben Allen,everyone,0.314657980444
714,Ben Allen,vaccinated children,0.314657980444
736,Ben Allen,fair balance,0.314657980444
746,Ben Allen,committee hearing room,0.314657980444
754,Ben Allen,infectious disease,0.314657980444
759,Ben Allen,Connie Leyva,0.314657980444
760,Ben Allen,California,0.314657980444
761,Ben Allen,Chairwoman Carol Liu,0.314657980444
762,Ben Allen,Senate committee,0.314657980444
769,Ben Allen,Saron Runner,0.314657980444
773,Ben Allen,Tina Kimmel,0.314657980444
775,Ben Allen,Richard Pan,1.44269504089
777,Ben Allen,Senate Education Committee,0.314657980444
780,Ben Allen,vaccination exemption,0.314657980444
786,Ben Allen,education,0.314657980444
790,Ben Allen,public education,0.314657980444
816,Ben Allen,changes,0.314657980444
821,Ben Allen,personal belief exemption,0.314657980444
827,Ben Allen,low-income family,0.314657980444
849,celebrities,anti-vaxx movement,0.352956123865
856,celebrities,negative perception,0.352956123865
864,celebrities,government mandate,0.352956123865
866,celebrities,nonprofit organizations,0.721347520444
888,celebrities,vaccine risk,0.352956123865
896,celebrities,the sake of being anti-vaccine,0.352956123865
898,celebrities,vaccine-autism link,0.352956123865
913,celebrities,wealthy family foundations,0.721347520444
914,celebrities,Andrew Wakefield,0.352956123865
941,celebrities,measles outbreak,0.352956123865
945,celebrities,Wakefield study,0.352956123865
949,celebrities,polarized area,0.721347520444
954,celebrities,misrepresentation,0.352956123865
957,celebrities,medical belief,0.352956123865
960,celebrities,politicians,0.352956123865
969,celebrities,vaccine-injured children,0.352956123865
983,celebrities,Jenny McCarthy,0.352956123865
986,celebrities,anti-vaxxers,0.352956123865
991,celebrities,open conversations,0.352956123865
1031,major flu impacts,elderly,0.480898346963
1054,major flu impacts,immune response,0.480898346963
1067,major flu impacts,age 85 and older,0.480898346963
1073,major flu impacts,age 65 and older,0.480898346963
1074,major flu impacts,standard vaccine,0.480898346963
1097,major flu impacts,mixed findings,0.480898346963
1158,protest,children,0.314657980444
1165,protest,parents,0.314657980444
1189,protest,everyone,0.314657980444
1200,protest,vaccinated children,0.314657980444
1221,protest,proposed restrictions,0.314657980444
1223,protest,fair balance,0.314657980444
1234,protest,committee hearing room,0.314657980444
1242,protest,infectious disease,0.314657980444
1247,protest,Connie Leyva,0.314657980444
1248,protest,California,0.314657980444
1249,protest,Chairwoman Carol Liu,0.314657980444
1250,protest,Senate committee,0.314657980444
1257,protest,Saron Runner,0.314657980444
1261,protest,Tina Kimmel,0.314657980444
1265,protest,Senate Education Committee,0.314657980444
1268,protest,vaccination exemption,0.314657980444
1274,protest,education,0.314657980444
1278,protest,public education,0.314657980444
1292,protest,home-school,0.314657980444
1304,protest,changes,0.314657980444
1309,protest,personal belief exemption,0.314657980444
1315,protest,low-income family,0.314657980444
1442,scientist,SB 277,1.44269504089
1479,sleep,increase in cases,0.389871245251
1490,sleep,breathing,0.389871245251
1503,sleep,7-11 year olds,0.389871245251
1527,sleep,teens,0.389871245251
1535,sleep,vomiting,0.389871245251
1536,sleep,United States,0.389871245251
1561,sleep,Australia,0.389871245251
1563,sleep,vaccination,0.389871245251
1575,sleep,severe coughing,0.389871245251
1582,sleep,infants,0.389871245251
1587,sleep,adults,0.389871245251
1635,sleep,whooping cough,0.389871245251
1641,children,Dr. Paul Offit,0.389871245251
1646,children,parents,2.66759224796
1651,children,vaccine efficacy,0.721347520444
1667,children,side effects,0.389871245251
1669,children,everyone,0.314657980444
1675,children,vaccine duration,0.389871245251
1677,children,acellular pertussis vaccine,0.721347520444
1679,children,vaccinated children,0.314657980444
1680,children,waning immunity,0.389871245251
1685,children,infectious disease,0.314657980444
1700,children,proposed restrictions,0.314657980444
1702,children,fair balance,0.314657980444
1706,children,pertussis increase,0.389871245251
1709,children,adolescents,0.389871245251
1713,children,committee hearing room,0.314657980444
1725,children,Connie Leyva,0.314657980444
1726,children,California,0.314657980444
1727,children,Chairwoman Carol Liu,0.314657980444
1728,children,Senate committee,0.314657980444
1734,children,cases,0.389871245251
1735,children,Saron Runner,0.314657980444
1736,children,CDC,0.389871245251
1739,children,Tina Kimmel,0.314657980444
1742,children,medical science,0.389871245251
1743,children,Senate Education Committee,0.314657980444
1746,children,vaccination exemption,0.314657980444
1754,children,pregnant women,0.389871245251
1755,children,public education,0.314657980444
1765,children,effectiveness,0.389871245251
1768,children,home-school,0.314657980444
1780,children,changes,0.704529225695
1783,children,effective,0.721347520444
1785,children,personal belief exemption,0.314657980444
1790,children,low-income family,0.314657980444
1820,Dr. Paul Offit,side effects,0.389871245251
1828,Dr. Paul Offit,vaccine duration,0.389871245251
1833,Dr. Paul Offit,waning immunity,0.389871245251
1859,Dr. Paul Offit,pertussis increase,1.83256628614
1862,Dr. Paul Offit,adolescents,0.389871245251
1887,Dr. Paul Offit,cases,0.389871245251
1889,Dr. Paul Offit,CDC,0.389871245251
1895,Dr. Paul Offit,medical science,0.389871245251
1908,Dr. Paul Offit,pregnant women,0.389871245251
1920,Dr. Paul Offit,effectiveness,0.389871245251
1935,Dr. Paul Offit,changes,0.389871245251
2063,asthma,autism,0.910239226627
2068,asthma,alzheimer's,0.910239226627
2129,vaccine safety,immunization,0.558110626551
2138,vaccine safety,state-required vaccinations,0.558110626551
2190,vaccine safety,Connie Leyva,0.558110626551
2217,vaccine safety,education,1.1162212531
2225,vaccine safety,SB 277,1.1162212531
2234,vaccine safety,pertussis vaccine,0.558110626551
2236,vaccine safety,home-school,0.558110626551
2246,vaccine safety,whole-cell vaccine,0.558110626551
2309,Chris Christie,Rand Paul,2.88539008178
2424,inflammatory disorders,vaccines cause childhood illnesses,0.480898346963
2425,inflammatory disorders,University of British Columbia,0.480898346963
2427,inflammatory disorders,necessary,0.345976256261
2428,inflammatory disorders,man-made,0.345976256261
2432,inflammatory disorders,magic,0.345976256261
2439,inflammatory disorders,side effects,0.345976256261
2451,inflammatory disorders,voluntary,0.345976256261
2458,inflammatory disorders,Pez dispensers,0.345976256261
2460,inflammatory disorders,Rand Paul,0.345976256261
2462,inflammatory disorders,childhood illnesses,0.345976256261
2466,inflammatory disorders,protection,0.345976256261
2473,inflammatory disorders,vaccine-autism link,0.480898346963
2483,inflammatory disorders,miracles,0.345976256261
2493,inflammatory disorders,cognitive disorders,0.826874603224
2494,inflammatory disorders,Alfred and Lisa Claire Dwoskin,0.480898346963
2495,inflammatory disorders,pharmaceuticals,0.345976256261
2502,inflammatory disorders,imperfect,0.345976256261
2510,inflammatory disorders,for-profit,0.345976256261
2512,inflammatory disorders,infants,0.345976256261
2520,inflammatory disorders,immune disorders,0.826874603224
2550,inflammatory disorders,National Vaccine Information Center,0.480898346963
2558,inflammatory disorders,effective,0.345976256261
2605,Dwoskin Family Foundation,vaccines,4.32808512267
2626,Dwoskin Family Foundation,anti-vaccination,0.721347520444
2640,Dwoskin Family Foundation,Andrew Wakefield,0.721347520444
2642,Dwoskin Family Foundation,vaccine concerns,1.44269504089
2739,parents,everyone,0.314657980444
2750,parents,vaccinated children,0.314657980444
2756,parents,infectious disease,0.314657980444
2771,parents,proposed restrictions,0.314657980444
2773,parents,fair balance,0.314657980444
2783,parents,committee hearing room,0.314657980444
2794,parents,California,0.314657980444
2796,parents,Chairwoman Carol Liu,0.314657980444
2797,parents,Senate committee,0.314657980444
2804,parents,Saron Runner,0.314657980444
2808,parents,Tina Kimmel,0.314657980444
2810,parents,Richard Pan,0.721347520444
2812,parents,Senate Education Committee,0.314657980444
2815,parents,vaccination exemption,0.314657980444
2824,parents,public education,0.314657980444
2850,parents,changes,0.314657980444
2855,parents,personal belief exemption,0.314657980444
2860,parents,low-income family,1.22489720707
2935,vaccinated,artificial vaccine,0.910239226627
2951,vaccinated,vaccine refusal,0.910239226627
3131,friends and family,crazy people,0.721347520444
3141,friends and family,vaccine-injured children,0.721347520444
3158,friends and family,anti-vaxxers,0.721347520444
3163,breathing,increase in cases,0.389871245251
3165,breathing,whooping cough,0.389871245251
3179,breathing,7-11 year olds,0.389871245251
3202,breathing,teens,0.389871245251
3210,breathing,vomiting,0.389871245251
3211,breathing,United States,0.389871245251
3222,breathing,vaccination,0.389871245251
3236,breathing,Australia,0.389871245251
3250,breathing,severe coughing,0.389871245251
3257,breathing,infants,0.389871245251
3262,breathing,adults,0.389871245251
3323,increased,Focus for Health,0.62133493456
3364,increased,diagnoses,0.62133493456
3449,increased,MMR vaccine,0.62133493456
3456,increased,diagnosis,0.62133493456
3488,vaccine efficacy,bacteria,0.51389834237
3505,vaccine efficacy,protection,0.51389834237
