,u,v,adamic_adar
80,neighbors,social media,0.62133493456
170,neighbors,schools,0.62133493456
280,neighbors,pro-vaccination,0.62133493456
370,neighbors,community,0.62133493456
623,colleges,prisons,0.558110626551
670,colleges,meningococcal disease,0.558110626551
672,colleges,populations,0.558110626551
752,colleges,schools,0.558110626551
952,colleges,community,0.558110626551
1184,influenza,stiff neck,0.721347520444
1325,influenza,safety concern,0.558110626551
1397,influenza,headache,0.721347520444
1457,influenza,vaccine potency,0.558110626551
1556,influenza,CDC,0.558110626551
1579,influenza,GlaxoSmithKline,0.558110626551
1594,influenza,fever,0.721347520444
1599,influenza,reduced effectiveness,0.558110626551
1749,parents of autistic children,children,1.13837991187
1757,parents of autistic children,fear of autism,0.806903636676
1774,parents of autistic children,financial forces,0.30692767643
1794,parents of autistic children,protection,0.417032391424
1808,parents of autistic children,Age of Autism,0.30692767643
1811,parents of autistic children,alternative explanation,0.480898346963
1814,parents of autistic children,misguided claims,0.30692767643
1850,parents of autistic children,anti-vaxxer,0.30692767643
1863,parents of autistic children,public health,0.806903636676
1866,parents of autistic children,measles resurgence,0.417032391424
1871,parents of autistic children,Jain study,0.787826023393
1877,parents of autistic children,hypotheses,0.30692767643
1880,parents of autistic children,vaccine-free day care centres,0.30692767643
1896,parents of autistic children,physicians,0.417032391424
1897,parents of autistic children,California Coalition for Health Choice,0.30692767643
1906,parents of autistic children,Vaccine Free Family Day Care,0.30692767643
1931,parents of autistic children,activism,0.30692767643
1934,parents of autistic children,religious groups,0.30692767643
1945,parents of autistic children,immune response,0.417032391424
1976,parents of autistic children,doctors,0.389871245251
1982,parents of autistic children,risk of mumps,0.389871245251
1991,parents of autistic children,unlikely,0.480898346963
1998,parents of autistic children,policy makers,0.417032391424
2021,parents of autistic children,consequences,0.30692767643
2039,parents of autistic children,autism risk,0.389871245251
2053,parents of autistic children,unethical,0.721347520444
2090,parents of autistic children,we,0.30692767643
2099,parents of autistic children,vaccine-autism link,0.30692767643
2110,parents of autistic children,church,0.389871245251
2117,parents of autistic children,risk of rubella,0.389871245251
2123,parents of autistic children,families,0.30692767643
2125,parents of autistic children,measles,0.389871245251
2127,parents of autistic children,argument,0.30692767643
2171,parents of autistic children,prevention,0.417032391424
2185,parents of autistic children,parents,0.806903636676
2189,parents of autistic children,personal belief reasons,0.389871245251
2203,parents of autistic children,side effects,0.30692767643
2218,parents of autistic children,religion,0.30692767643
2220,parents of autistic children,developmental disability,0.30692767643
2246,parents of autistic children,Eagle Mountain International Church,0.696798921681
2249,parents of autistic children,health benefits,0.480898346963
2253,parents of autistic children,religious beliefs,0.389871245251
2270,parents of autistic children,money,0.30692767643
2279,parents of autistic children,vaccine mandates,0.30692767643
2283,parents of autistic children,autism,0.787826023393
2287,parents of autistic children,SB 277,0.30692767643
2301,parents of autistic children,time,0.30692767643
2326,religious exemption,American Medical Association,0.389871245251
2373,religious exemption,Jews,0.333808200695
2402,religious exemption,formal advice,0.333808200695
2417,religious exemption,California Senate,0.339623271895
2419,religious exemption,measles outbreak,0.434294481903
2429,religious exemption,philosophical exemption,0.742827369116
2435,religious exemption,Muslims,0.333808200695
2443,religious exemption,law,0.339623271895
2458,religious exemption,vaccinated,0.339623271895
2462,religious exemption,Catholics,0.333808200695
2464,religious exemption,kindergarten,0.69257939576
2470,religious exemption,California Coalition for Health Choice,0.339623271895
2471,religious exemption,childcare services,0.434294481903
2482,religious exemption,schools,0.339623271895
2486,religious exemption,Disneyland measles outbreak,0.352956123865
2501,religious exemption,health officials,0.389871245251
2508,religious exemption,issue,0.434294481903
2514,religious exemption,members,0.333808200695
2519,religious exemption,wealthy regions,0.352956123865
2520,religious exemption,anti-vaccination,0.67343147259
2522,religious exemption,state legislatures,0.389871245251
2534,religious exemption,prohibits vaccinating members,0.910239226627
2541,religious exemption,compromise,0.389871245251
2547,religious exemption,uninformed,0.389871245251
2562,religious exemption,childcare,0.352956123865
2568,religious exemption,MMR vaccine,2.25477293516
2570,religious exemption,policy makers,0.352956123865
2582,religious exemption,medical exemption,2.51305784901
2583,religious exemption,Los Angeles County,0.352956123865
2646,religious exemption,Jehovah's Witnesses,0.333808200695
2653,religious exemption,vaccines,0.67343147259
2655,religious exemption,Los Angeles,0.352956123865
2678,religious exemption,reasons,0.389871245251
2683,religious exemption,high vaccination rates,0.434294481903
2686,religious exemption,interventions,0.434294481903
2688,religious exemption,California,0.352956123865
2690,religious exemption,controversial bill,0.339623271895
2695,religious exemption,families,0.339623271895
2698,religious exemption,republicans,0.339623271895
2725,religious exemption,new strategies,0.434294481903
2737,religious exemption,party lines,0.339623271895
2755,religious exemption,vaccine safety,0.333808200695
2757,religious exemption,parents,1.08245064101
2762,religious exemption,vaccine-preventable diseases,0.333808200695
2778,religious exemption,people,0.352956123865
2779,religious exemption,Dutch reformed churches,0.333808200695
2782,religious exemption,vaccination rate,0.768102682599
2795,religious exemption,Muslim fundamentalists,0.333808200695
2823,religious exemption,vaccination,0.333808200695
2824,religious exemption,outbreaks,0.333808200695
2831,religious exemption,preschoolers,0.352956123865
2853,religious exemption,right to personal exemptions,0.352956123865
2861,religious exemption,vaccine requirements,0.339623271895
2868,religious exemption,rubella,0.333808200695
2882,religious exemption,Amish,0.333808200695
2917,results,large,0.37892318169
2920,results,vaccinated high-risk children,0.37892318169
2952,results,studies,0.37892318169
2955,results,Age of Autism,0.37892318169
3010,results,MMR vaccine does not cause autism,0.37892318169
3035,results,observational,0.37892318169
3096,results,anti-vaccination,0.37892318169
3140,results,protective effect of vaccines,0.37892318169
3143,results,MMR vaccine,0.37892318169
3247,results,vaccine-autism link,0.37892318169
3316,results,harmful association,0.37892318169
3365,results,vaccinated children,0.37892318169
3399,results,MMR vaccine safety,0.37892318169
3484,no brainer,risk,0.267546386419
3503,no brainer,medical issue,0.267546386419
3510,no brainer,children with immunosuppressive diseases,0.267546386419
3522,no brainer,Jews,0.267546386419
3526,no brainer,infant disability,0.267546386419
3529,no brainer,low vaccination rates,0.267546386419
3535,no brainer,National Infant Immunization Week,0.267546386419
3570,no brainer,measles outbreak,0.267546386419
3584,no brainer,polio,0.267546386419
3587,no brainer,Muslims,0.267546386419
3599,no brainer,Hilary Clinton,0.267546386419
3605,no brainer,responsibility,0.267546386419
3615,no brainer,Catholics,0.267546386419
3618,no brainer,social norms,0.267546386419
3639,no brainer,Disneyland measles outbreak,0.267546386419
3650,no brainer,infant mortality,0.267546386419
3655,no brainer,state-level policy,0.267546386419
3659,no brainer,religious groups,0.267546386419
3741,no brainer,childhood disease,0.267546386419
3751,no brainer,disease,0.267546386419
3752,no brainer,mental disorders,0.267546386419
3756,no brainer,social network,0.267546386419
3764,no brainer,autism risk,0.267546386419
3769,no brainer,herd immunity,0.267546386419
3800,no brainer,Jehovah's Witnesses,0.267546386419
3803,no brainer,voluntary,0.267546386419
3834,no brainer,community,0.267546386419
3846,no brainer,Islamic principles,0.267546386419
3851,no brainer,measles,0.267546386419
3860,no brainer,hospitalizations,0.267546386419
3884,no brainer,protect the kid next to you,0.267546386419
3910,no brainer,whooping cough,0.267546386419
3916,no brainer,vaccine-preventable diseases,0.267546386419
3933,no brainer,Dutch reformed churches,0.267546386419
3945,no brainer,religion,0.267546386419
3948,no brainer,infectious disease,0.267546386419
3954,no brainer,children with cancer,0.267546386419
3972,no brainer,childhood mortality,0.267546386419
3978,no brainer,outbreaks,0.267546386419
3998,no brainer,deaths,0.267546386419
4003,no brainer,sibling,0.267546386419
4306,repetitive behaviors,social issues,0.910239226627
4479,repetitive behaviors,unable to speak,0.910239226627
4626,children,Orthodox Jewish communities,0.261189256564
4627,children,fence-sitters,0.58677650556
4628,children,Journal of the American Medical Association,0.62133493456
4629,children,sexually transmitted virus,0.254334778144
4630,children,fear of autism,0.671367169568
4635,children,choice,0.258317766807
4640,children,spread of infectious diseases,0.73921611377
4648,children,vaccinated high-risk children,0.333808200695
4652,children,long-term benefits,0.333808200695
4653,children,medical issue,0.51389834237
4655,children,vaccine alternatives,0.258317766807
4658,children,scientists,0.996075140144
4659,children,flu shots,0.417032391424
4662,children,efficacious,0.258317766807
4664,children,genes,0.333808200695
4668,children,protection,0.929684936376
4672,children,Jews,0.258317766807
4679,children,low vaccination rates,0.261189256564
4680,children,studies,0.328458738753
4684,children,brain damage,0.261189256564
4696,children,children with autistic sibling,0.333808200695
4699,children,unvaccinated-friendly day care centres,0.254334778144
4702,children,meningococcal disease,0.675350158232
4705,children,infection,0.258317766807
4706,children,antibiotics,0.721347520444
4707,children,transient,0.333808200695
4712,children,states,0.417032391424
4714,children,science,0.58677650556
4715,children,challenge,0.333808200695
4721,children,vaccination exemption,0.254334778144
4727,children,Wakefield study,0.328458738753
4731,children,population health,0.258317766807
4733,children,polio,0.675350158232
4734,children,risk of infection,0.258317766807
4735,children,potential risks,0.254334778144
4738,children,public health,1.00380889698
4739,children,neurological problems,0.258317766807
4741,children,measles resurgence,0.678221647988
4742,children,gelatin,0.258317766807
4743,children,medical advancement,0.258317766807
4746,children,Jain study,0.745491130177
4750,children,genetic component,0.333808200695
4752,children,hypotheses,0.328458738753
4755,children,vaccine-free day care centres,0.254334778144
4757,children,Mississippi,0.417032391424
4767,children,West Virginia,0.417032391424
4769,children,rubella outbreak,0.721347520444
4770,children,physicians,0.417032391424
4776,children,safe,0.258317766807
4781,children,infectious disease mortality,0.59499745726
4782,children,Merck,0.333808200695
4783,children,schools,0.512652544951
4784,children,mystery,0.333808200695
4787,children,Disneyland measles outbreak,0.261189256564
4789,children,measles experience,0.261189256564
4793,children,developing countries,0.333808200695
4794,children,distrust of medical establishment,0.254334778144
