,closeness vitality
neighbors,5898.0
colleges,5712.0
influenza,6720.0
parents of autistic children,3600.0
religious exemption,3674.0
results,5428.0
no brainer,4934.0
repetitive behaviors,9320.0
children,-2862.0
vaccination schedule,4482.0
best-sellers,5674.0
American Medical Association,4744.0
Orthodox Jewish communities,4620.0
fence-sitters,29132.0
Journal of the American Medical Association,5538.0
sexually transmitted virus,4154.0
fear of autism,3864.0
genetic risk factors for ASD,7126.0
siblings,6670.0
resources,5648.0
risk,4934.0
increased sensitivity to light,5282.0
choice,4520.0
stiff neck,7220.0
nausea,4764.0
ill effects,5966.0
cultured cells,7286.0
spread of infectious diseases,4462.0
decrease in exemption rates,23424.0
debunked,5966.0
mild,5114.0
booster dose,6276.0
large,5428.0
tenderness,5114.0
financial forces,9636.0
efficacious,4520.0
vaccinated high-risk children,10504.0
findings,11736.0
lower rate of autism in vaccinated children,5174.0
Neisseria meningitidis bacteria,5154.0
long-term benefits,5176.0
medical issue,4674.0
universities,6002.0
vaccine alternatives,22666.0
prisons,5712.0
vaccines are effective,5718.0
scientists,4024.0
flu shots,11840.0
children with immunosuppressive diseases,4832.0
body,5202.0
Libya,6032.0
partners,6750.0
genes,4830.0
answers,5268.0
vomiting,5282.0
fluke,6154.0
protection,8580.0
miscarriage,5458.0
Ohio,6032.0
met the bar,6022.0
Jews,3860.0
Victorian government,5530.0
vast amounts of money,5966.0
employees,6504.0
infant disability,4934.0
health care providers,5294.0
controversy,6262.0
low vaccination rates,28000.0
studies,18700.0
danger,1236.0
Age of Autism,4748.0
brain damage,3830.0
National Infant Immunization Week,4838.0
alternative explanation,5600.0
vaccines do not cause autism,25070.0
rash,5282.0
misguided claims,9968.0
Nigeria,7008.0
deafness,6256.0
close contacts,10772.0
vaccine information sources,7696.0
tetanus/diphtheria/pertussis,5234.0
social media,5898.0
withholding vaccines,10036.0
children with autistic sibling,4620.0
Institute of Medicine,31476.0
opposed,12228.0
unvaccinated-friendly day care centres,9688.0
conscientious objectors,6022.0
formal advice,4794.0
meningococcal disease,79948.0
supporters,6022.0
populations,5136.0
infection,3086.0
antibiotics,4748.0
transient,5176.0
cases,5282.0
vaccination coverage,3394.0
other meningococcal disease cases,5282.0
women,19886.0
states,28362.0
shame,8278.0
science,4226.0
challenge,4830.0
vaccinated students,4994.0
California Senate,4864.0
Arizona Department of Health Services,6154.0
measles outbreak,1326.0
immune system disorder,5328.0
vaccination exemption,18822.0
household,5282.0
Nepal,5478.0
one dose of vaccine,7020.0
anti-vaxxer,29088.0
vaccine delivery,5420.0
Wakefield study,64018.0
teen girls,4850.0
girls who received Gardasil,5430.0
philosophical exemption,4934.0
population health,4520.0
infection at multiple sites,5408.0
polio,3830.0
risk of infection,4520.0
potential risks,4334.0
Muslims,4488.0
MMR vaccine does not cause autism,35810.0
Tanzania,6032.0
infant mortality,4934.0
good news,6154.0
measles resurgence,16212.0
gelatin,4438.0
medical advancement,4520.0
law,4864.0
data,5378.0
Jain study,12918.0
health professionals,4786.0
Hilary Clinton,4934.0
thimerosal is safe,5718.0
genetic component,4830.0
early treatment,5282.0
hypotheses,1888.0
vaccine benefits,5540.0
responsibility,4596.0
family tax benefit,6022.0
autism rate,4780.0
senators,5586.0
Mississippi,4824.0
epidemiologist,6286.0
what we already knew,14016.0
vaccinated,10644.0
political issues,7008.0
vaccinations should be voluntary,7254.0
observational,5428.0
Catholics,4488.0
non-judgmental environment,5240.0
kindergarten,4772.0
West Virginia,4824.0
variety of medical conditions,5256.0
rubella outbreak,5584.0
physicians,4372.0
California Coalition for Health Choice,10004.0
childcare services,5592.0
new transmission,5646.0
HPV vaccine recommendations,11712.0
safety concern,7362.0
safe,4464.0
vaccine fear,5422.0
brain development,5972.0
Vaccine Free Family Day Care,4908.0
infectious disease mortality,4464.0
Merck,5176.0
schools,7678.0
mystery,11084.0
prophylaxis,5992.0
India,5478.0
Disneyland measles outbreak,3732.0
religious doctrine,10568.0
measles experience,4620.0
minority views,6056.0
vaccine message,16508.0
Muslim leaders,6096.0
developing countries,4980.0
distrust of medical establishment,4324.0
children with family history of autism,4876.0
immune memory cells,4620.0
democrat,5898.0
three-dose course,7020.0
neurological problems,4520.0
childcare benefits,6022.0
worried,4334.0
parental rights,4112.0
health officials,2740.0
state-level policy,4934.0
activism,4874.0
research,2682.0
private schools,12104.0
women without previous HPV,5408.0
parents who refuse to vaccinate their children,37860.0
Andrew Wakefield,23660.0
issue,5088.0
parental responsibility,4368.0
theory,6678.0
parents who choose to delay vaccination,5162.0
caregivers,5234.0
United States,-7886.0
members,4794.0
Gardasil,-4322.0
immune response,9912.0
unvaccinated clusters,5028.0
benefits,5176.0
wealthy regions,5130.0
