,u,v,jaccard
101,decreasing effectiveness,preteens,0.5
108,decreasing effectiveness,CDC,0.2
172,influenza,major flu impacts,1.0
211,influenza,elderly,0.5
234,influenza,immune response,0.5
247,influenza,age 85 and older,1.0
253,influenza,age 65 and older,0.5
254,influenza,standard vaccine,1.0
277,influenza,mixed findings,1.0
405,Generation Rescue,vaccine-autism link,0.142857142857
407,Generation Rescue,anti-vaccination,0.105263157895
416,Generation Rescue,Barry Segal,0.25
457,Generation Rescue,polarized area,0.166666666667
458,Generation Rescue,autism,0.125
471,Generation Rescue,chronic illness,0.25
482,Generation Rescue,discredited,0.25
488,Generation Rescue,medical license,0.25
573,Immunization Action Coalition,vaccination,0.2
624,Immunization Action Coalition,Dr. Anna Acosta,0.5
639,Immunization Action Coalition,pertussis vaccine,0.0769230769231
669,Ben Allen,protest,0.333333333333
672,Ben Allen,children,0.125
679,Ben Allen,parents,0.285714285714
696,Ben Allen,Disneyland measles outbreak,0.333333333333
703,Ben Allen,everyone,0.333333333333
714,Ben Allen,vaccinated children,0.25
736,Ben Allen,fair balance,0.25
746,Ben Allen,committee hearing room,0.333333333333
754,Ben Allen,infectious disease,0.333333333333
759,Ben Allen,Connie Leyva,0.2
760,Ben Allen,California,0.333333333333
761,Ben Allen,Chairwoman Carol Liu,0.25
762,Ben Allen,Senate committee,0.333333333333
769,Ben Allen,Saron Runner,0.333333333333
773,Ben Allen,Tina Kimmel,0.25
775,Ben Allen,Richard Pan,0.666666666667
777,Ben Allen,Senate Education Committee,0.333333333333
780,Ben Allen,vaccination exemption,0.25
786,Ben Allen,education,0.2
790,Ben Allen,public education,0.2
816,Ben Allen,changes,0.25
821,Ben Allen,personal belief exemption,0.25
827,Ben Allen,low-income family,0.25
849,celebrities,anti-vaxx movement,0.5
856,celebrities,negative perception,0.333333333333
864,celebrities,government mandate,0.5
866,celebrities,nonprofit organizations,0.5
888,celebrities,vaccine risk,0.25
896,celebrities,the sake of being anti-vaccine,0.5
898,celebrities,vaccine-autism link,0.2
913,celebrities,wealthy family foundations,0.5
914,celebrities,Andrew Wakefield,0.166666666667
941,celebrities,measles outbreak,0.5
945,celebrities,Wakefield study,0.5
949,celebrities,polarized area,0.25
954,celebrities,misrepresentation,0.5
957,celebrities,medical belief,0.5
960,celebrities,politicians,0.5
969,celebrities,vaccine-injured children,0.333333333333
983,celebrities,Jenny McCarthy,0.25
986,celebrities,anti-vaxxers,0.25
991,celebrities,open conversations,0.25
1031,major flu impacts,elderly,0.5
1054,major flu impacts,immune response,0.5
1067,major flu impacts,age 85 and older,1.0
1073,major flu impacts,age 65 and older,0.5
1074,major flu impacts,standard vaccine,1.0
1097,major flu impacts,mixed findings,1.0
1158,protest,children,0.166666666667
1165,protest,parents,0.166666666667
1189,protest,everyone,1.0
1200,protest,vaccinated children,0.5
1221,protest,proposed restrictions,0.25
1223,protest,fair balance,0.5
1234,protest,committee hearing room,1.0
1242,protest,infectious disease,1.0
1247,protest,Connie Leyva,0.333333333333
1248,protest,California,1.0
1249,protest,Chairwoman Carol Liu,0.5
1250,protest,Senate committee,1.0
1257,protest,Saron Runner,1.0
1261,protest,Tina Kimmel,0.5
1265,protest,Senate Education Committee,1.0
1268,protest,vaccination exemption,0.5
1274,protest,education,0.333333333333
1278,protest,public education,0.333333333333
1292,protest,home-school,0.25
1304,protest,changes,0.5
1309,protest,personal belief exemption,0.5
1315,protest,low-income family,0.5
1442,scientist,SB 277,0.0416666666667
1479,sleep,increase in cases,0.5
1490,sleep,breathing,1.0
1503,sleep,7-11 year olds,0.5
1527,sleep,teens,1.0
1535,sleep,vomiting,1.0
1536,sleep,United States,0.5
1561,sleep,Australia,1.0
1563,sleep,vaccination,0.2
1575,sleep,severe coughing,1.0
1582,sleep,infants,0.333333333333
1587,sleep,adults,1.0
1635,sleep,whooping cough,1.0
1641,children,Dr. Paul Offit,0.125
1646,children,parents,0.333333333333
1651,children,vaccine efficacy,0.125
1667,children,side effects,0.125
1669,children,everyone,0.166666666667
1675,children,vaccine duration,0.142857142857
1677,children,acellular pertussis vaccine,0.0833333333333
1679,children,vaccinated children,0.142857142857
1680,children,waning immunity,0.166666666667
1685,children,infectious disease,0.166666666667
1700,children,proposed restrictions,0.111111111111
1702,children,fair balance,0.142857142857
1706,children,pertussis increase,0.125
1709,children,adolescents,0.142857142857
1713,children,committee hearing room,0.166666666667
1725,children,Connie Leyva,0.125
1726,children,California,0.166666666667
1727,children,Chairwoman Carol Liu,0.142857142857
1728,children,Senate committee,0.166666666667
1734,children,cases,0.142857142857
1735,children,Saron Runner,0.166666666667
1736,children,CDC,0.111111111111
1739,children,Tina Kimmel,0.142857142857
1742,children,medical science,0.125
1743,children,Senate Education Committee,0.166666666667
1746,children,vaccination exemption,0.142857142857
1754,children,pregnant women,0.166666666667
1755,children,public education,0.125
1765,children,effectiveness,0.166666666667
1768,children,home-school,0.111111111111
1780,children,changes,0.333333333333
1783,children,effective,0.142857142857
1785,children,personal belief exemption,0.142857142857
1790,children,low-income family,0.142857142857
1820,Dr. Paul Offit,side effects,0.2
1828,Dr. Paul Offit,vaccine duration,0.25
1833,Dr. Paul Offit,waning immunity,0.333333333333
1859,Dr. Paul Offit,pertussis increase,0.5
1862,Dr. Paul Offit,adolescents,0.25
1887,Dr. Paul Offit,cases,0.25
1889,Dr. Paul Offit,CDC,0.166666666667
1895,Dr. Paul Offit,medical science,0.2
1908,Dr. Paul Offit,pregnant women,0.333333333333
1920,Dr. Paul Offit,effectiveness,0.333333333333
1935,Dr. Paul Offit,changes,0.25
2063,asthma,autism,0.2
2068,asthma,alzheimer's,1.0
2129,vaccine safety,immunization,0.5
2138,vaccine safety,state-required vaccinations,0.5
2190,vaccine safety,Connie Leyva,0.25
2217,vaccine safety,education,0.666666666667
2225,vaccine safety,SB 277,0.0833333333333
2234,vaccine safety,pertussis vaccine,0.0714285714286
2236,vaccine safety,home-school,0.2
2246,vaccine safety,whole-cell vaccine,0.2
2309,Chris Christie,Rand Paul,0.5
2424,inflammatory disorders,vaccines cause childhood illnesses,0.5
2425,inflammatory disorders,University of British Columbia,0.333333333333
2427,inflammatory disorders,necessary,0.5
2428,inflammatory disorders,man-made,0.5
2432,inflammatory disorders,magic,0.5
2439,inflammatory disorders,side effects,0.25
2451,inflammatory disorders,voluntary,0.5
2458,inflammatory disorders,Pez dispensers,0.5
2460,inflammatory disorders,Rand Paul,0.25
2462,inflammatory disorders,childhood illnesses,0.5
2466,inflammatory disorders,protection,0.333333333333
2473,inflammatory disorders,vaccine-autism link,0.2
2483,inflammatory disorders,miracles,0.5
2493,inflammatory disorders,cognitive disorders,1.0
2494,inflammatory disorders,Alfred and Lisa Claire Dwoskin,0.5
2495,inflammatory disorders,pharmaceuticals,0.5
2502,inflammatory disorders,imperfect,0.5
2510,inflammatory disorders,for-profit,0.5
2512,inflammatory disorders,infants,0.25
2520,inflammatory disorders,immune disorders,1.0
2550,inflammatory disorders,National Vaccine Information Center,0.333333333333
2558,inflammatory disorders,effective,0.333333333333
2605,Dwoskin Family Foundation,vaccines,0.130434782609
2626,Dwoskin Family Foundation,anti-vaccination,0.0416666666667
