,u,v,adamic_adar
465,influenza,controlled trials,1.44269504089
637,influenza,vaccines,0.721347520444
675,influenza,mainstream media,0.721347520444
787,influenza,vaccine proponents,0.721347520444
1145,evidence,toxic adjuvants,0.219089332814
1151,evidence,children,0.219089332814
1159,evidence,disability,0.219089332814
1161,evidence,black lives matter,0.255622218635
1170,evidence,polio vaccine,0.255622218635
1177,evidence,vaccine additives,0.255622218635
1182,evidence,brain inflammation,0.219089332814
1186,evidence,thimerosal phase out,0.474711551449
1187,evidence,cover-up,0.255622218635
1191,evidence,school,0.219089332814
1197,evidence,autoimmune disorder,0.219089332814
1205,evidence,genetically susceptible children,0.219089332814
1207,evidence,GlaxoSmithKine's Energix B,0.219089332814
1213,evidence,lifelong immunity,0.219089332814
1221,evidence,vaccine damage,0.255622218635
1222,evidence,Baby Boom,0.255622218635
1234,evidence,childhood diseases,0.219089332814
1261,evidence,ineffective,0.219089332814
1265,evidence,studies,1.342682455
1283,evidence,additive,0.219089332814
1290,evidence,high risk of speech disorder,0.255622218635
1316,evidence,Senate hearing,0.480898346963
1317,evidence,public health officials,0.219089332814
1319,evidence,high risk of autism,0.255622218635
1323,evidence,science,0.219089332814
1342,evidence,black children,0.219089332814
1358,evidence,hepatitis B,1.69831725952
1363,evidence,public health,0.219089332814
1373,evidence,measles cycle,0.255622218635
1412,evidence,scientific fraud,0.736520565598
1414,evidence,African-American children,0.360673760222
1415,evidence,first-world nations,0.219089332814
1416,evidence,infectious diseases,0.219089332814
1421,evidence,improved healthcare,0.219089332814
1428,evidence,criminal,0.255622218635
1430,evidence,Freedom of Information Act,0.360673760222
1438,evidence,shut your mouth and comply,0.255622218635
1450,evidence,genetically engineered human protein,0.219089332814
1452,evidence,neurotoxins,0.219089332814
1466,evidence,shingles vaccine,0.255622218635
1467,evidence,reactions,0.219089332814
1468,evidence,harm,0.219089332814
1474,evidence,improved santitation,0.219089332814
1477,evidence,harmful toxins,0.219089332814
1498,evidence,math,0.255622218635
1500,evidence,measles recovery period,0.255622218635
1509,evidence,United States,0.219089332814
1511,evidence,brain damaged and autistic,0.219089332814
1518,evidence,SV40,0.474711551449
1534,evidence,deadly diseases,0.219089332814
1535,evidence,National Vaccine Injury Compensation Program,0.219089332814
1540,evidence,safety,0.219089332814
1550,evidence,vaccine adverse reactions,0.255622218635
1573,evidence,doctors,0.360673760222
1576,evidence,population,0.219089332814
1612,evidence,abortion chemicals,0.219089332814
1619,evidence,vaccine ingredients,0.579763093036
1624,evidence,intelligent questions,0.219089332814
1642,evidence,scientifically irresponsible assertion,0.219089332814
1648,evidence,disease,0.219089332814
1651,evidence,flu shots,0.255622218635
1655,evidence,Dr. Suzanne Humphries,0.219089332814
1656,evidence,formaldehyde,0.219089332814
1671,evidence,neurological disorders,0.255622218635
1675,evidence,debate,0.579763093036
1680,evidence,troubling data,0.910239226627
1681,evidence,autism risk,0.255622218635
1686,evidence,good plumbing,0.219089332814
1703,evidence,whistleblower,0.480898346963
1711,evidence,words,0.219089332814
1712,evidence,widespread health problems,0.219089332814
1713,evidence,genetic predisposition,0.219089332814
1719,evidence,aluminum,0.219089332814
1721,evidence,vaccines are not safe,0.255622218635
1739,evidence,CDC study,0.360673760222
1745,evidence,disabled children,0.219089332814
1752,evidence,encephalopathy,0.219089332814
1760,evidence,ethylmercury,0.219089332814
1762,evidence,pneumonia,0.219089332814
1772,evidence,troubling,0.480898346963
1774,evidence,CDC website,0.255622218635
1791,evidence,mercury,0.474711551449
1792,evidence,The Advisory Committee on Immunization Practices,0.255622218635
1799,evidence,Matthew Downing,0.219089332814
1800,evidence,high risk of non-organic sleep disorder,0.255622218635
1804,evidence,vaccine corruption,0.255622218635
1805,evidence,mainstream media,0.219089332814
1813,evidence,blanket statement,0.360673760222
1831,evidence,drug companies,0.219089332814
1832,evidence,American Academy of Pediatrics,0.360673760222
1837,evidence,quackery,0.474711551449
1840,evidence,conventional health experts,0.360673760222
1845,evidence,monosodium glutamate,0.219089332814
1849,evidence,efficacy,0.219089332814
1868,evidence,widespread fear,0.219089332814
1881,evidence,pandemic H1N1 swine flu,0.219089332814
1892,evidence,vaccine industry,0.219089332814
1893,evidence,improved living conditions,0.219089332814
1898,evidence,immune system,0.219089332814
1901,evidence,pregnant women,0.219089332814
1904,evidence,clinical trials,0.474711551449
1932,evidence,CDC scientific fraud,0.255622218635
1938,evidence,vaccination issue,0.255622218635
1954,evidence,righteous anger,0.219089332814
1963,evidence,independent reviews,1.342682455
1967,evidence,more severe autism,0.219089332814
1969,evidence,single visit,0.219089332814
1974,evidence,toxic substances,0.219089332814
1985,evidence,parents,0.360673760222
2005,evidence,swine flu panic campaign,0.255622218635
2016,evidence,toxic chemical ingredients,0.219089332814
2020,evidence,measles decline,0.255622218635
2028,evidence,side effects,0.219089332814
2037,evidence,mentally challenged,0.219089332814
2052,evidence,piece of evidence,0.360673760222
2061,evidence,CDC documents,0.255622218635
2063,evidence,benefit,0.219089332814
2075,evidence,compromised immunity,0.219089332814
2077,evidence,sick children,0.219089332814
2081,evidence,schedule,0.219089332814
2088,evidence,vaccine efficacy,0.255622218635
2105,evidence,trustworthy,0.219089332814
2108,evidence,Americans,0.219089332814
2114,evidence,Big Pharma,0.219089332814
2122,evidence,lies,0.255622218635
2139,evidence,measles cases,0.255622218635
2141,evidence,heavy metals,0.219089332814
2144,evidence,lives of children,0.255622218635
2149,evidence,thimerosal,2.00628571264
2154,evidence,pro-vaccination,0.480898346963
2170,evidence,autism,0.474711551449
2178,evidence,problem,0.219089332814
2182,evidence,number of measles cases,0.255622218635
2191,evidence,unsafe,0.219089332814
2194,evidence,unconcscionable,0.360673760222
2198,evidence,dangerous medical intervention,0.219089332814
2199,evidence,link,0.255622218635
2202,evidence,vaccines are safe,0.255622218635
2209,evidence,SB 277,0.219089332814
2219,evidence,immunity,0.219089332814
2220,evidence,conclusion,0.360673760222
2228,evidence,population growth,0.255622218635
2230,evidence,vaccine-injured children,0.219089332814
2249,evidence,African women,0.219089332814
2250,evidence,antibiotics,0.219089332814
2255,evidence,students,0.219089332814
2264,evidence,chronic disease,0.219089332814
2272,safe level,trace amounts of thimerosal,0.24524606181
2273,safe level,toxic adjuvants,0.24524606181
2286,safe level,disability,0.24524606181
2296,safe level,safe form of mercury,0.288539008178
2299,safe level,financial compensation,0.24524606181
2304,safe level,vaccine additives,0.288539008178
2311,safe level,California government,0.533785069988
2328,safe level,number of recommended shots,0.24524606181
2335,safe level,neurotoxin,0.539229406617
2336,safe level,autism trigger,0.250690398439
2352,safe level,vaccine violence,0.24524606181
2354,safe level,consumers,0.250690398439
2355,safe level,thimerosal-free,0.250690398439
2363,safe level,scientists,0.250690398439
2378,safe level,detoxification,0.288539008178
2382,safe level,traditional medicine,0.24524606181
2388,safe level,mutagen,0.250690398439
2404,safe level,toxic vaccines,0.24524606181
2411,safe level,additive,0.250690398439
2417,safe level,flu shot while pregnant,0.250690398439
2418,safe level,high risk of speech disorder,0.250690398439
2419,safe level,immune system dysfunction,0.24524606181
2425,safe level,injury,0.24524606181
2447,safe level,high risk of autism,0.250690398439
2455,safe level,culprit,0.250690398439
2462,safe level,proof,0.288539008178
2502,safe level,pandemic H1N1 swine flu vaccine,0.533785069988
2504,safe level,Baby Boomers,0.24524606181
2526,safe level,childhood vaccines,0.250690398439
2529,safe level,industry-funded findings,0.250690398439
2566,safe level,food,0.24524606181
2568,safe level,safe,0.250690398439
2575,safe level,severe brain damage,0.24524606181
2621,safe level,health,0.24524606181
2632,safe level,rational scientist,0.288539008178
2642,safe level,USDA food donations,0.24524606181
2643,safe level,brain damaged and autistic,0.24524606181
2662,safe level,vaccine agenda,0.288539008178
2672,safe level,safety,0.288539008178
2674,safe level,U.S. government,0.288539008178
2684,safe level,single dose vaccines,0.250690398439
2687,safe level,top health officials,0.250690398439
2704,safe level,doctors,0.24524606181
2705,safe level,injected,0.288539008178
2706,safe level,annual flu shot,0.24524606181
2710,safe level,anaphylactic shock,0.250690398439
2725,safe level,Jim Carrey,0.250690398439
2750,safe level,vaccine ingredients,0.250690398439
2767,safe level,multi-dose vaccines,0.288539008178
2772,safe level,neurological damage,0.250690398439
2777,safe level,adult brain cells,0.250690398439
2782,safe level,flu shots,0.784475468427
2789,safe level,glutathione levels,0.288539008178
2798,safe level,Rho-GAM shots,0.250690398439
2802,safe level,neurological disorders,0.250690398439
2804,safe level,neurotoxic,0.539229406617
2807,safe level,brain dysfunction,0.24524606181
2812,safe level,autism risk,0.250690398439
2829,safe level,severe autism,0.250690398439
2830,safe level,trace levels of mercury,0.24524606181
2843,safe level,widespread health problems,0.24524606181
2849,safe level,glutathione,0.288539008178
2851,safe level,aluminum,0.288539008178
2866,safe level,cataplexy,0.24524606181
2868,safe level,FDA,0.250690398439
