,u,v,jaccard
465,influenza,controlled trials,0.5
637,influenza,vaccines,0.0103092783505
675,influenza,mainstream media,0.0277777777778
787,influenza,vaccine proponents,0.333333333333
1145,evidence,toxic adjuvants,0.0909090909091
1151,evidence,children,0.0147058823529
1159,evidence,disability,0.0833333333333
1161,evidence,black lives matter,0.1
1170,evidence,polio vaccine,0.0526315789474
1177,evidence,vaccine additives,0.0555555555556
1182,evidence,brain inflammation,0.0909090909091
1186,evidence,thimerosal phase out,0.153846153846
1187,evidence,cover-up,0.0833333333333
1191,evidence,school,0.1
1197,evidence,autoimmune disorder,0.0909090909091
1205,evidence,genetically susceptible children,0.0625
1207,evidence,GlaxoSmithKine's Energix B,0.0714285714286
1213,evidence,lifelong immunity,0.1
1221,evidence,vaccine damage,0.047619047619
1222,evidence,Baby Boom,0.0909090909091
1234,evidence,childhood diseases,0.0769230769231
1261,evidence,ineffective,0.1
1265,evidence,studies,0.153846153846
1283,evidence,additive,0.0909090909091
1290,evidence,high risk of speech disorder,0.0909090909091
1316,evidence,Senate hearing,0.0909090909091
1317,evidence,public health officials,0.0714285714286
1319,evidence,high risk of autism,0.0909090909091
1323,evidence,science,0.04
1342,evidence,black children,0.0909090909091
1358,evidence,hepatitis B,0.117647058824
1363,evidence,public health,0.0625
1373,evidence,measles cycle,0.0833333333333
1412,evidence,scientific fraud,0.0909090909091
1414,evidence,African-American children,0.1
1415,evidence,first-world nations,0.0833333333333
1416,evidence,infectious diseases,0.0714285714286
1421,evidence,improved healthcare,0.1
1428,evidence,criminal,0.0909090909091
1430,evidence,Freedom of Information Act,0.1
1438,evidence,shut your mouth and comply,0.0833333333333
1450,evidence,genetically engineered human protein,0.0909090909091
1452,evidence,neurotoxins,0.1
1466,evidence,shingles vaccine,0.0434782608696
1467,evidence,reactions,0.0909090909091
1468,evidence,harm,0.0833333333333
1474,evidence,improved santitation,0.1
1477,evidence,harmful toxins,0.0909090909091
1498,evidence,math,0.1
1500,evidence,measles recovery period,0.1
1509,evidence,United States,0.0384615384615
1511,evidence,brain damaged and autistic,0.0909090909091
1518,evidence,SV40,0.08
1534,evidence,deadly diseases,0.1
1535,evidence,National Vaccine Injury Compensation Program,0.0384615384615
1540,evidence,safety,0.0833333333333
