,u,v,jaccard
80,neighbors,social media,1.0
170,neighbors,schools,0.125
280,neighbors,pro-vaccination,0.25
370,neighbors,community,0.0625
623,colleges,prisons,1.0
670,colleges,meningococcal disease,0.037037037037
672,colleges,populations,0.5
752,colleges,schools,0.125
952,colleges,community,0.0625
1184,influenza,stiff neck,0.5
1325,influenza,safety concern,0.5
1397,influenza,headache,0.333333333333
1457,influenza,vaccine potency,0.333333333333
1556,influenza,CDC,0.25
1579,influenza,GlaxoSmithKline,0.333333333333
1594,influenza,fever,0.333333333333
1599,influenza,reduced effectiveness,0.5
1749,parents of autistic children,children,0.0833333333333
1757,parents of autistic children,fear of autism,0.25
1774,parents of autistic children,financial forces,0.111111111111
1794,parents of autistic children,protection,0.0909090909091
1808,parents of autistic children,Age of Autism,0.142857142857
1811,parents of autistic children,alternative explanation,0.166666666667
1814,parents of autistic children,misguided claims,0.1
1850,parents of autistic children,anti-vaxxer,0.1
1863,parents of autistic children,public health,0.181818181818
1866,parents of autistic children,measles resurgence,0.0909090909091
1871,parents of autistic children,Jain study,0.111111111111
1877,parents of autistic children,hypotheses,0.111111111111
1880,parents of autistic children,vaccine-free day care centres,0.0909090909091
1896,parents of autistic children,physicians,0.111111111111
1897,parents of autistic children,California Coalition for Health Choice,0.125
1906,parents of autistic children,Vaccine Free Family Day Care,0.166666666667
1931,parents of autistic children,activism,0.142857142857
1934,parents of autistic children,religious groups,0.04
1945,parents of autistic children,immune response,0.111111111111
1976,parents of autistic children,doctors,0.125
1982,parents of autistic children,risk of mumps,0.166666666667
1991,parents of autistic children,unlikely,0.166666666667
1998,parents of autistic children,policy makers,0.0909090909091
2021,parents of autistic children,consequences,0.166666666667
2039,parents of autistic children,autism risk,0.0555555555556
2053,parents of autistic children,unethical,0.166666666667
2090,parents of autistic children,we,0.125
2099,parents of autistic children,vaccine-autism link,0.0384615384615
2110,parents of autistic children,church,0.1
2117,parents of autistic children,risk of rubella,0.166666666667
2123,parents of autistic children,families,0.0833333333333
2125,parents of autistic children,measles,0.0196078431373
2127,parents of autistic children,argument,0.142857142857
2171,parents of autistic children,prevention,0.142857142857
2185,parents of autistic children,parents,0.0363636363636
2189,parents of autistic children,personal belief reasons,0.125
2203,parents of autistic children,side effects,0.0555555555556
2218,parents of autistic children,religion,0.0833333333333
2220,parents of autistic children,developmental disability,0.111111111111
2246,parents of autistic children,Eagle Mountain International Church,0.285714285714
2249,parents of autistic children,health benefits,0.0769230769231
2253,parents of autistic children,religious beliefs,0.125
2270,parents of autistic children,money,0.1
2279,parents of autistic children,vaccine mandates,0.0909090909091
2283,parents of autistic children,autism,0.0833333333333
2287,parents of autistic children,SB 277,0.0416666666667
2301,parents of autistic children,time,0.166666666667
2326,religious exemption,American Medical Association,0.0833333333333
2373,religious exemption,Jews,0.0769230769231
2402,religious exemption,formal advice,0.111111111111
2417,religious exemption,California Senate,0.111111111111
2419,religious exemption,measles outbreak,0.0666666666667
2429,religious exemption,philosophical exemption,0.222222222222
2435,religious exemption,Muslims,0.1
2443,religious exemption,law,0.111111111111
2458,religious exemption,vaccinated,0.0625
2462,religious exemption,Catholics,0.1
2464,religious exemption,kindergarten,0.222222222222
2470,religious exemption,California Coalition for Health Choice,0.0909090909091
2471,religious exemption,childcare services,0.111111111111
2482,religious exemption,schools,0.0625
2486,religious exemption,Disneyland measles outbreak,0.0714285714286
2501,religious exemption,health officials,0.0769230769231
2508,religious exemption,issue,0.1
2514,religious exemption,members,0.111111111111
2519,religious exemption,wealthy regions,0.1
2520,religious exemption,anti-vaccination,0.0606060606061
2522,religious exemption,state legislatures,0.1
2534,religious exemption,prohibits vaccinating members,0.111111111111
2541,religious exemption,compromise,0.1
