,page rank
CDC documents,0.000816353478407
religious exemption,0.000363847455212
biological weapons,0.000341871236999
Surgeon General Vivek Murthy,0.00221451386866
remove heavy metals,0.000318510297691
Supreme Court,0.000424442552631
herd mentality,0.00216713977525
Norwegian health authorities,0.000581682139767
flu shot campaign,0.000471449303869
toxic adjuvants,0.000504990225876
influenza,0.000725304915295
government health agencies,0.00033626899785
controversial,0.000318510297691
Vaccine Injury Compensation Program,0.00167729734612
battle,0.000485246382045
compensation claims,0.000478862133722
settlement,0.00116690373589
children,0.0158072319705
heightened emotion,0.000748425392315
carpet,0.000356701769283
Dr. Paul Offit,0.00367469143549
vaccination schedule,0.00161193059697
runny nose,0.000363104405182
ignorant,0.000405705329169
tremors,0.00039918351657
safe level,0.000686983811669
disability,0.000926465187615
Hitler's minions,0.000389928736168
proper protocol,0.000362490638395
flu shot while pregnant,0.000321316205065
public health officials,0.00119353751153
medical fraud,0.000323586286582
pre-emptive strike,0.000482524384836
trust of patients,0.000354720224608
partial facial paralysis,0.00039918351657
Merck's RotaTeq vaccine,0.000686999089978
safe form of mercury,0.000657579308511
necessary,0.000319490065673
Dr. William Thompson,0.000564889893936
hydrolyzed porcine gelatin,0.000920651388761
financial compensation,0.00162941160099
legislators,0.000560416693172
risk,0.000372772390991
compassion,0.000322382940506
vaccine additives,0.00212168750837
parents who know that vaccines are not safe,0.000350090710871
assault and battery,0.000354720224608
blockade,0.000606814886955
Sharyl Attkisson,0.000713138334721
fall,0.00057496788678
parent-reported cases,0.000321540791014
thimerosal phase out,0.00130342857145
government partnership with Big Pharma,0.00126447422921
petitioner-friendly,0.0004098730829
nausea,0.000364638689968
trace amounts of thimerosal,0.00148427643704
school,0.000315748716371
potassium phosphate monobasic,0.000376061762968
Zostavax,0.000339429370899
mothers,0.00113969450279
irritable bowels,0.000343421341976
sicker children,0.000349045319202
vaccine program,0.0004111483338
Renee Gentry,0.000816905896564
recombinant human albumin,0.000416235353645
NVIC,0.00063772495814
convenience,0.000323586286582
member of the lunatic fringe,0.0003880009619
science,0.00431268841863
genetically susceptible children,0.0022537677669
GlaxoSmithKine's Energix B,0.00127761219244
exemptions,0.000681818935597
neurotoxin,0.00181167446345
autism trigger,0.000321316205065
nutrition-lacking food,0.000702450475388
Pro-Quad Hepatitis A,0.000383447421889
medical associations,0.000373109071747
Americans,0.0015429474087
sick children,0.00105568797635
genetic correlation,0.000517464803602
holocaust,0.00136178940184
unvaccinated children,0.00181570431205
neurotoxic,0.000838116979453
rate,0.000321540791014
lymphatic cancer,0.000343967644809
limb paralysis,0.00039918351657
seasonal flu shot,0.000532121343828
vaccine damage,0.00319329322151
headlines,0.000330535991901
malnourishment,0.000363104405182
vaccine violence,0.000913473470846
illogical,0.000679733530654
consumers,0.000321316205065
thimerosal-free,0.00117481555548
vaccines are effective,0.000558864973945
delusions,0.000350090710871
Penn and Teller,0.000349045319202
health,0.000677642576468
painful skin rashes,0.00037934310798
CDC and Big Pharma,0.000744792277774
scientists,0.000818074250168
time-consuming,0.0004098730829
nurse,0.000362490638395
America,0.000809132827772
public,0.00249110840345
body,0.000369490523296
partners,0.000365546244027
denial,0.00053983349293
former cheerleaders,0.000527113160945
rules of due process and law,0.000424442552631
water,0.000479141873368
protection,0.000558520379181
misguided notion,0.000419675222682
