,page rank
neighbors,0.000686347536046
colleges,0.000667509662726
influenza,0.00133875444045
parents of autistic children,0.00241945838877
religious exemption,0.00346231118352
results,0.000608165044304
no brainer,0.000593234889022
repetitive behaviors,0.000988606983804
children,0.00934050653183
vaccination schedule,0.00129492161947
best-sellers,0.000815292960684
American Medical Association,0.0020974529799
Orthodox Jewish communities,0.000583309347664
fence-sitters,0.002144645876
Journal of the American Medical Association,0.000651049880163
sexually transmitted virus,0.00168320489741
fear of autism,0.00204983307726
genetic risk factors for ASD,0.000892347222209
siblings,0.000759240261988
resources,0.00118854397442
risk,0.000593234889022
increased sensitivity to light,0.000672511858335
choice,0.000592048388798
stiff neck,0.000803153723708
nausea,0.00111634195227
ill effects,0.000727069822486
cultured cells,0.00160916479854
spread of infectious diseases,0.00162375131987
decrease in exemption rates,0.00296148919816
debunked,0.000727069822486
mild,0.000700240350343
booster dose,0.000679784412586
large,0.000608165044304
tenderness,0.000700240350343
financial forces,0.00203473572084
efficacious,0.000592048388798
vaccinated high-risk children,0.00148254485131
findings,0.00162534543675
lower rate of autism in vaccinated children,0.000955920579246
Neisseria meningitidis bacteria,0.001534907456
long-term benefits,0.000637407945992
medical issue,0.000928525509432
universities,0.000754290828948
vaccine alternatives,0.00197252719155
prisons,0.000667509662726
vaccines are effective,0.000651403498508
scientists,0.00170917765505
flu shots,0.00138245866238
children with immunosuppressive diseases,0.000902676609583
body,0.000621726267681
Libya,0.0010645423701
partners,0.000813975427312
genes,0.000555795127107
answers,0.00061186325354
vomiting,0.000672511858335
fluke,0.000759863420098
protection,0.00250299533985
miscarriage,0.00108470981181
Ohio,0.0010645423701
met the bar,0.00075953813655
Jews,0.00206130023863
Victorian government,0.000573857496395
vast amounts of money,0.000727069822486
employees,0.000648106877419
infant disability,0.000593234889022
health care providers,0.000928416248628
controversy,0.000752008641313
low vaccination rates,0.00387406944251
studies,0.00604107311443
danger,0.00117682625992
Age of Autism,0.000962029182202
brain damage,0.001124786257
National Infant Immunization Week,0.000984611652845
alternative explanation,0.00061316397417
vaccines do not cause autism,0.00250525415568
rash,0.000672511858335
misguided claims,0.00251483485456
Nigeria,0.000790583542877
deafness,0.000797887165747
close contacts,0.00191577474264
