name,sentiment,node,degree,degree centrality,betweenness centrality,closeness centrality
neg_all.gml,neg,religious exemption,1,0.000640204865557,0.0,0.0
neg_all.gml,neg,adverse effects,15,0.00960307298335,3.77314847093e-05,0.0089628681178
neg_all.gml,neg,flu shot campaign,1,0.000640204865557,0.0,0.00146332540699
neg_all.gml,neg,toxic adjuvants,2,0.00128040973111,0.0,0.0
neg_all.gml,neg,government health agencies,1,0.000640204865557,0.0,0.001152368758
neg_all.gml,neg,controversial,1,0.000640204865557,0.0,0.0
neg_all.gml,neg,swine-flu-related drugs,1,0.000640204865557,0.0,0.0
neg_all.gml,neg,safe level of exposure,1,0.000640204865557,0.0,0.0
neg_all.gml,neg,heightened emotion,2,0.00128040973111,0.000132060196483,0.000640204865557
neg_all.gml,neg,Dr. Paul Offit,16,0.0102432778489,0.0,0.00942847165638
neg_all.gml,neg,tremors,1,0.000640204865557,0.0,0.0
neg_all.gml,neg,disability,3,0.00192061459667,0.0,0.0626574801938
neg_all.gml,neg,proper protocol,1,0.000640204865557,0.0,0.0
neg_all.gml,neg,flu shot while pregnant,1,0.000640204865557,0.0,0.000640204865557
neg_all.gml,neg,genetic tests,2,0.00128040973111,0.0,0.00128040973111
neg_all.gml,neg,partial facial paralysis,1,0.000640204865557,0.0,0.0
neg_all.gml,neg,Merck's RotaTeq vaccine,2,0.00128040973111,0.0,0.0
neg_all.gml,neg,safe form of mercury,2,0.00128040973111,0.000132060196483,0.000640204865557
neg_all.gml,neg,financial compensation,7,0.0044814340589,0.00160878301471,0.0543049811897
neg_all.gml,neg,legislators,2,0.00128040973111,8.20249667594e-07,0.000960307298335
neg_all.gml,neg,risk,1,0.000640204865557,0.0,0.0
neg_all.gml,neg,compassion,1,0.000640204865557,0.0,0.0
neg_all.gml,neg,vaccine additives,9,0.00576184379001,0.00327404116934,0.0800533352315
neg_all.gml,neg,Hilleman,2,0.00128040973111,0.0,0.0521616258069
neg_all.gml,neg,medical industry,1,0.000640204865557,0.0,0.0585076699467
neg_all.gml,neg,medical ethics,1,0.000640204865557,0.0,0.0
neg_all.gml,neg,financial conlicts of interest,1,0.000640204865557,0.0,0.0
neg_all.gml,neg,school,1,0.000640204865557,0.0,0.0
neg_all.gml,neg,irritable bowels,1,0.000640204865557,0.0,0.0
neg_all.gml,neg,sicker children,1,0.000640204865557,0.0,0.0
neg_all.gml,neg,vaccine program,1,0.000640204865557,0.0,0.0
neg_all.gml,neg,Renee Gentry,2,0.00128040973111,0.0,0.0608148306408
neg_all.gml,neg,convenience,1,0.000640204865557,0.0,0.0
neg_all.gml,neg,vaccine damage,12,0.00768245838668,0.0268238403557,0.103590555921
neg_all.gml,neg,first measles vaccine,1,0.000640204865557,0.0,0.000853606487409
neg_all.gml,neg,neural damage,2,0.00128040973111,0.000132060196483,0.000640204865557
neg_all.gml,neg,protection,2,0.00128040973111,0.000313034614809,0.0569129180161
neg_all.gml,neg,sinister revenue model,1,0.000640204865557,0.0,0.0
neg_all.gml,neg,members of the herd,1,0.000640204865557,0.0,0.0
