"","id","label","community"
"1","1","influenza",1
"2","2","Generation Rescue",2
"3","3","Immunization Action Coalition",3
"4","4","vaccinated",1
"5","5","celebrities",2
"6","6","major flu impacts",1
"7","7","protest",4
"8","8","scientist",4
"9","9","sleep",3
"10","10","children",4
"11","11","Dr. Paul Offit",5
"12","12","asthma",6
"13","13","vaccine safety",4
"14","14","Chris Christie",7
"15","15","inflammatory disorders",8
"16","16","Dwoskin Family Foundation",8
"17","17","parents",4
"18","18","Barry Segal",6
"19","19","Ben Allen",4
"20","20","friends and family",2
"21","21","breathing",3
"22","22","for-profit",8
"23","23","vaccine efficacy",9
"24","24","vaccines cause childhood illnesses",8
"25","25","University of British Columbia",2
"26","26","parental choice",4
"27","27","pregnant women",5
"28","28","chronic illness",6
"29","29","necessary",8
"30","30","man-made",8
"31","31","Focus for Health",6
"32","32","school",4
"33","33","infectious disease",4
"34","34","magic",8
"35","35","negative perception",2
"36","36","7-11 year olds",5
"37","37","Disneyland measles outbreak",4
"38","38","acelluar vaccine",9
"39","39","immunization",4
"40","40","increase in cases",3
"41","41","Children's Hospital of Philadelphia",5
"42","42","side effects",5
"43","43","government mandate",2
"44","44","everyone",4
"45","45","nonprofit organizations",2
"46","46","waning effectiveness",5
"47","47","standard flu vaccine",1
"48","48","elderly",1
"49","49","state-required vaccinations",4
"50","50","vaccine duration",9
"51","51","bacteria",9
"52","52","acellular pertussis vaccine",9
"53","53","voluntary",8
"54","54","vaccinated children",4
"55","55","waning immunity",5
"56","56","debate",3
"57","57","vaccines",8
"58","58","Lisa and J.B. Handley",2
"59","59","ages 65-84",1
"60","60","teens",3
"61","61","decreasing effectiveness",3
"62","62","Pez dispensers",8
"63","63","minimal",5
"64","64","Rand Paul",7
"65","65","childhood illnesses",8
"66","66","vaccine risk",2
"67","67","vomiting",3
"68","68","United States",3
"69","69","protection",9
"70","70","Republican",7
"71","71","diagnosis",6
"72","72","immune response",1
"73","73","parents with vaccine-injured children",2
"74","74","diagnoses",6
"75","75","pertussis",3
"76","76","the sake of being anti-vaccine",2
"77","77","proposed restrictions",4
"78","78","vaccine-autism link",2
"79","79","fair balance",4
"80","80","anti-vaccination",2
"81","81","vaccination",3
"82","82","measles vaccine is safe",5
"83","83","pertussis increase",5
"84","84","age 85 and older",1
"85","85","adolescents",5
"86","86","options",4
"87","87","miracles",8
"88","88","low-income family",4
"89","89","committee hearing room",4
"90","90","age 65 and older",1
"91","91","standard vaccine",1
"92","92","artificial vaccine",1
"93","93","wealthy family foundations",2
"94","94","Andrew Wakefield",2
"95","95","Australia",3
"96","96","vaccine concerns",8
"97","97","cognitive disorders",8
"98","98","Alfred and Lisa Claire Dwoskin",8
"99","99","pharmaceuticals",8
"100","100","California",4
"101","101","Connie Leyva",4
"102","102","pertussis booster shot",3
"103","103","Chairwoman Carol Liu",4
"104","104","Senate committee",4
"105","105","preteens",3
"106","106","imperfect",8
"107","107","rubella vaccination is safe",5
"108","108","vaccine refusal",1
"109","109","severe coughing",3
"110","110","cases",5
"111","111","Saron Runner",4
"112","112","CDC",3
"113","113","mixed findings",1
"114","114","vaccine-preventable diseases",2
"115","115","Tina Kimmel",4
"116","116","Jenny McCarthy",2
"117","117","infants",8
"118","118","Richard Pan",4
"119","119","medical science",5
"120","120","Senate Education Committee",4
"121","121","measles outbreak",2
"122","122","adults",3
"123","123","vaccination exemption",4
"124","124","vaccine debate",2
"125","125","immune disorders",8
"126","126","Wakefield study",2
"127","127","young people",10
"128","128","vaccine choice",7
"129","129","education",4
"130","130","polarized area",2
"131","131","autism",6
"132","132","increased",6
"133","133","public education",10
"134","134","protested",10
"135","135","misrepresentation",2
"136","136","alzheimer's",6
"137","137","SB 277",4
"138","138","medical belief",2
"139","139","maternal inoculation",8
"140","140","crazy people",2
"141","141","politicians",2
"142","142","concerns",4
"143","143","Americans",5
"144","144","effectiveness",5
"145","145","immunity",1
"146","146","pertussis vaccine",5
"147","147","infant mortality",3
"148","148","home-school",4
"149","149","students",4
"150","150","vaccine-injured children",2
"151","151","PLOS Computational Biology",9
"152","152","upward trend",5
"153","153","side of right and good",2
"154","154","discredited",2
"155","155","National Vaccine Information Center",8
"156","156","president",7
"157","157","data",3
"158","158","whole-cell vaccine",9
"159","159","high-dose flu vaccine",1
"160","160","medical license",2
"161","161","MMR vaccine",6
"162","162","effective",9
"163","163","changes",4
"164","164","personal belief exemption",4
"165","165","disease",1
"166","166","anti-vaxxers",2
"167","167","anti-vaxx movement",2
"168","168","open conversations",2
"169","169","Dr. Anna Acosta",3
"170","170","whooping cough",3
"171","171","Tdap vaccine",9
