name,sentiment,node,degree,deg cent,bet cent,clo cent
u_Gc_positive2.gml,positive,neighbors,1,0.001712329,0,0.198033232
u_Gc_positive2.gml,positive,colleges,1,0.001712329,0,0.204481793
u_Gc_positive2.gml,positive,influenza,2,0.003424658,0.000744261,0.168009206
u_Gc_positive2.gml,positive,parents of autistic children,6,0.010273973,0.005560107,0.265938069
u_Gc_positive2.gml,positive,religious exemption,9,0.015410959,0.007146023,0.269995377
u_Gc_positive2.gml,positive,results,1,0.001712329,0,0.215180545
u_Gc_positive2.gml,positive,no brainer,1,0.001712329,0,0.236724767
u_Gc_positive2.gml,positive,repetitive behaviors,1,0.001712329,0,0.125321888
u_Gc_positive2.gml,positive,children,26,0.044520548,0.082501978,0.341520468
u_Gc_positive2.gml,positive,vaccination schedule,3,0.005136986,0.001337678,0.26013363
u_Gc_positive2.gml,positive,best-sellers,1,0.001712329,0,0.205851251
u_Gc_positive2.gml,positive,American Medical Association,5,0.008561644,0.001072684,0.236150425
u_Gc_positive2.gml,positive,Orthodox Jewish communities,1,0.001712329,0,0.252813853
u_Gc_positive2.gml,positive,fence-sitters,4,0.006849315,0.015500994,0.277434679
u_Gc_positive2.gml,positive,Journal of the American Medical Association,1,0.001712329,0,0.210906464
u_Gc_positive2.gml,positive,sexually transmitted virus,4,0.006849315,0.007282199,0.28049952
u_Gc_positive2.gml,positive,fear of autism,5,0.008561644,0.00859846,0.276515152
u_Gc_positive2.gml,positive,genetic risk factors for ASD,1,0.001712329,0,0.16390682
u_Gc_positive2.gml,positive,siblings,1,0.001712329,0,0.175112444
u_Gc_positive2.gml,positive,resources,2,0.003424658,0.001835922,0.205923836
u_Gc_positive2.gml,positive,risk,1,0.001712329,0,0.236724767
u_Gc_positive2.gml,positive,increased sensitivity to light,1,0.001712329,0,0.22112836
u_Gc_positive2.gml,positive,choice,1,0.001712329,0,0.25840708
u_Gc_positive2.gml,positive,stiff neck,1,0.001712329,0,0.161772853
u_Gc_positive2.gml,positive,nausea,2,0.003424658,0.001684838,0.245172124
u_Gc_positive2.gml,positive,ill effects,1,0.001712329,0,0.195776064
u_Gc_positive2.gml,positive,cultured cells,3,0.005136986,0.002273315,0.160307439
u_Gc_positive2.gml,positive,spread of infectious diseases,4,0.006849315,0.001094831,0.261766024
u_Gc_positive2.gml,positive,decrease in exemption rates,5,0.008561644,0.010309704,0.234161989
u_Gc_positive2.gml,positive,debunked,1,0.001712329,0,0.195776064
u_Gc_positive2.gml,positive,mild,1,0.001712329,0,0.228392648
u_Gc_positive2.gml,positive,booster dose,1,0.001712329,0,0.1861058
u_Gc_positive2.gml,positive,large,1,0.001712329,0,0.215180545
u_Gc_positive2.gml,positive,tenderness,1,0.001712329,0,0.228392648
u_Gc_positive2.gml,positive,financial forces,4,0.006849315,0.00748559,0.243739566
u_Gc_positive2.gml,positive,efficacious,1,0.001712329,0,0.25840708
u_Gc_positive2.gml,positive,vaccinated high-risk children,3,0.005136986,0.003846673,0.250107066
u_Gc_positive2.gml,positive,findings,3,0.005136986,0.003641046,0.220961029
u_Gc_positive2.gml,positive,lower rate of autism in vaccinated children,2,0.003424658,0,0.225744105
u_Gc_positive2.gml,positive,Neisseria meningitidis bacteria,3,0.005136986,0.000680657,0.225569718
u_Gc_positive2.gml,positive,long-term benefits,1,0.001712329,0,0.225656878
u_Gc_positive2.gml,positive,medical issue,2,0.003424658,0.000420953,0.246413502
u_Gc_positive2.gml,positive,universities,1,0.001712329,0,0.194601799
u_Gc_positive2.gml,positive,vaccine alternatives,3,0.005136986,0.010250476,0.259094942
u_Gc_positive2.gml,positive,prisons,1,0.001712329,0,0.204481793
u_Gc_positive2.gml,positive,vaccines are effective,1,0.001712329,0,0.204267226
u_Gc_positive2.gml,positive,scientists,4,0.006849315,0.004026037,0.263063063
u_Gc_positive2.gml,positive,flu shots,3,0.005136986,0.003424658,0.218808543
u_Gc_positive2.gml,positive,children with immunosuppressive diseases,2,0.003424658,0,0.241721854
u_Gc_positive2.gml,positive,body,1,0.001712329,0,0.224529027
u_Gc_positive2.gml,positive,Libya,2,0.003424658,2.71E-05,0.193633952
u_Gc_positive2.gml,positive,partners,1,0.001712329,0,0.173037037
u_Gc_positive2.gml,positive,genes,1,0.001712329,0,0.241821946
u_Gc_positive2.gml,positive,answers,1,0.001712329,0,0.221716021
u_Gc_positive2.gml,positive,vomiting,1,0.001712329,0,0.22112836
u_Gc_positive2.gml,positive,fluke,1,0.001712329,0,0.189795255
u_Gc_positive2.gml,positive,protection,6,0.010273973,0.012885489,0.299948639
u_Gc_positive2.gml,positive,miscarriage,2,0.003424658,0,0.213997801
u_Gc_positive2.gml,positive,Ohio,2,0.003424658,2.71E-05,0.193633952
u_Gc_positive2.gml,positive,met the bar,1,0.001712329,0,0.193955497
u_Gc_positive2.gml,positive,Jews,5,0.008561644,0.002469867,0.290547264
u_Gc_positive2.gml,positive,Victorian government,1,0.001712329,0,0.211211573
u_Gc_positive2.gml,positive,vast amounts of money,1,0.001712329,0,0.195776064
u_Gc_positive2.gml,positive,employees,1,0.001712329,0,0.179581796
u_Gc_positive2.gml,positive,infant disability,1,0.001712329,0,0.236724767
u_Gc_positive2.gml,positive,health care providers,2,0.003424658,3.13E-06,0.220627125
u_Gc_positive2.gml,positive,controversy,1,0.001712329,0,0.186521878
u_Gc_positive2.gml,positive,low vaccination rates,9,0.015410959,0.016635101,0.271123491
u_Gc_positive2.gml,positive,studies,13,0.022260274,0.025942397,0.25659051
u_Gc_positive2.gml,positive,danger,2,0.003424658,0.007191843,0.245584525
u_Gc_positive2.gml,positive,Age of Autism,2,0.003424658,0,0.245998315
u_Gc_positive2.gml,positive,brain damage,2,0.003424658,0.004536161,0.257609175
u_Gc_positive2.gml,positive,National Infant Immunization Week,2,0.003424658,0.000897241,0.241422075
u_Gc_positive2.gml,positive,alternative explanation,1,0.001712329,0,0.208571429
u_Gc_positive2.gml,positive,vaccines do not cause autism,3,0.005136986,0.006843441,0.154049064
u_Gc_positive2.gml,positive,rash,1,0.001712329,0,0.22112836
u_Gc_positive2.gml,positive,misguided claims,5,0.008561644,0.010323946,0.242022379
u_Gc_positive2.gml,positive,Nigeria,1,0.001712329,0,0.166666667
u_Gc_positive2.gml,positive,deafness,1,0.001712329,0,0.186700767
u_Gc_positive2.gml,positive,close contacts,4,0.006849315,0.003958381,0.242022379
u_Gc_positive2.gml,positive,vaccine information sources,1,0.001712329,0,0.151767152
u_Gc_positive2.gml,positive,tetanus/diphtheria/pertussis,1,0.001712329,0,0.223156286
u_Gc_positive2.gml,positive,social media,1,0.001712329,0,0.198033232
u_Gc_positive2.gml,positive,withholding vaccines,4,0.006849315,0.004072176,0.263300271
u_Gc_positive2.gml,positive,children with autistic sibling,5,0.008561644,0.000361416,0.252813853
u_Gc_positive2.gml,positive,Institute of Medicine,2,0.003424658,0.010238727,0.181818182
u_Gc_positive2.gml,positive,opposed,4,0.006849315,0.003558296,0.211135213
u_Gc_positive2.gml,positive,unvaccinated-friendly day care centres,4,0.006849315,0.005960692,0.274049742
u_Gc_positive2.gml,positive,conscientious objectors,1,0.001712329,0,0.193955497
u_Gc_positive2.gml,positive,formal advice,1,0.001712329,0,0.243637881
u_Gc_positive2.gml,positive,meningococcal disease,31,0.053082192,0.090500161,0.283770651
u_Gc_positive2.gml,positive,supporters,1,0.001712329,0,0.193955497
u_Gc_positive2.gml,positive,populations,2,0.003424658,0.000251099,0.226884227
u_Gc_positive2.gml,positive,infection,10,0.017123288,0.007610362,0.277302944
