name,sentiment,node,degree,deg cent,bet cent,clo cent,eigen cent,central
u_Gc_positive2.gml,positive,parents,58,0.099315068,0.271838813,0.368686869,1,Y
u_Gc_positive2.gml,positive,vaccines,63,0.107876712,0.217616063,0.348240906,0.8209,Y
u_Gc_positive2.gml,positive,measles,58,0.099315068,0.154606476,0.338158657,0.7458,Y
u_Gc_positive2.gml,positive,vaccination,50,0.085616438,0.107583472,0.309978769,0.6373,Y
u_Gc_positive2.gml,positive,children,26,0.044520548,0.082501978,0.341520468,0.5382,Y
u_Gc_positive2.gml,positive,SB 277,20,0.034246575,0.057123361,0.315846403,0.4207,Y
u_Gc_positive2.gml,positive,autism,36,0.061643836,0.079935115,0.318777293,0.402484,Y
u_Gc_positive2.gml,positive,community,16,0.02739726,0.057425521,0.322651934,0.3937,Y
u_Gc_positive2.gml,positive,religious groups,23,0.039383562,0.101817382,0.321940463,0.3905,Y
u_Gc_positive2.gml,positive,anti-vaccination,28,0.047945205,0.126098327,0.312132549,0.380191,Y
u_Gc_positive2.gml,positive,vaccine-autism link,31,0.053082192,0.091720928,0.314824798,0.3608,N
u_Gc_positive2.gml,positive,herd immunity,14,0.023972603,0.022068865,0.29258517,0.3058,N
u_Gc_positive2.gml,positive,vaccine refusal,13,0.022260274,0.0175887,0.300257069,0.3024,N
u_Gc_positive2.gml,positive,vaccination exemption,17,0.029109589,0.030031141,0.294503278,0.3013,N
u_Gc_positive2.gml,positive,personal belief exemption,15,0.025684932,0.025367423,0.304325169,0.2909,N
u_Gc_positive2.gml,positive,disease,18,0.030821918,0.027773153,0.303061754,0.2829,N
u_Gc_positive2.gml,positive,measles vaccine,22,0.037671233,0.052347306,0.29127182,0.2706,N
u_Gc_positive2.gml,positive,schools,10,0.017123288,0.015342992,0.305120167,0.2685,N
u_Gc_positive2.gml,positive,HPV vaccine,33,0.056506849,0.073156547,0.27534182,0.2674,N
u_Gc_positive2.gml,positive,vaccine delay,11,0.018835616,0.021453934,0.29302559,0.2603,N
u_Gc_positive2.gml,positive,meningococcal disease,31,0.053082192,0.090500161,0.283770651,0.2551,N
u_Gc_positive2.gml,positive,protection,6,0.010273973,0.012885489,0.299948639,0.2417,N
u_Gc_positive2.gml,positive,religion,7,0.011986301,0.017270846,0.295098535,0.2223,N
