,name,sentiment,node,degree,deg cent,bet cent,clo cent
0,d_Gc_positive.gml,pos,neighbors,1,0.00171232876712,0.0,0.0
1,d_Gc_positive.gml,pos,colleges,1,0.00171232876712,0.0,0.0
2,d_Gc_positive.gml,pos,influenza,2,0.00342465753425,0.0,0.0
3,d_Gc_positive.gml,pos,parents of autistic children,6,0.0102739726027,0.0,0.16031706583
4,d_Gc_positive.gml,pos,religious exemption,9,0.0154109589041,0.00291627367641,0.132328010293
5,d_Gc_positive.gml,pos,vaccine campaign,2,0.00342465753425,0.0,0.118560429777
6,d_Gc_positive.gml,pos,mild,1,0.00171232876712,0.0,0.0
7,d_Gc_positive.gml,pos,repetitive behaviors,1,0.00171232876712,0.0,0.0
8,d_Gc_positive.gml,pos,children,31,0.0530821917808,0.0441123232256,0.183394868783
9,d_Gc_positive.gml,pos,vaccination schedule,4,0.00684931506849,0.000758139549215,0.142822718324
10,d_Gc_positive.gml,pos,best-sellers,1,0.00171232876712,0.0,0.0
11,d_Gc_positive.gml,pos,American Medical Association,5,0.00856164383562,0.0,0.12877072819
12,d_Gc_positive.gml,pos,Orthodox Jewish communities,1,0.00171232876712,0.0,0.0
13,d_Gc_positive.gml,pos,fence-sitters,4,0.00684931506849,0.0,0.151727914802
14,d_Gc_positive.gml,pos,Journal of the American Medical Association,1,0.00171232876712,0.0,0.0
15,d_Gc_positive.gml,pos,sexually transmitted virus,4,0.00684931506849,0.00010965169921,0.00356735159817
16,d_Gc_positive.gml,pos,fear of autism,5,0.00856164383562,0.000502978218473,0.0876697286347
17,d_Gc_positive.gml,pos,genetic risk factors for ASD,1,0.00171232876712,0.0,0.0
18,d_Gc_positive.gml,pos,siblings,1,0.00171232876712,0.0,0.0
19,d_Gc_positive.gml,pos,resources,2,0.00342465753425,0.0,0.0889688667497
20,d_Gc_positive.gml,pos,risk,1,0.00171232876712,0.0,0.131081237276
21,d_Gc_positive.gml,pos,results,1,0.00171232876712,0.0,0.0
22,d_Gc_positive.gml,pos,stiff neck,1,0.00171232876712,0.0,0.0
23,d_Gc_positive.gml,pos,nausea,2,0.00342465753425,0.0,0.0
24,d_Gc_positive.gml,pos,ill effects,1,0.00171232876712,0.0,0.0
25,d_Gc_positive.gml,pos,cultured cells,3,0.00513698630137,0.0,0.0
26,d_Gc_positive.gml,pos,spread of infectious diseases,4,0.00684931506849,0.0,0.0
27,d_Gc_positive.gml,pos,decrease in exemption rates,6,0.0102739726027,0.00110728635541,0.118024304661
28,d_Gc_positive.gml,pos,debunked,1,0.00171232876712,0.0,0.0
29,d_Gc_positive.gml,pos,no brainer,1,0.00171232876712,0.0,0.0
30,d_Gc_positive.gml,pos,booster dose,1,0.00171232876712,0.0,0.0
31,d_Gc_positive.gml,pos,large,1,0.00171232876712,0.0,0.0
32,d_Gc_positive.gml,pos,tenderness,1,0.00171232876712,0.0,0.0
33,d_Gc_positive.gml,pos,financial forces,4,0.00684931506849,0.000636506578772,0.13977031858
34,d_Gc_positive.gml,pos,efficacious,1,0.00171232876712,0.0,0.0
35,d_Gc_positive.gml,pos,vaccinated high-risk children,3,0.00513698630137,5.20984448996e-05,0.130361977265
36,d_Gc_positive.gml,pos,findings,3,0.00513698630137,0.000467267988753,0.123818007875
37,d_Gc_positive.gml,pos,lower rate of autism in vaccinated children,2,0.00342465753425,0.0,0.0
38,d_Gc_positive.gml,pos,Neisseria meningitidis bacteria,3,0.00513698630137,2.93709908597e-06,0.00171232876712
39,d_Gc_positive.gml,pos,long-term benefits,1,0.00171232876712,0.0,0.0
40,d_Gc_positive.gml,pos,medical issue,2,0.00342465753425,0.00254583203262,0.130738918466
41,d_Gc_positive.gml,pos,universities,1,0.00171232876712,0.0,0.0
42,d_Gc_positive.gml,pos,vaccine alternatives,3,0.00513698630137,0.00206184355835,0.00385273972603
43,d_Gc_positive.gml,pos,prisons,1,0.00171232876712,0.0,0.0
44,d_Gc_positive.gml,pos,vaccines are effective,1,0.00171232876712,0.0,0.0
45,d_Gc_positive.gml,pos,scientists,4,0.00684931506849,0.00200326474881,0.107309004763
46,d_Gc_positive.gml,pos,flu shots,3,0.00513698630137,0.00110141215724,0.121063968264
47,d_Gc_positive.gml,pos,children with immunosuppressive diseases,3,0.00513698630137,0.000282683427574,0.136087328767
48,d_Gc_positive.gml,pos,body,1,0.00171232876712,0.0,0.123358725859
49,d_Gc_positive.gml,pos,Libya,2,0.00342465753425,0.0,0.107830169416
50,d_Gc_positive.gml,pos,partners,1,0.00171232876712,0.0,0.00171232876712
51,d_Gc_positive.gml,pos,genes,1,0.00171232876712,0.0,0.12973934961
52,d_Gc_positive.gml,pos,answers,1,0.00171232876712,0.0,0.0
53,d_Gc_positive.gml,pos,vomiting,1,0.00171232876712,0.0,0.0
54,d_Gc_positive.gml,pos,fluke,1,0.00171232876712,0.0,0.0
55,d_Gc_positive.gml,pos,protection,7,0.0119863013699,0.0163865008704,0.165983159134
56,d_Gc_positive.gml,pos,miscarriage,2,0.00342465753425,0.0,0.115040201071
57,d_Gc_positive.gml,pos,Ohio,2,0.00342465753425,9.79033028658e-07,0.00171232876712
58,d_Gc_positive.gml,pos,met the bar,1,0.00171232876712,0.0,0.0
59,d_Gc_positive.gml,pos,Jews,5,0.00856164383562,0.000139647406383,0.15757480173
60,d_Gc_positive.gml,pos,Victorian government,1,0.00171232876712,0.0,0.124372648423
61,d_Gc_positive.gml,pos,vast amounts of money,1,0.00171232876712,0.0,0.0878818368163
62,d_Gc_positive.gml,pos,employees,1,0.00171232876712,0.0,0.102360334791
63,d_Gc_positive.gml,pos,infant disability,1,0.00171232876712,0.0,0.0
64,d_Gc_positive.gml,pos,health care providers,2,0.00342465753425,0.0,0.00441600576784
65,d_Gc_positive.gml,pos,controversy,1,0.00171232876712,0.0,0.0
66,d_Gc_positive.gml,pos,low vaccination rates,9,0.0154109589041,0.00424420724805,0.145689597707
67,d_Gc_positive.gml,pos,studies,13,0.0222602739726,0.000170351746987,0.118997265385
68,d_Gc_positive.gml,pos,danger,2,0.00342465753425,0.0,0.0
69,d_Gc_positive.gml,pos,Age of Autism,2,0.00342465753425,0.0,0.149254802173
70,d_Gc_positive.gml,pos,brain damage,2,0.00342465753425,0.0,0.0
