,name,sentiment,node,degree,deg cent,bet cent,clo cent
0,article_neu1.gml,neutral,7-11 year olds,2,0.01,0.0,0.0338
1,article_neu1.gml,neutral,Alfred and Lisa Claire Dwoskin,1,0.005,0.0,0.0
2,article_neu1.gml,neutral,Americans,1,0.005,0.0,0.0
3,article_neu1.gml,neutral,Andrew Wakefield,5,0.025,0.00113065326633,0.0441379310345
4,article_neu1.gml,neutral,Australia,1,0.005,0.0,0.0
5,article_neu1.gml,neutral,Barry Segal,1,0.005,0.0,0.0322164948454
6,article_neu1.gml,neutral,Ben Allen,4,0.02,0.0,0.0614545454545
7,article_neu1.gml,neutral,CDC,4,0.02,0.00452261306533,0.0232258064516
8,article_neu1.gml,neutral,California,1,0.005,0.0,0.0
9,article_neu1.gml,neutral,Chairwoman Carol Liu,2,0.01,0.0,0.0617796610169
10,article_neu1.gml,neutral,Children's Hospital of Philadelphia,1,0.005,0.0,0.0
11,article_neu1.gml,neutral,Chris Christie,3,0.015,0.0,0.015
12,article_neu1.gml,neutral,Connie Leyva,3,0.015,0.0,0.0625925925926
13,article_neu1.gml,neutral,Disneyland measles outbreak,1,0.005,0.0,0.0
14,article_neu1.gml,neutral,Dr. Anna Acosta,2,0.01,0.0,0.0217777777778
15,article_neu1.gml,neutral,Dr. Paul Offit,3,0.015,0.0,0.0707004310345
16,article_neu1.gml,neutral,Drew Downing,1,0.005,0.0,0.005
17,article_neu1.gml,neutral,Dwoskin Family Foundation,8,0.04,0.0,0.0405
18,article_neu1.gml,neutral,Focus for Health,4,0.02,0.000603015075377,0.04
19,article_neu1.gml,neutral,Gambhir study,3,0.015,0.0,0.015
20,article_neu1.gml,neutral,Generation Rescue,4,0.02,0.000904522613065,0.036
21,article_neu1.gml,neutral,Immunization Action Coalition,1,0.005,0.0,0.0192045454545
22,article_neu1.gml,neutral,Jenny McCarthy,3,0.015,0.0,0.0
23,article_neu1.gml,neutral,Lisa and J.B. Handley,1,0.005,0.0,0.0
24,article_neu1.gml,neutral,MMR vaccine,1,0.005,0.0,0.0114285714286
25,article_neu1.gml,neutral,National Vaccine Information Center,2,0.01,2.51256281407e-05,0.005
26,article_neu1.gml,neutral,PLOS Computational Biology,1,0.005,0.0,0.0727272727273
27,article_neu1.gml,neutral,Pez dispensers,1,0.005,0.0,0.0
28,article_neu1.gml,neutral,Rand Paul,3,0.015,0.000753768844221,0.01
29,article_neu1.gml,neutral,Renee Gentry,1,0.005,0.0,0.005
30,article_neu1.gml,neutral,Republican,2,0.01,0.0,0.0
31,article_neu1.gml,neutral,Richard Pan,2,0.01,0.0,0.01125
32,article_neu1.gml,neutral,SB 277,33,0.165,0.0118592964824,0.09765625
33,article_neu1.gml,neutral,Saron Runner,1,0.005,0.0,0.058275862069
34,article_neu1.gml,neutral,Senate Education Committee,1,0.005,0.0,0.0
35,article_neu1.gml,neutral,Senate committee,2,0.01,0.0,0.0
36,article_neu1.gml,neutral,Tdap vaccine,2,0.01,0.000175879396985,0.005
37,article_neu1.gml,neutral,Tina Kimmel,2,0.01,0.0,0.0617796610169
38,article_neu1.gml,neutral,United States,3,0.015,0.0,0.0
39,article_neu1.gml,neutral,University of British Columbia,2,0.01,0.0,0.005
40,article_neu1.gml,neutral,Vaccine Injured Petitioners Bar Association,1,0.005,0.0,0.0
41,article_neu1.gml,neutral,Wakefield study,1,0.005,0.0,0.0
42,article_neu1.gml,neutral,acelluar vaccine,1,0.005,0.0,0.0
43,article_neu1.gml,neutral,acellular pertussis vaccine,8,0.04,0.0144221105528,0.0866805555556
44,article_neu1.gml,neutral,adolescents,2,0.01,0.0,0.0
45,article_neu1.gml,neutral,adults,1,0.005,0.0,0.0
46,article_neu1.gml,neutral,age 65 and older,2,0.01,0.0,0.0
47,article_neu1.gml,neutral,age 85 and older,1,0.005,0.0,0.0
48,article_neu1.gml,neutral,ages 65-84,1,0.005,0.0,0.0
49,article_neu1.gml,neutral,aluminum,1,0.005,0.0,0.005
50,article_neu1.gml,neutral,alzheimer's,1,0.005,0.0,0.005
51,article_neu1.gml,neutral,amendment,2,0.01,0.0,0.01
52,article_neu1.gml,neutral,anti-vaccination,19,0.095,0.00298994974874,0.0603571428571
53,article_neu1.gml,neutral,anti-vaxx movement,1,0.005,0.0,0.035
54,article_neu1.gml,neutral,anti-vaxxers,3,0.015,0.000326633165829,0.0387931034483
55,article_neu1.gml,neutral,artificial vaccine,3,0.015,0.00113065326633,0.01125
56,article_neu1.gml,neutral,asthma,1,0.005,0.0,0.005
57,article_neu1.gml,neutral,autism,5,0.025,0.000226130653266,0.015
58,article_neu1.gml,neutral,bacteria,1,0.005,0.0,0.0
59,article_neu1.gml,neutral,booster,1,0.005,0.0,0.0
60,article_neu1.gml,neutral,breathing,1,0.005,0.0,0.0
61,article_neu1.gml,neutral,cases,2,0.01,0.0,0.0
62,article_neu1.gml,neutral,celebrities,2,0.01,0.0,0.0
63,article_neu1.gml,neutral,changes,2,0.01,0.0,0.0
64,article_neu1.gml,neutral,childhood illnesses,1,0.005,0.0,0.0
65,article_neu1.gml,neutral,children,7,0.035,0.0163819095477,0.113061594203
66,article_neu1.gml,neutral,chronic illness,1,0.005,0.0,0.0
67,article_neu1.gml,neutral,clusters,1,0.005,0.0,0.005
68,article_neu1.gml,neutral,cognitive disorders,2,0.01,0.0,0.0
69,article_neu1.gml,neutral,committee hearing room,1,0.005,0.0,0.0
70,article_neu1.gml,neutral,committee members,1,0.005,0.0,0.0
71,article_neu1.gml,neutral,concerns,1,0.005,0.0,0.0
72,article_neu1.gml,neutral,crazy people,2,0.01,0.0,0.0
73,article_neu1.gml,neutral,data,1,0.005,0.0,0.0
74,article_neu1.gml,neutral,death,1,0.005,0.0,0.0
75,article_neu1.gml,neutral,debate,1,0.005,0.0,0.0232258064516
76,article_neu1.gml,neutral,decreasing effectiveness,2,0.01,0.0,0.0
77,article_neu1.gml,neutral,diagnoses,1,0.005,0.0,0.0
78,article_neu1.gml,neutral,diagnosis,1,0.005,0.0,0.0
79,article_neu1.gml,neutral,discredited,1,0.005,0.0,0.0
80,article_neu1.gml,neutral,disease,5,0.025,0.000427135678392,0.005
81,article_neu1.gml,neutral,education,3,0.015,0.0,0.0
82,article_neu1.gml,neutral,effective,2,0.01,0.0,0.0
83,article_neu1.gml,neutral,effectiveness,2,0.01,0.0,0.0
84,article_neu1.gml,neutral,elderly,4,0.02,5.02512562814e-05,0.005
85,article_neu1.gml,neutral,everyone,1,0.005,0.0,0.0
86,article_neu1.gml,neutral,fair balance,2,0.01,0.000552763819095,0.005
87,article_neu1.gml,neutral,findings,1,0.005,0.0,0.005
88,article_neu1.gml,neutral,for-profit,1,0.005,0.0,0.0
89,article_neu1.gml,neutral,friends and family,1,0.005,0.0,0.0
90,article_neu1.gml,neutral,government mandate,1,0.005,0.0,0.0
91,article_neu1.gml,neutral,high-dose flu vaccine,11,0.055,0.000201005025126,0.0355555555556
92,article_neu1.gml,neutral,high-risk,1,0.005,0.0,0.0
93,article_neu1.gml,neutral,home-school,5,0.025,0.0,0.0
94,article_neu1.gml,neutral,immune disorders,2,0.01,0.0,0.0
95,article_neu1.gml,neutral,immune response,2,0.01,0.0,0.0
96,article_neu1.gml,neutral,immunity,1,0.005,0.0,0.0
97,article_neu1.gml,neutral,immunization,1,0.005,0.0,0.0
98,article_neu1.gml,neutral,immunization waivers,2,0.01,0.0,0.005
99,article_neu1.gml,neutral,imperfect,1,0.005,0.0,0.0
100,article_neu1.gml,neutral,increase in cases,2,0.01,0.0,0.0338
101,article_neu1.gml,neutral,increased,3,0.015,0.0,0.0
102,article_neu1.gml,neutral,infant mortality,1,0.005,0.0,0.0
103,article_neu1.gml,neutral,infants,3,0.015,0.00201005025126,0.0842105263158
104,article_neu1.gml,neutral,infectious disease,1,0.005,0.0,0.0
105,article_neu1.gml,neutral,inflammatory disorders,2,0.01,0.0,0.0
106,article_neu1.gml,neutral,influenza,2,0.01,0.0,0.0
107,article_neu1.gml,neutral,kindergarteners,2,0.01,0.0,0.01
108,article_neu1.gml,neutral,lawyer,1,0.005,0.0,0.0
109,article_neu1.gml,neutral,low-income family,2,0.01,0.0,0.0
110,article_neu1.gml,neutral,magic,1,0.005,0.0,0.0
111,article_neu1.gml,neutral,major flu impacts,1,0.005,0.0,0.0
112,article_neu1.gml,neutral,man-made,1,0.005,0.0,0.0
113,article_neu1.gml,neutral,maternal inoculation,1,0.005,0.0,0.0711605206074
114,article_neu1.gml,neutral,measles outbreak,1,0.005,0.0,0.035
115,article_neu1.gml,neutral,measles vaccine is safe,1,0.005,0.0,0.0
116,article_neu1.gml,neutral,medical belief,1,0.005,0.0,0.0
117,article_neu1.gml,neutral,medical license,1,0.005,0.0,0.0
118,article_neu1.gml,neutral,medical science,3,0.015,0.0,0.0719914346895
119,article_neu1.gml,neutral,minimal,1,0.005,0.0,0.0
120,article_neu1.gml,neutral,miracles,1,0.005,0.0,0.0
121,article_neu1.gml,neutral,misrepresentation,1,0.005,0.0,0.0
122,article_neu1.gml,neutral,mixed findings,1,0.005,0.0,0.0225
123,article_neu1.gml,neutral,necessary,1,0.005,0.0,0.0
124,article_neu1.gml,neutral,negative perception,3,0.015,0.0,0.0338
125,article_neu1.gml,neutral,neurological disorders,1,0.005,0.0,0.0
126,article_neu1.gml,neutral,nonprofit organizations,1,0.005,0.0,0.0
127,article_neu1.gml,neutral,open conversations,3,0.015,2.51256281407e-05,0.00666666666667
128,article_neu1.gml,neutral,options,1,0.005,0.0,0.0
129,article_neu1.gml,neutral,parental choice,1,0.005,0.0,0.0
130,article_neu1.gml,neutral,parents,10,0.05,0.00070351758794,0.0625
131,article_neu1.gml,neutral,parents with vaccine-injured children,4,0.02,0.0,0.0336046511628
132,article_neu1.gml,neutral,people,1,0.005,0.0,0.005
133,article_neu1.gml,neutral,personal belief,3,0.015,0.0,0.0
134,article_neu1.gml,neutral,personal belief exemption,2,0.01,0.000552763819095,0.005
135,article_neu1.gml,neutral,pertussis,16,0.08,0.00497487437186,0.0504166666667
136,article_neu1.gml,neutral,pertussis booster shot,2,0.01,0.0,0.01
137,article_neu1.gml,neutral,pertussis in adults,1,0.005,0.0,0.0
138,article_neu1.gml,neutral,pertussis in infants,3,0.015,0.0,0.015
139,article_neu1.gml,neutral,pertussis in teens,1,0.005,0.0,0.0
140,article_neu1.gml,neutral,pertussis increase,3,0.015,0.00072864321608,0.01
141,article_neu1.gml,neutral,pertussis vaccination,1,0.005,0.0,0.0
142,article_neu1.gml,neutral,pertussis vaccine,14,0.07,0.0161055276382,0.0810519480519
143,article_neu1.gml,neutral,pharmaceuticals,2,0.01,0.0,0.0
144,article_neu1.gml,neutral,polarized area,3,0.015,5.02512562814e-05,0.01
145,article_neu1.gml,neutral,politicians,1,0.005,0.0,0.035
146,article_neu1.gml,neutral,pregnant women,1,0.005,0.0,0.0688172043011
147,article_neu1.gml,neutral,president,2,0.01,0.0,0.0
148,article_neu1.gml,neutral,preteens,1,0.005,0.0,0.0
149,article_neu1.gml,neutral,proposed restrictions,4,0.02,0.000577889447236,0.005
150,article_neu1.gml,neutral,protection,2,0.01,0.0107788944724,0.0720669745958
151,article_neu1.gml,neutral,protest,1,0.005,0.0,0.0
152,article_neu1.gml,neutral,protested,1,0.005,0.0,0.005
153,article_neu1.gml,neutral,public education,3,0.015,0.0,0.0
