,name,sentiment,node,degree,deg cent,bet cent,clo cent
0,d_Gc_negative2.gml,neg,ACIP,1,0.000877963125549,0.0,0.0850246225749
1,d_Gc_negative2.gml,neg,ACIP's rotavirus use recommendation,1,0.000877963125549,0.0,0.0
2,d_Gc_negative2.gml,neg,ADHD,1,0.000877963125549,0.0,0.113546857724
3,d_Gc_negative2.gml,neg,AIDS,1,0.000877963125549,0.0,0.0
4,d_Gc_negative2.gml,neg,African American males,2,0.0017559262511,0.0,0.116168473091
5,d_Gc_negative2.gml,neg,African women,3,0.00263388937665,2.44307255205e-06,0.000877963125549
6,d_Gc_negative2.gml,neg,African-American children,1,0.000877963125549,0.0,0.0
7,d_Gc_negative2.gml,neg,Alysia Osoff,6,0.00526777875329,0.000516902718908,0.107389004648
8,d_Gc_negative2.gml,neg,America,2,0.0017559262511,2.31448978616e-06,0.00158033362599
9,d_Gc_negative2.gml,neg,American Academy of Pediatrics,2,0.0017559262511,0.000263980418388,0.105737634879
10,d_Gc_negative2.gml,neg,American Nursing Association's Code of Ethics,2,0.0017559262511,0.0,0.0
11,d_Gc_negative2.gml,neg,Americans,7,0.00614574187884,0.00595408149845,0.113478604047
12,d_Gc_negative2.gml,neg,Amish,2,0.0017559262511,0.0,0.00197541703248
13,d_Gc_negative2.gml,neg,Andrew Wakefield,1,0.000877963125549,0.0,0.0
14,d_Gc_negative2.gml,neg,Apartheid,1,0.000877963125549,0.0,0.0
15,d_Gc_negative2.gml,neg,Attkisson's website,2,0.0017559262511,0.000499158297214,0.0981370536777
16,d_Gc_negative2.gml,neg,Australia,1,0.000877963125549,0.0,0.106443897016
17,d_Gc_negative2.gml,neg,Baby Boom,2,0.0017559262511,0.0,0.0
18,d_Gc_negative2.gml,neg,Baby Boomers,5,0.00438981562774,0.0,0.115391920258
19,d_Gc_negative2.gml,neg,Baker College nursing school,3,0.00263388937665,3.08598638154e-06,0.000877963125549
20,d_Gc_negative2.gml,neg,Baker College nursing school instructors,6,0.00526777875329,0.00053351338358,0.102154210067
21,d_Gc_negative2.gml,neg,Bell's Palsy,1,0.000877963125549,0.0,0.0
22,d_Gc_negative2.gml,neg,Big Pharma,13,0.0114135206321,0.00922055318068,0.140364440369
23,d_Gc_negative2.gml,neg,Big Tobacco,2,0.0017559262511,0.0,0.136643320829
24,d_Gc_negative2.gml,neg,Bill of Rights,1,0.000877963125549,0.0,0.0
25,d_Gc_negative2.gml,neg,Brian Hooker,1,0.000877963125549,0.0,0.106318410548
26,d_Gc_negative2.gml,neg,Bruesewitz v. Wyeth,2,0.0017559262511,0.000494529317642,0.133507907842
27,d_Gc_negative2.gml,neg,Bush Administration,2,0.0017559262511,0.0,0.118450014297
28,d_Gc_negative2.gml,neg,CDC,62,0.054433713784,0.0259624283175,0.170191053585
29,d_Gc_negative2.gml,neg,CDC and Big Pharma,3,0.00263388937665,0.0,0.107171232023
30,d_Gc_negative2.gml,neg,CDC documents,4,0.00351185250219,0.00295877981305,0.130673581477
31,d_Gc_negative2.gml,neg,CDC published warnings,1,0.000877963125549,0.0,0.0993769606029
32,d_Gc_negative2.gml,neg,CDC scientific fraud,1,0.000877963125549,0.0,0.130987061361
33,d_Gc_negative2.gml,neg,CDC study,2,0.0017559262511,0.000125845177582,0.105912615088
34,d_Gc_negative2.gml,neg,CDC website,8,0.00702370500439,0.000833447771995,0.110616332275
35,d_Gc_negative2.gml,neg,CDC whistleblower,2,0.0017559262511,0.000104700989878,0.115557100329
36,d_Gc_negative2.gml,neg,CNN,1,0.000877963125549,0.0,0.0
37,d_Gc_negative2.gml,neg,California Governor Jerry Brown,1,0.000877963125549,0.0,0.0955292485952
38,d_Gc_negative2.gml,neg,California government,8,0.00702370500439,0.000798854415727,0.132016775413
39,d_Gc_negative2.gml,neg,California's vaccine violence,1,0.000877963125549,0.0,0.118624915156
40,d_Gc_negative2.gml,neg,Children's Hospital,2,0.0017559262511,0.000523846188267,0.106801318566
41,d_Gc_negative2.gml,neg,Chocks,3,0.00263388937665,0.000990601628475,0.0947538082426
42,d_Gc_negative2.gml,neg,Civil War,1,0.000877963125549,0.0,0.0
43,d_Gc_negative2.gml,neg,Codename Artichoke,1,0.000877963125549,0.0,0.00117061750073
44,d_Gc_negative2.gml,neg,Congress,3,0.00263388937665,0.0,0.134372370471
45,d_Gc_negative2.gml,neg,Connie Smith,2,0.0017559262511,0.0,0.00197541703248
46,d_Gc_negative2.gml,neg,Constitution,1,0.000877963125549,0.0,0.0
47,d_Gc_negative2.gml,neg,Crystal Downing,2,0.0017559262511,0.0,0.107207105755
48,d_Gc_negative2.gml,neg,DNA,2,0.0017559262511,0.0,0.0
49,d_Gc_negative2.gml,neg,DNA virus,1,0.000877963125549,0.0,0.0
50,d_Gc_negative2.gml,neg,Disney,1,0.000877963125549,0.0,0.0
51,d_Gc_negative2.gml,neg,Disneyland measles outbreak,3,0.00263388937665,0.000986744145498,0.103949878664
52,d_Gc_negative2.gml,neg,Dr. Paul Offit,16,0.0140474100088,0.0,0.137154646106
53,d_Gc_negative2.gml,neg,Dr. Suzanne Humphries,1,0.000877963125549,0.0,0.126619293432
54,d_Gc_negative2.gml,neg,Dr. William Thompson,2,0.0017559262511,0.0,0.0938328026505
55,d_Gc_negative2.gml,neg,Eli Lily drug company reps,2,0.0017559262511,0.0,0.0710622394297
56,d_Gc_negative2.gml,neg,Elmo,4,0.00351185250219,0.00030937013475,0.000877963125549
57,d_Gc_negative2.gml,neg,Europe,1,0.000877963125549,0.0,0.0
58,d_Gc_negative2.gml,neg,European Medicines Agency,1,0.000877963125549,0.0,0.0727001948788
59,d_Gc_negative2.gml,neg,European countries,1,0.000877963125549,0.0,0.0
60,d_Gc_negative2.gml,neg,Every Child by Two,2,0.0017559262511,0.0,0.133875247384
61,d_Gc_negative2.gml,neg,FDA,7,0.00614574187884,0.00244029811895,0.126180244289
62,d_Gc_negative2.gml,neg,FETCH.news,2,0.0017559262511,3.85748297693e-06,0.000877963125549
63,d_Gc_negative2.gml,neg,FLULAVAL,2,0.0017559262511,0.0,0.0
64,d_Gc_negative2.gml,neg,False Claims Act,3,0.00263388937665,0.0,0.10698053588
65,d_Gc_negative2.gml,neg,First do no harm,2,0.0017559262511,0.0,0.0914651031918
66,d_Gc_negative2.gml,neg,Flinstones,1,0.000877963125549,0.0,0.0813520789545
67,d_Gc_negative2.gml,neg,Food and Drug Administration Modernization Act,2,0.0017559262511,5.32342105431e-05,0.12059480088
68,d_Gc_negative2.gml,neg,For Profit Offit,1,0.000877963125549,0.0,0.0
69,d_Gc_negative2.gml,neg,Freedom of Information Act,1,0.000877963125549,0.0,0.105912615088
70,d_Gc_negative2.gml,neg,French Canadian descent,1,0.000877963125549,0.0,0.00506119919434
71,d_Gc_negative2.gml,neg,Gardasil,16,0.0140474100088,0.000206379499296,0.0956296068225
72,d_Gc_negative2.gml,neg,Gardasil injuries,2,0.0017559262511,0.0,0.0982682529473
73,d_Gc_negative2.gml,neg,GlaxoSmithKine's Energix B,5,0.00438981562774,0.0,0.129167405051
74,d_Gc_negative2.gml,neg,GlaxoSmithKline,2,0.0017559262511,0.000308598638154,0.000877963125549
75,d_Gc_negative2.gml,neg,Global Post,3,0.00263388937665,0.0,0.11878042418
76,d_Gc_negative2.gml,neg,GoodGopher.com,2,0.0017559262511,7.71496595386e-06,0.00117061750073
77,d_Gc_negative2.gml,neg,Government Accounting Office,1,0.000877963125549,0.0,0.000877963125549
78,d_Gc_negative2.gml,neg,Guillain-Barre syndrome,1,0.000877963125549,0.0,0.0
79,d_Gc_negative2.gml,neg,Guillian-Barre Syndrome,1,0.000877963125549,0.0,0.0
80,d_Gc_negative2.gml,neg,HIV,1,0.000877963125549,0.0,0.0
81,d_Gc_negative2.gml,neg,Herpes Zoster,1,0.000877963125549,0.0,0.0
82,d_Gc_negative2.gml,neg,Hilleman,2,0.0017559262511,0.0,0.0888011763629
83,d_Gc_negative2.gml,neg,Hitler's minions,1,0.000877963125549,0.0,0.0
84,d_Gc_negative2.gml,neg,Hollywood celebrities,2,0.0017559262511,0.0,0.00393457548857
85,d_Gc_negative2.gml,neg,Homeland Security Bill,1,0.000877963125549,0.0,0.116781601485
86,d_Gc_negative2.gml,neg,IRF1,1,0.000877963125549,0.0,0.000877963125549
87,d_Gc_negative2.gml,neg,IV drug abuse,1,0.000877963125549,0.0,0.107012271429
88,d_Gc_negative2.gml,neg,International Business Times,4,0.00351185250219,0.0,0.116268037337
89,d_Gc_negative2.gml,neg,Italian descent,1,0.000877963125549,0.0,0.00506119919434
90,d_Gc_negative2.gml,neg,Jenny McCarthy,3,0.00263388937665,0.0,0.00494585894059
91,d_Gc_negative2.gml,neg,Jim Carrey,7,0.00614574187884,0.0,0.140234716134
92,d_Gc_negative2.gml,neg,Jimmy Kimmel,1,0.000877963125549,0.0,0.115955759238
93,d_Gc_negative2.gml,neg,Josh Hadfield,2,0.0017559262511,0.0,0.00197541703248
94,d_Gc_negative2.gml,neg,Kennedy's death,1,0.000877963125549,0.0,0.0
95,d_Gc_negative2.gml,neg,Kennedy's first executive order,1,0.000877963125549,0.0,0.0952453347731
96,d_Gc_negative2.gml,neg,MCR-5,5,0.00438981562774,0.000497615304024,0.0969701504228
97,d_Gc_negative2.gml,neg,MMR,7,0.00614574187884,0.00148435944952,0.115955759238
98,d_Gc_negative2.gml,neg,MRC-5 cells,2,0.0017559262511,1.54299319077e-06,0.00117061750073
99,d_Gc_negative2.gml,neg,MTHFR C677T defect,12,0.0105355575066,0.00333053120871,0.00741878841089
100,d_Gc_negative2.gml,neg,Matthew Downing,6,0.00526777875329,0.000496072310833,0.13159483731
101,d_Gc_negative2.gml,neg,Merck,21,0.0184372256365,0.00110955522903,0.129728576472
102,d_Gc_negative2.gml,neg,Merck scientists,1,0.000877963125549,0.0,0.0
103,d_Gc_negative2.gml,neg,Merck's RotaTeq vaccine,2,0.0017559262511,0.0,0.0
104,d_Gc_negative2.gml,neg,Mexican descent,1,0.000877963125549,0.0,0.00506119919434
105,d_Gc_negative2.gml,neg,Miles Laboratory,1,0.000877963125549,0.0,0.0813520789545
106,d_Gc_negative2.gml,neg,NHS medical staff,5,0.00438981562774,0.00145002785103,0.0917615963829
107,d_Gc_negative2.gml,neg,NVIC,2,0.0017559262511,0.0,0.0017559262511
108,d_Gc_negative2.gml,neg,National Academy of Science Institute of Medicine,1,0.000877963125549,0.0,0.0885899722467
109,d_Gc_negative2.gml,neg,National Vaccine Information Center,5,0.00438981562774,0.0,0.107410149504
110,d_Gc_negative2.gml,neg,National Vaccine Injury Compensation Program,17,0.0149253731343,0.000856181205006,0.139899618237
111,d_Gc_negative2.gml,neg,New Jersey law,1,0.000877963125549,0.0,0.0946074919981
112,d_Gc_negative2.gml,neg,New York Times,3,0.00263388937665,0.000190391109876,0.13390436785
113,d_Gc_negative2.gml,neg,Nichole Rolfe,18,0.0158033362599,0.000193626628159,0.112563728231
114,d_Gc_negative2.gml,neg,Nichole Rolfe lawsuit,2,0.0017559262511,0.0,0.0
115,d_Gc_negative2.gml,neg,Norwegian government,2,0.0017559262511,1.54299319077e-06,0.0866534631248
116,d_Gc_negative2.gml,neg,Norwegian health authorities,2,0.0017559262511,0.000130594167736,0.115955759238
117,d_Gc_negative2.gml,neg,Norwegians,1,0.000877963125549,0.0,0.0727001948788
118,d_Gc_negative2.gml,neg,Octoxinol-9,3,0.00263388937665,0.000163685860988,0.107155451795
119,d_Gc_negative2.gml,neg,Pandemrix,10,0.00877963125549,0.00345270442988,0.0832246461987
120,d_Gc_negative2.gml,neg,Pandemrix victims,3,0.00263388937665,4.62897957231e-06,0.00197541703248
121,d_Gc_negative2.gml,neg,Pandemrix-narcolepsy link,1,0.000877963125549,0.0,0.0
122,d_Gc_negative2.gml,neg,Paul Offit,1,0.000877963125549,0.0,0.0908210624729
123,d_Gc_negative2.gml,neg,Pediatrics paper,3,0.00263388937665,0.0,0.0
124,d_Gc_negative2.gml,neg,Penn and Teller,1,0.000877963125549,0.0,0.115955759238
125,d_Gc_negative2.gml,neg,Peter Todd,3,0.00263388937665,3.85748297693e-06,0.00243878645986
126,d_Gc_negative2.gml,neg,Polysorbate 80,2,0.0017559262511,1.01580385059e-05,0.107059748802
127,d_Gc_negative2.gml,neg,Prevnar,2,0.0017559262511,0.0,0.116280460694
128,d_Gc_negative2.gml,neg,Pro-Quad,1,0.000877963125549,0.0,0.0
129,d_Gc_negative2.gml,neg,Pro-Quad Hepatitis A,1,0.000877963125549,0.0,0.0
130,d_Gc_negative2.gml,neg,RA 27/3,4,0.00351185250219,0.0,0.0975733847407
131,d_Gc_negative2.gml,neg,RH-,1,0.000877963125549,0.0,0.0
132,d_Gc_negative2.gml,neg,Renee Gentry,2,0.0017559262511,0.0,0.113079594698
133,d_Gc_negative2.gml,neg,Rep. Bill Posey,8,0.00702370500439,0.000877871893015,0.136493635573
134,d_Gc_negative2.gml,neg,Rho-GAM shots,2,0.0017559262511,0.0,0.0815080907128
135,d_Gc_negative2.gml,neg,Robert F. Kennedy Jr.,8,0.00702370500439,0.0,0.108062985959
136,d_Gc_negative2.gml,neg,Royal Navy records,1,0.000877963125549,0.0,0.00411545215101
137,d_Gc_negative2.gml,neg,Ryan Mojabi,4,0.00351185250219,0.0,0.127921406734
138,d_Gc_negative2.gml,neg,SB 277,26,0.0228270412643,0.0059255278012,0.149839040094
139,d_Gc_negative2.gml,neg,SV40,19,0.0166812993854,0.00716913970345,0.128433462937
140,d_Gc_negative2.gml,neg,Secretary of U.S. Department of Health and Human Services,1,0.000877963125549,0.0,0.0
141,d_Gc_negative2.gml,neg,Senate hearing,2,0.0017559262511,7.74637688667e-05,0.115955759238
142,d_Gc_negative2.gml,neg,Sharyl Attkisson,2,0.0017559262511,0.0,0.098665674078
143,d_Gc_negative2.gml,neg,Spanish American War,1,0.000877963125549,0.0,0.0
144,d_Gc_negative2.gml,neg,Supreme Court,1,0.000877963125549,0.0,0.0
145,d_Gc_negative2.gml,neg,Surgeon General Vivek Murthy,9,0.00790166812994,0.0,0.107873098453
146,d_Gc_negative2.gml,neg,THEY,2,0.0017559262511,0.0,0.0017559262511
147,d_Gc_negative2.gml,neg,Tdap vaccine,5,0.00438981562774,3.16548482817e-05,0.101274265261
148,d_Gc_negative2.gml,neg,The Advisory Committee on Immunization Practices,5,0.00438981562774,0.000120398778998,0.131710078481
149,d_Gc_negative2.gml,neg,The Vaccine and Autism Congressional Hearing,1,0.000877963125549,0.0,0.0
150,d_Gc_negative2.gml,neg,Triton X-100,3,0.00263388937665,0.000163685860988,0.107155451795
151,d_Gc_negative2.gml,neg,Tween 80,2,0.0017559262511,1.01580385059e-05,0.107059748802
152,d_Gc_negative2.gml,neg,U.S. citizens,2,0.0017559262511,0.0,0.117122846425
153,d_Gc_negative2.gml,neg,U.S. government,2,0.0017559262511,0.0,0.121402333209
154,d_Gc_negative2.gml,neg,U.S. measles mortality,1,0.000877963125549,0.0,0.0
155,d_Gc_negative2.gml,neg,U.S. population,2,0.0017559262511,0.0,0.097129339523
156,d_Gc_negative2.gml,neg,UK government,4,0.00351185250219,0.00166964721518,0.107894898357
157,d_Gc_negative2.gml,neg,USDA food donations,4,0.00351185250219,0.000496072310833,0.114184641804
158,d_Gc_negative2.gml,neg,United Kingdom,1,0.000877963125549,0.0,0.0
159,d_Gc_negative2.gml,neg,United States,23,0.0201931518876,0.0,0.135521291403
160,d_Gc_negative2.gml,neg,VAERS,1,0.000877963125549,0.0,0.108149996095
161,d_Gc_negative2.gml,neg,VAERS hepatitis B reports,2,0.0017559262511,0.0,0.0942103272542
162,d_Gc_negative2.gml,neg,Vaccine Adverse Event Reporting System,1,0.000877963125549,0.0,0.000877963125549
163,d_Gc_negative2.gml,neg,Vaccine Injured Petitioners Bar Association,1,0.000877963125549,0.0,0.0
164,d_Gc_negative2.gml,neg,Vaccine Injury Compensation Fund,5,0.00438981562774,0.000482499481444,0.0017559262511
165,d_Gc_negative2.gml,neg,Vaccine Injury Compensation Program,6,0.00526777875329,0.0104625124982,0.101787063749
166,d_Gc_negative2.gml,neg,Varivax vaccine,1,0.000877963125549,0.0,0.0
167,d_Gc_negative2.gml,neg,Vitamin B12,1,0.000877963125549,0.0,0.0
168,d_Gc_negative2.gml,neg,WHO,2,0.0017559262511,0.0,0.00197541703248
169,d_Gc_negative2.gml,neg,WHO vaccine specialists,1,0.000877963125549,0.0,0.126220562277
170,d_Gc_negative2.gml,neg,Washington Post,3,0.00263388937665,0.000142098595827,0.129204286171
171,d_Gc_negative2.gml,neg,Western medicine,2,0.0017559262511,0.000458592661115,0.00117061750073
172,d_Gc_negative2.gml,neg,World War I,2,0.0017559262511,0.0,0.0
173,d_Gc_negative2.gml,neg,World War II,2,0.0017559262511,0.0,0.0
174,d_Gc_negative2.gml,neg,Zostavax,1,0.000877963125549,0.0,0.0
175,d_Gc_negative2.gml,neg,Zoster,1,0.000877963125549,0.0,0.0
176,d_Gc_negative2.gml,neg,aborted baby,5,0.00438981562774,0.0,0.0
177,d_Gc_negative2.gml,neg,abortion chemicals,2,0.0017559262511,0.0,0.0
178,d_Gc_negative2.gml,neg,acute respiratory illness,2,0.0017559262511,0.0,0.00156082333431
179,d_Gc_negative2.gml,neg,additive,2,0.0017559262511,0.0,0.0
180,d_Gc_negative2.gml,neg,additives,3,0.00263388937665,0.0,0.103571164797
181,d_Gc_negative2.gml,neg,adult brain cells,2,0.0017559262511,0.0,0.126530468954
182,d_Gc_negative2.gml,neg,adults,3,0.00263388937665,0.0,0.0935282258202
183,d_Gc_negative2.gml,neg,adverse effects,20,0.017559262511,0.00310797819454,0.132933780125
184,d_Gc_negative2.gml,neg,advertised,1,0.000877963125549,0.0,0.0
185,d_Gc_negative2.gml,neg,advice,1,0.000877963125549,0.0,0.0910608144691
186,d_Gc_negative2.gml,neg,airports,1,0.000877963125549,0.0,0.0
187,d_Gc_negative2.gml,neg,alienation,1,0.000877963125549,0.0,0.115955759238
188,d_Gc_negative2.gml,neg,allergies,2,0.0017559262511,0.0,0.0
189,d_Gc_negative2.gml,neg,altered DNA material,1,0.000877963125549,0.0,0.0
190,d_Gc_negative2.gml,neg,alternative media,6,0.00526777875329,0.00199277570588,0.118265997321
191,d_Gc_negative2.gml,neg,aluminum,13,0.0114135206321,0.001231714705,0.134636352012
192,d_Gc_negative2.gml,neg,alzheimer's,3,0.00263388937665,0.000517262750653,0.0996435844347
193,d_Gc_negative2.gml,neg,amniocentesis,1,0.000877963125549,0.0,0.0
194,d_Gc_negative2.gml,neg,anaphylactic shock,1,0.000877963125549,0.0,0.126220562277
195,d_Gc_negative2.gml,neg,annual flu shot,5,0.00438981562774,0.000986744145498,0.113371278759
196,d_Gc_negative2.gml,neg,anti-vaccination,10,0.00877963125549,0.00187865031861,0.00444468832309
197,d_Gc_negative2.gml,neg,antibiotic neomycin,2,0.0017559262511,7.71496595386e-06,0.00117061750073
198,d_Gc_negative2.gml,neg,antibiotics,6,0.00526777875329,0.00234296133121,0.138632882122
199,d_Gc_negative2.gml,neg,antibodies,4,0.00351185250219,0.0,0.0
200,d_Gc_negative2.gml,neg,antiviral qualities,1,0.000877963125549,0.0,0.0
201,d_Gc_negative2.gml,neg,argument,1,0.000877963125549,0.0,0.0
202,d_Gc_negative2.gml,neg,arthritis,2,0.0017559262511,0.0,0.0
203,d_Gc_negative2.gml,neg,aspirin,4,0.00351185250219,7.71496595386e-06,0.000877963125549
204,d_Gc_negative2.gml,neg,assault and battery,1,0.000877963125549,0.0,0.0
205,d_Gc_negative2.gml,neg,asthma,3,0.00263388937665,0.000187625855965,0.11344280638
206,d_Gc_negative2.gml,neg,autism,47,0.0412642669008,0.0319703499031,0.145239780382
207,d_Gc_negative2.gml,neg,autism cases,3,0.00263388937665,1.36297731851e-05,0.0881139147505
208,d_Gc_negative2.gml,neg,autism patients,1,0.000877963125549,0.0,0.0
209,d_Gc_negative2.gml,neg,autism rate,3,0.00263388937665,0.000310141631345,0.000877963125549
210,d_Gc_negative2.gml,neg,autism rise,4,0.00351185250219,1.5065614071e-05,0.106951377812
211,d_Gc_negative2.gml,neg,autism risk,2,0.0017559262511,0.0,0.126047562645
212,d_Gc_negative2.gml,neg,autism trigger,1,0.000877963125549,0.0,0.0
213,d_Gc_negative2.gml,neg,autoimmune disorder,2,0.0017559262511,0.0004848856102,0.126490923751
214,d_Gc_negative2.gml,neg,babies,3,0.00263388937665,1.31154421216e-05,0.00158033362599
215,d_Gc_negative2.gml,neg,battle,1,0.000877963125549,0.0,0.0
216,d_Gc_negative2.gml,neg,behavior changes,7,0.00614574187884,0.00149092694817,0.124865866745
217,d_Gc_negative2.gml,neg,behavioral disorders,1,0.000877963125549,0.0,0.0
218,d_Gc_negative2.gml,neg,benefit,1,0.000877963125549,0.0,0.0
219,d_Gc_negative2.gml,neg,benefits of drug,1,0.000877963125549,0.0,0.0
220,d_Gc_negative2.gml,neg,better diagnosis,1,0.000877963125549,0.0,0.0
221,d_Gc_negative2.gml,neg,big Ag,3,0.00263388937665,0.0,0.0
222,d_Gc_negative2.gml,neg,big profit centers,1,0.000877963125549,0.0,0.0
223,d_Gc_negative2.gml,neg,biological and military programs,1,0.000877963125549,0.0,0.0
224,d_Gc_negative2.gml,neg,biological warfare program,3,0.00263388937665,1.54299319077e-06,0.000877963125549
225,d_Gc_negative2.gml,neg,biological weapons,1,0.000877963125549,0.0,0.0
226,d_Gc_negative2.gml,neg,black children,2,0.0017559262511,0.000308598638154,0.000877963125549
227,d_Gc_negative2.gml,neg,black lives matter,1,0.000877963125549,0.0,0.0
228,d_Gc_negative2.gml,neg,blanket statement,2,0.0017559262511,0.000308598638154,0.000877963125549
229,d_Gc_negative2.gml,neg,blatant violations of the Hippocratic Oath,1,0.000877963125549,0.0,0.0
230,d_Gc_negative2.gml,neg,bleeding during pregnancy,1,0.000877963125549,0.0,0.0
231,d_Gc_negative2.gml,neg,blockade,2,0.0017559262511,0.0,0.10395918357
232,d_Gc_negative2.gml,neg,blood or sexual contact,1,0.000877963125549,0.0,0.0
233,d_Gc_negative2.gml,neg,blood serum of aborted baby cows,1,0.000877963125549,0.0,0.0
234,d_Gc_negative2.gml,neg,blood-transmitted disease,1,0.000877963125549,0.0,0.0
235,d_Gc_negative2.gml,neg,body,1,0.000877963125549,0.0,0.0
236,d_Gc_negative2.gml,neg,bone cancer,1,0.000877963125549,0.0,0.0
237,d_Gc_negative2.gml,neg,bovine calf serum,8,0.00702370500439,0.0021401315556,0.00614574187884
238,d_Gc_negative2.gml,neg,brain cancer,1,0.000877963125549,0.0,0.0
239,d_Gc_negative2.gml,neg,brain damage,5,0.00438981562774,0.000797157183225,0.0883571735196
240,d_Gc_negative2.gml,neg,brain damaged and autistic,2,0.0017559262511,0.0,0.126357588273
241,d_Gc_negative2.gml,neg,brain dysfunction,1,0.000877963125549,0.0,0.0
242,d_Gc_negative2.gml,neg,brain inflammation,2,0.0017559262511,0.0,0.0
243,d_Gc_negative2.gml,neg,brain-damaged,2,0.0017559262511,0.0,0.0
244,d_Gc_negative2.gml,neg,brainwash and manipulate,3,0.00263388937665,0.0,0.0
245,d_Gc_negative2.gml,neg,breast milk,3,0.00263388937665,0.0,0.0
246,d_Gc_negative2.gml,neg,bribery,2,0.0017559262511,0.0,0.0
247,d_Gc_negative2.gml,neg,bullying,2,0.0017559262511,0.0,0.0
248,d_Gc_negative2.gml,neg,campaign of fear mongering,1,0.000877963125549,0.0,0.00337678125211
249,d_Gc_negative2.gml,neg,cancer,6,0.00526777875329,0.0,0.0
250,d_Gc_negative2.gml,neg,cancer patients,2,0.0017559262511,0.0,0.0
251,d_Gc_negative2.gml,neg,cancer viruses,6,0.00526777875329,0.000495300814238,0.104752023369
252,d_Gc_negative2.gml,neg,cancer-causing,1,0.000877963125549,0.0,0.0
253,d_Gc_negative2.gml,neg,car,1,0.000877963125549,0.0,0.0
254,d_Gc_negative2.gml,neg,carpet,1,0.000877963125549,0.0,0.0
255,d_Gc_negative2.gml,neg,cataplexy,4,0.00351185250219,0.000627210659203,0.11358613273
256,d_Gc_negative2.gml,neg,cause of death,1,0.000877963125549,0.0,0.0
257,d_Gc_negative2.gml,neg,cell death,1,0.000877963125549,0.0,0.0
258,d_Gc_negative2.gml,neg,cellular degeneration,1,0.000877963125549,0.0,0.0
259,d_Gc_negative2.gml,neg,cellular toxicity,1,0.000877963125549,0.0,0.0
260,d_Gc_negative2.gml,neg,censored,1,0.000877963125549,0.0,0.0
261,d_Gc_negative2.gml,neg,censored medical news stories,1,0.000877963125549,0.0,0.0
262,d_Gc_negative2.gml,neg,central nervous system disorders,1,0.000877963125549,0.0,0.0
263,d_Gc_negative2.gml,neg,central nervous system inflammatory demyelination,1,0.000877963125549,0.0,0.0
264,d_Gc_negative2.gml,neg,cervical cancer,1,0.000877963125549,0.0,0.0
265,d_Gc_negative2.gml,neg,change in attitude,2,0.0017559262511,0.00148907038294,0.115955759238
266,d_Gc_negative2.gml,neg,chemicals,4,0.00351185250219,0.000499415462746,0.103426429745
