name,sentiment,node,degree,degree centrality,betweenness centrality,closeness centrality
positive_all.gml,positive,11-12 years of age,1,0.00105596620908,0.0,0.0
positive_all.gml,positive,11-18 year olds,1,0.00105596620908,0.0,0.0
positive_all.gml,positive,16 years of age,1,0.00105596620908,0.0,0.0
positive_all.gml,positive,2014-2015 FLULAVAL QUADRIVALENT flu vaccine,7,0.00739176346357,1.22786768498e-05,0.00422386483633
positive_all.gml,positive,86% vaccination coverage,3,0.00316789862724,0.000715511987337,0.0503543474238
positive_all.gml,positive,92 to 94 percent vaccination coverage,4,0.00422386483633,0.0,0.0
positive_all.gml,positive,ASD,10,0.0105596620908,0.0014162470389,0.0126808573705
positive_all.gml,positive,ASD rate,1,0.00105596620908,0.0,0.00190073917635
positive_all.gml,positive,ASD risk,3,0.00316789862724,0.000162971529097,0.0120130349377
positive_all.gml,positive,Afghanistan,1,0.00105596620908,0.0,0.0
positive_all.gml,positive,Age of Autism,2,0.00211193241816,0.0,0.0478742620356
positive_all.gml,positive,American Medical Association,5,0.00527983104541,0.0,0.00422386483633
positive_all.gml,positive,Americans,1,0.00105596620908,0.0,0.00954096527735
positive_all.gml,positive,Amish,3,0.00316789862724,0.000492263317341,0.0583038397716
positive_all.gml,positive,Andrew Wakefield,3,0.00316789862724,0.0,0.00316789862724
positive_all.gml,positive,Arizona Deparment of Health Services,1,0.00105596620908,0.0,0.00345588941154
positive_all.gml,positive,Arizona Department of Health Services,1,0.00105596620908,0.0,0.0
positive_all.gml,positive,Assembly,1,0.00105596620908,0.0,0.0
positive_all.gml,positive,Australian social services minister,1,0.00105596620908,0.0,0.0
positive_all.gml,positive,Babies,1,0.00105596620908,0.0,0.00105596620908
positive_all.gml,positive,Babies at 2 months,1,0.00105596620908,0.0,0.00105596620908
positive_all.gml,positive,CDC,4,0.00422386483633,0.0,0.0142233497309
positive_all.gml,positive,California,5,0.00527983104541,0.0011679626252,0.0591488229567
positive_all.gml,positive,California Coalition for Health Choice,3,0.00316789862724,0.000356081628644,0.0433465822518
positive_all.gml,positive,California Senate,1,0.00105596620908,0.0,0.0
positive_all.gml,positive,California governor,2,0.00211193241816,0.0,0.0474883354457
positive_all.gml,positive,Caregivers,1,0.00105596620908,0.0,0.0617245820388
positive_all.gml,positive,Carribean,1,0.00105596620908,0.0,0.00140795494544
positive_all.gml,positive,Catholic Church,1,0.00105596620908,0.0,0.00105596620908
positive_all.gml,positive,Catholic parents,3,0.00316789862724,0.0,0.00377130788958
positive_all.gml,positive,Catholics,2,0.00211193241816,0.0,0.0560554613758
positive_all.gml,positive,Cervarix,3,0.00316789862724,0.0,0.0120956129404
positive_all.gml,positive,Children,1,0.00105596620908,0.0,0.00105596620908
positive_all.gml,positive,Christian Scientists,2,0.00211193241816,0.0,0.00211193241816
positive_all.gml,positive,Church of the First Born,2,0.00211193241816,0.0,0.00105596620908
positive_all.gml,positive,Close contacts,1,0.00105596620908,0.0,0.0617245820388
positive_all.gml,positive,Colorado,2,0.00211193241816,3.34873004994e-06,0.0440631376569
positive_all.gml,positive,Department of Public Health Immunization Program,1,0.00105596620908,0.0,0.00140795494544
