,name,sentiment,node,degree,deg cent,bet cent,clo cent
0,u_neu.gml,neutral,7-11 year olds,2,0.01,0.0156113902848,0.147148676171
1,u_neu.gml,neutral,Alfred and Lisa Claire Dwoskin,1,0.005,0.0,0.138277511962
2,u_neu.gml,neutral,Americans,1,0.005,0.0,0.130532971996
3,u_neu.gml,neutral,Andrew Wakefield,5,0.025,0.101658291457,0.133796296296
4,u_neu.gml,neutral,Australia,1,0.005,0.0,0.131722880583
5,u_neu.gml,neutral,Barry Segal,1,0.005,0.0,0.0939531859558
6,u_neu.gml,neutral,Ben Allen,4,0.02,3.35008375209e-05,0.132568807339
7,u_neu.gml,neutral,CDC,4,0.02,0.0701926298157,0.160555555556
8,u_neu.gml,neutral,California,1,0.005,0.0,0.132084095064
9,u_neu.gml,neutral,Chairwoman Carol Liu,2,0.01,0.00849246231156,0.132326007326
10,u_neu.gml,neutral,Children's Hospital of Philadelphia,1,0.005,0.0,0.130532971996
11,u_neu.gml,neutral,Chris Christie,3,0.015,0.0085175879397,0.11853978671
12,u_neu.gml,neutral,Connie Leyva,3,0.015,6.70016750419e-05,0.132568807339
13,u_neu.gml,neutral,Disneyland measles outbreak,1,0.005,0.0,0.114864864865
14,u_neu.gml,neutral,Dr. Anna Acosta,2,0.01,0.025175879397,0.135936030103
15,u_neu.gml,neutral,Dr. Paul Offit,3,0.015,0.0126633165829,0.154051172708
16,u_neu.gml,neutral,Drew Downing,1,0.005,0.0,0.005
17,u_neu.gml,neutral,Dwoskin Family Foundation,8,0.04,0.29540201005,0.1649543379
18,u_neu.gml,neutral,Focus for Health,4,0.02,0.073567839196,0.105551497443
19,u_neu.gml,neutral,Gambhir study,3,0.015,0.000150753768844,0.015
20,u_neu.gml,neutral,Generation Rescue,4,0.02,0.0886180904523,0.118637110016
21,u_neu.gml,neutral,Immunization Action Coalition,1,0.005,0.0,0.135173058934
22,u_neu.gml,neutral,Jenny McCarthy,3,0.015,0.0240201005025,0.119619205298
23,u_neu.gml,neutral,Lisa and J.B. Handley,1,0.005,0.0,0.104181687094
24,u_neu.gml,neutral,MMR vaccine,1,0.005,0.0,0.0852507374631
25,u_neu.gml,neutral,National Vaccine Information Center,2,0.01,0.00849246231156,0.138542665388
26,u_neu.gml,neutral,PLOS Computational Biology,1,0.005,0.0,0.143211100099
27,u_neu.gml,neutral,Pez dispensers,1,0.005,0.0,0.161092530658
28,u_neu.gml,neutral,Rand Paul,3,0.015,0.033391959799,0.162542182227
29,u_neu.gml,neutral,Renee Gentry,1,0.005,0.0,0.005
30,u_neu.gml,neutral,Republican,2,0.01,0.00839195979899,0.137096774194
31,u_neu.gml,neutral,Richard Pan,2,0.01,3.35008375209e-05,0.115323224262
32,u_neu.gml,neutral,SB 277,33,0.165,0.237745872218,0.156216216216
33,u_neu.gml,neutral,Saron Runner,1,0.005,0.0,0.132084095064
34,u_neu.gml,neutral,Senate Education Committee,1,0.005,0.0,0.132084095064
35,u_neu.gml,neutral,Senate committee,2,0.01,0.0,0.132084095064
36,u_neu.gml,neutral,Tdap vaccine,2,0.01,0.0127638190955,0.151785714286
37,u_neu.gml,neutral,Tina Kimmel,2,0.01,0.00849246231156,0.132326007326
38,u_neu.gml,neutral,United States,3,0.015,0.0,0.139748549323
39,u_neu.gml,neutral,University of British Columbia,2,0.01,0.0,0.143924302789
40,u_neu.gml,neutral,Vaccine Injured Petitioners Bar Association,1,0.005,0.0,0.005
41,u_neu.gml,neutral,Wakefield study,1,0.005,0.0,0.116626311542
42,u_neu.gml,neutral,acelluar vaccine,1,0.005,0.0,0.130063006301
43,u_neu.gml,neutral,acellular pertussis vaccine,8,0.04,0.149934194783,0.172023809524
44,u_neu.gml,neutral,adolescents,2,0.01,0.0185845896147,0.157923497268
45,u_neu.gml,neutral,adults,1,0.005,0.0,0.131722880583
46,u_neu.gml,neutral,age 65 and older,2,0.01,0.0168844221106,0.100347222222
47,u_neu.gml,neutral,age 85 and older,1,0.005,0.0,0.100069252078
48,u_neu.gml,neutral,ages 65-84,1,0.005,0.0,0.0813626126126
49,u_neu.gml,neutral,aluminum,1,0.005,0.0,0.005
50,u_neu.gml,neutral,alzheimer's,1,0.005,0.0,0.077688172043
51,u_neu.gml,neutral,amendment,2,0.01,5.02512562814e-05,0.01
52,u_neu.gml,neutral,anti-vaccination,19,0.095,0.184371859296,0.135046728972
53,u_neu.gml,neutral,anti-vaxx movement,1,0.005,0.0,0.116626311542
54,u_neu.gml,neutral,anti-vaxxers,3,0.015,0.0166834170854,0.117193836172
55,u_neu.gml,neutral,artificial vaccine,3,0.015,0.11864321608,0.14759959142
56,u_neu.gml,neutral,asthma,1,0.005,0.0,0.077688172043
57,u_neu.gml,neutral,autism,5,0.025,0.0500502512563,0.0946920052425
58,u_neu.gml,neutral,bacteria,1,0.005,0.0,0.143211100099
59,u_neu.gml,neutral,booster,1,0.005,0.0,0.009
60,u_neu.gml,neutral,breathing,1,0.005,0.0,0.131722880583
61,u_neu.gml,neutral,cases,2,0.01,0.00849246231156,0.153723404255
62,u_neu.gml,neutral,celebrities,2,0.01,0.0229145728643,0.117384240455
63,u_neu.gml,neutral,changes,2,0.01,0.0689806173726,0.165142857143
64,u_neu.gml,neutral,childhood illnesses,1,0.005,0.0,0.161092530658
65,u_neu.gml,neutral,children,7,0.035,0.190810002393,0.175577156744
66,u_neu.gml,neutral,chronic illness,1,0.005,0.0,0.0939531859558
67,u_neu.gml,neutral,clusters,1,0.005,0.0,0.005
68,u_neu.gml,neutral,cognitive disorders,2,0.01,0.0952596314908,0.1799501868
69,u_neu.gml,neutral,committee hearing room,1,0.005,0.0,0.132084095064
70,u_neu.gml,neutral,committee members,1,0.005,0.0,0.00666666666667
71,u_neu.gml,neutral,concerns,1,0.005,0.0,0.114591593973
72,u_neu.gml,neutral,crazy people,2,0.01,0.0,0.103288062902
73,u_neu.gml,neutral,data,1,0.005,0.0,0.127200704225
74,u_neu.gml,neutral,death,1,0.005,0.0,0.009
75,u_neu.gml,neutral,debate,1,0.005,0.0,0.127200704225
76,u_neu.gml,neutral,decreasing effectiveness,2,0.01,0.0168844221106,0.117671009772
77,u_neu.gml,neutral,diagnoses,1,0.005,0.0,0.0852507374631
78,u_neu.gml,neutral,diagnosis,1,0.005,0.0,0.0852507374631
79,u_neu.gml,neutral,discredited,1,0.005,0.0,0.115692554043
80,u_neu.gml,neutral,disease,5,0.025,0.0169346733668,0.126311188811
81,u_neu.gml,neutral,education,3,0.015,0.00385738214884,0.151150627615
82,u_neu.gml,neutral,effective,2,0.01,0.0531885618569,0.18130489335
83,u_neu.gml,neutral,effectiveness,2,0.01,0.0,0.153397027601
84,u_neu.gml,neutral,elderly,4,0.02,0.00849246231156,0.100208044383
85,u_neu.gml,neutral,everyone,1,0.005,0.0,0.132084095064
86,u_neu.gml,neutral,fair balance,2,0.01,0.00849246231156,0.132326007326
87,u_neu.gml,neutral,findings,1,0.005,0.0,0.005
88,u_neu.gml,neutral,for-profit,1,0.005,0.0,0.161092530658
89,u_neu.gml,neutral,friends and family,1,0.005,0.0,0.0922733077905
90,u_neu.gml,neutral,government mandate,1,0.005,0.0,0.116626311542
91,u_neu.gml,neutral,high-dose flu vaccine,11,0.055,0.0824623115578,0.113333333333
92,u_neu.gml,neutral,high-risk,1,0.005,0.0,0.009
93,u_neu.gml,neutral,home-school,5,0.025,0.00435510887772,0.1328125
94,u_neu.gml,neutral,immune disorders,2,0.01,0.0952596314908,0.1799501868
95,u_neu.gml,neutral,immune response,2,0.01,0.0878894472362,0.128330373002
96,u_neu.gml,neutral,immunity,1,0.005,0.0,0.0896958410925
97,u_neu.gml,neutral,immunization,1,0.005,0.0,0.115139442231
98,u_neu.gml,neutral,immunization waivers,2,0.01,0.0,0.01125
99,u_neu.gml,neutral,imperfect,1,0.005,0.0,0.161092530658
100,u_neu.gml,neutral,increase in cases,2,0.01,0.00849246231156,0.13196347032
101,u_neu.gml,neutral,increased,3,0.015,0.0169346733668,0.0854523950325
102,u_neu.gml,neutral,infant mortality,1,0.005,0.0,0.114319620253
103,u_neu.gml,neutral,infants,3,0.015,0.078986599665,0.168808411215
104,u_neu.gml,neutral,infectious disease,1,0.005,0.0,0.132084095064
105,u_neu.gml,neutral,inflammatory disorders,2,0.01,0.0952596314908,0.1799501868
106,u_neu.gml,neutral,influenza,2,0.01,0.0,0.100069252078
