"","id","label","community"
"1","1","neighbors",1
"2","2","colleges",1
"3","3","influenza",2
"4","4","parents of autistic children",3
"5","5","religious exemption",4
"6","6","results",5
"7","7","no brainer",6
"8","8","repetitive behaviors",7
"9","9","children",6
"10","10","vaccination schedule",6
"11","11","best-sellers",8
"12","12","American Medical Association",4
"13","13","Orthodox Jewish communities",6
"14","14","fence-sitters",9
"15","15","Journal of the American Medical Association",5
"16","16","sexually transmitted virus",10
"17","17","fear of autism",3
"18","18","genetic risk factors for ASD",5
"19","19","siblings",5
"20","20","resources",5
"21","21","risk",6
"22","22","choice",6
"23","23","stiff neck",11
"24","24","nausea",11
"25","25","ill effects",12
"26","26","cultured cells",13
"27","27","spread of infectious diseases",6
"28","28","decrease in exemption rates",14
"29","29","debunked",12
"30","30","mild",11
"31","31","booster dose",11
"32","32","large",5
"33","33","tenderness",11
"34","34","financial forces",14
"35","35","vaccinated high-risk children",5
"36","36","findings",15
"37","37","lower rate of autism in vaccinated children",3
"38","38","Neisseria meningitidis bacteria",11
"39","39","long-term benefits",15
"40","40","medical issue",3
"41","41","universities",14
"42","42","vaccine alternatives",8
"43","43","prisons",1
"44","44","vaccines are effective",5
"45","45","scientists",5
"46","46","flu shots",5
"47","47","children with immunosuppressive diseases",6
"48","48","body",6
"49","49","Libya",16
"50","50","partners",17
"51","51","genes",5
"52","52","answers",14
"53","53","vomiting",11
"54","54","fluke",14
"55","55","protection",3
"56","56","miscarriage",18
"57","57","Ohio",16
"58","58","met the bar",19
"59","59","Jews",6
"60","60","Victorian government",5
"61","61","vast amounts of money",12
"62","62","important message",15
"63","63","infant disability",6
"64","64","health care providers",10
"65","65","controversy",4
"66","66","low vaccination rates",20
"67","67","studies",5
"68","68","danger",1
"69","69","Age of Autism",14
"70","70","brain damage",11
"71","71","National Infant Immunization Week",6
"72","72","alternative explanation",5
"73","73","vaccines do not cause autism",10
"74","74","rash",11
"75","75","misguided claims",14
"76","76","Nigeria",7
"77","77","deafness",11
"78","78","close contacts",10
"79","79","vaccine information sources",9
"80","80","tetanus/diphtheria/pertussis",18
"81","81","social media",1
"82","82","withholding vaccines",5
"83","83","children with autistic sibling",5
"84","84","Institute of Medicine",10
"85","85","opposed",17
"86","86","unvaccinated-friendly day care centres",3
"87","87","conscientious objectors",19
"88","88","formal advice",6
"89","89","meningococcal disease",11
"90","90","supporters",4
"91","91","populations",1
"92","92","infection",10
"93","93","antibiotics",11
"94","94","transient",15
"95","95","cases",11
"96","96","vaccination coverage",16
"97","97","reduction in HPV",10
"98","98","women",10
"99","99","states",17
"100","100","shame",12
"101","101","science",5
"102","102","challenge",5
"103","103","vaccinated students",20
"104","104","California Senate",4
"105","105","Arizona Department of Health Services",14
"106","106","measles outbreak",17
"107","107","immune system disorder",4
"108","108","vaccination exemption",4
"109","109","household",11
"110","110","Nepal",17
"111","111","one dose of vaccine",10
"112","112","anti-vaxxer",21
"113","113","vaccine delivery",15
"114","114","Wakefield study",12
"115","115","teen girls",10
"116","116","girls who received Gardasil",10
"117","117","philosophical exemption",4
"118","118","population health",6
"119","119","infection at multiple sites",10
"120","120","polio",6
"121","121","risk of infection",6
"122","122","potential risks",3
"123","123","Muslims",6
"124","124","MMR vaccine does not cause autism",10
"125","125","Tanzania",16
"126","126","neurological problems",6
"127","127","good news",14
"128","128","measles resurgence",17
"129","129","gelatin",6
"130","130","medical advancement",6
"131","131","law",4
"132","132","data",15
"133","133","Jain study",5
"134","134","health professionals",1
"135","135","Hilary Clinton",6
"136","136","thimerosal is safe",5
"137","137","genetic component",5
