index,source,edge,target,edge-comments,edge-causative,source-isPerson,edge-direction,target-isPerson
1,hepatitis B vaccine,giving to newborn baby boys more than triples their risk of developing an,autism spectrum disorder,,TRUE,1,TRUE,1
2,male neonates,vaccinated with hepatitis B vaccine had a 3-fold greater risk of,ASD,,TRUE,2,FALSE,2
3,hepatitis B vaccination,was associated with the receipt of,early intervention,,TRUE,3,TRUE,3
4,hepatitis B vaccination,was associated with the receipt of,special education services,,TRUE,4,FALSE,4
5,safety,uncertainty surrounding,vaccines,,TRUE,5,TRUE,5
6,efficacy,uncertainty surrounding,vaccines,,TRUE,6,FALSE,6
7,,it is critical to protect your right to make independent health choices,,,TRUE,7,TRUE,7
8,,it is critical to exercise voluntary informed consent to vaccination,,,TRUE,8,FALSE,8
9,,it is urgent that everyone in America stand up and fight to protect and expand vaccine informed consent protections in state public health and employment laws,,,TRUE,9,TRUE,9
10,vaccine choice,are being threatened by,lobbyists,,TRUE,10,TRUE,10
11,vaccine choice,are being threatened by lobbyists representing,drug companies,,TRUE,11,FALSE,11
12,vaccine choice,are being threatened by lobbyists representing,medical trade associations,,TRUE,12,TRUE,12
13,vaccine choice,are being threatened by lobbyists representing,public health officials,,TRUE,13,FALSE,13
14,public health officials,are trying to persuade,legislators,,TRUE,14,TRUE,14
15,public health officials,are trying to strip from public health laws,vaccine exemptions,,TRUE,15,FALSE,15
16,,become an effective vaccine choice advocate in your own community,,,TRUE,16,TRUE,16
17,,"if you or a family member has suffered a serious vaccine reaction, injury or death, please talk about it",,,TRUE,17,FALSE,17
18,,"you might be strongly criticized for daring to talk about the ""other side"" of the vaccine story",,,TRUE,18,TRUE,18
19,,only by sharing our perspective and what we know to be true about vaccination will the public conversation about vaccination open up so people are not afraid to talk about it,,,TRUE,19,TRUE,19
20,drug companies,we cannot allow them to dominate the conversation about,vaccination,,TRUE,20,FALSE,20
21,medical trade associations,we cannot allow them to dominate the conversation about,vaccination,,TRUE,21,TRUE,21
22,public health officials,we cannot allow them to dominate the conversation about,vaccination,,TRUE,22,FALSE,22
23,medical trade associations,are funded by,drug companies,,TRUE,23,TRUE,23
24,drug companies,promote the forced use of,vaccines,,TRUE,24,FALSE,24
25,medical trade associations,promote the forced use of,vaccines,,TRUE,25,TRUE,25
26,public health officials,promote the forced use of,vaccines,,TRUE,26,FALSE,26
27,vaccine injured,cannot be swept under the carpet,,,TRUE,27,TRUE,27
28,vaccine injured,cannot by treated like nothing more than,"""statistically acceptable collateral damage""",,TRUE,28,TRUE,28
29,national vaccination policies,put way too many people at risk for,injury and death,,TRUE,29,FALSE,29
30,we,shouldn't be treating people like,guinea pigs,,TRUE,30,TRUE,30
31,you,have the courage to find another,doctor,if doctor or pediatrician refuses to provide medical care unless you agree to get vaccines you don't want,TRUE,31,FALSE,31
32,harassment,is becoming,modus operandi,,TRUE,32,TRUE,32
33,intimidation,is becoming,modus operandi,,TRUE,33,FALSE,33
34,refusal of medical care,is becoming,modus operandi,,TRUE,34,TRUE,34
35,modus operandi,to stop the change in attitude of,parents,about vaccinations after they become truly educated about health and vaccination,TRUE,35,FALSE,35
36,young doctors,at least 15 percent admit starting to adopt,individualized approach to vaccinations,,TRUE,36,TRUE,36
37,young doctors,good news as partners with parents in making personalized,vaccine decisions,for children,TRUE,37,TRUE,37
38,young doctors,making personalized vaccine decisions such as,delaying vaccinations,,TRUE,38,FALSE,38
39,young doctors,making personalized vaccine decisions such as,giving children fewer vaccines on the same day,,TRUE,39,TRUE,39
40,young doctors,making personalized vaccine decisions such as,continuing to provide medical care for families who decline vaccines,,TRUE,40,FALSE,40
41,hepatitis B vaccine,routine use began 1992 for all,newborns,,TRUE,41,TRUE,41
42,hepatitis B vaccine,absolutely no logical argument for it,,,TRUE,42,FALSE,42
43,hepatitis B vaccine,should never have been included in,immunization schedule,,TRUE,43,TRUE,43
44,,do newborns really need the hepatitis B vaccine?,,,TRUE,44,FALSE,44
